Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重
日本,0.023,导游,0.035,行程,0.020,导游,0.037,酒店,0.016,行程,0.046,酒店,0.041
孙导,0.016,不错,0.034,不错,0.016,日本,0.031,日本,0.013,领队,0.034,行程,0.015
行程,0.014,酒店,0.026,安排,0.015,领队,0.021,度假村,0.012,导游,0.031,导游,0.014
东京,0.012,行程,0.025,导游,0.012,服务,0.021,星野,0.011,安排,0.030,不错,0.013
不错,0.011,自由,0.022,时间,0.009,安排,0.020,滑雪,0.010,自由,0.024,日本,0.012
酒店,0.010,日本,0.021,旅行,0.008,满意,0.018,行程,0.009,日本,0.024,时间,0.011
携程,0.010,安排,0.018,日本,0.007,行程,0.016,大阪,0.009,不错,0.018,韩国,0.010
陈导,0.009,时间,0.018,购物,0.007,携程,0.016,满意,0.007,时间,0.016,自由,0.010
旅行,0.009,大阪,0.017,地方,0.006,旅行,0.014,真的,0.007,携程,0.016,温泉,0.009
自由,0.008,领队,0.015,匆忙,0.006,讲解,0.013,东西,0.006,景点,0.014,安排,0.009
导游,0.008,景点,0.014,酒店,0.006,热情,0.012,购物,0.006,开心,0.012,购物,0.009
大阪,0.007,京都,0.009,冲绳,0.005,北海道,0.011,特别,0.006,讲解,0.011,特别,0.008
富士山,0.007,东京,0.008,休闲,0.005,感谢,0.010,车程,0.006,旅行,0.010,景点,0.008
服务,0.007,满意,0.008,住宿,0.005,特别,0.009,推荐,0.005,选择,0.009,满意,0.008
希望,0.006,出行,0.008,愉快,0.005,周到,0.009,不错,0.005,满意,0.009,房间,0.007
景点,0.006,总体,0.007,满意,0.004,旅游,0.009,京都,0.005,下次,0.009,领队,0.007
地铁,0.006,两天,0.007,体验,0.004,专业,0.008,东京,0.005,第一次,0.008,大阪,0.007
领队,0.005,购物,0.007,森林,0.004,下次,0.008,渊博,0.005,购物,0.008,携程,0.006
安排,0.005,热情,0.006,时光,0.004,景点,0.008,导游,0.005,负责,0.008,东京,0.006
感觉,0.005,推荐,0.006,自由,0.004,贴心,0.007,干净,0.004,两天,0.008,服务,0.006
