内容,主题概率,主题类型
真空包装 运送 过程 漏气 影响 品质,"[(0, 0.012994226), (1, 0.012996375), (2, 0.012994502), (3, 0.12735689), (4, 0.0129942065), (5, 0.012994966), (6, 0.012994696), (7, 0.75568914), (8, 0.012994425), (9, 0.012994432), (10, 0.0129961595)]",7
五斤 收到 感觉 五斤 共有 超过,"[(0, 0.012992841), (1, 0.012993006), (2, 0.012993072), (3, 0.87007195), (4, 0.0129929595), (5, 0.012992627), (6, 0.012992655), (7, 0.012992653), (8, 0.012992485), (9, 0.012992739), (10, 0.012993024)]",3
好吃 发来 品种 一点 好吃 图片 品种 忽悠,"[(0, 0.01010441), (1, 0.010105746), (2, 0.010106274), (3, 0.010104486), (4, 0.0101046655), (5, 0.89895004), (6, 0.01010576), (7, 0.010104989), (8, 0.010104438), (9, 0.010104513), (10, 0.010104672)]",5
购买 几次 味道 购买 香薯 正宗 蒸熟 难以 下咽 个头,"[(2, 0.7920148), (5, 0.13354099)]",2
采摘 太久 好多 发芽 削掉 确实 好吃 品种,"[(0, 0.010106868), (1, 0.010107038), (2, 0.89893365), (3, 0.01010646), (4, 0.010106529), (5, 0.010106846), (6, 0.010106445), (7, 0.010106692), (8, 0.01010663), (9, 0.010106401), (10, 0.010106427)]",2
红薯 味道 口感 稳定 第一次 第二次 失望 红薯 甜味 喜欢,"[(1, 0.503885), (5, 0.4217131)]",1
主播 手里 红薯 第一次 细长 很大,"[(0, 0.0129957115), (1, 0.0129958615), (2, 0.8700441), (3, 0.012995652), (4, 0.012994781), (5, 0.012997723), (6, 0.012996896), (7, 0.012994705), (8, 0.012994591), (9, 0.012994657), (10, 0.012995325)]",2
品质 一半 好几个 虫子,"[(0, 0.018188542), (1, 0.018184356), (2, 0.018183101), (3, 0.6046288), (4, 0.018185286), (5, 0.018183272), (6, 0.01818344), (7, 0.01818444), (8, 0.018183794), (9, 0.23171183), (10, 0.018183136)]",3
收到 三块 一斤 不算 便宜 大米 超市 超市,"[(0, 0.010104179), (1, 0.010104505), (2, 0.010104841), (3, 0.7750561), (4, 0.010105713), (5, 0.1340054), (6, 0.010103812), (7, 0.010103723), (8, 0.010103697), (9, 0.0101041095), (10, 0.010103896)]",3
五常 好几个 批号 三家 批号 这家,"[(0, 0.87005186), (1, 0.012994687), (2, 0.0129947495), (3, 0.012994747), (4, 0.012994513), (5, 0.012994511), (6, 0.012994845), (7, 0.012994586), (8, 0.012996432), (9, 0.012994506), (10, 0.012994513)]",0
看着 包装 不错 再来 追评 运货 速度 太慢,"[(0, 0.010104951), (1, 0.37768248), (2, 0.010105653), (3, 0.010105292), (4, 0.010106418), (5, 0.010105152), (6, 0.010105197), (7, 0.0101063065), (8, 0.53136784), (9, 0.010105527), (10, 0.010105139)]",8
收到 包装 歪扭 到货 生产日期 不知 口感,"[(0, 0.011369183), (1, 0.011369257), (2, 0.22484489), (3, 0.011369366), (4, 0.011369973), (5, 0.011368969), (6, 0.011369077), (7, 0.6728315), (8, 0.011368916), (9, 0.011369417), (10, 0.011369509)]",7
包装 四袋 大米 真空包装 拿到 两袋 漏气 大米 好不好 价钱 追评,"[(0, 0.07912545), (1, 0.5590425), (4, 0.30120313)]",1
产品 分量 口感 推荐 朋友,"[(0, 0.015152941), (1, 0.015155273), (2, 0.015153154), (3, 0.015155806), (4, 0.2508313), (5, 0.015154741), (6, 0.12611946), (7, 0.501818), (8, 0.0151534155), (9, 0.015152767), (10, 0.01515313)]",7
上次 送来 塑封 不好 塑封 送来 商家 信誉 更换,"[(6, 0.9090452)]",6
收到 两袋 一袋 破损 漏出,"[(0, 0.42144418), (1, 0.015162764), (2, 0.27787414), (3, 0.015162555), (4, 0.015163151), (5, 0.015162004), (6, 0.015162709), (7, 0.01516307), (8, 0.17938079), (9, 0.015162394), (10, 0.015162259)]",0
