主题数,困惑度,一致性
2,-7.353873462659574,0.2658732965320426
3,-7.509196315389624,0.291025871477949
4,-7.62760453301812,0.34361744237260766
5,-7.717122654668993,0.3590483027058813
6,-7.785608760407392,0.39541017790785493
7,-7.853337003496938,0.3747922104738546
8,-7.904358144523433,0.3959471954036285
9,-7.962612158987007,0.39360314502270094
10,-8.027270975218714,0.3988692335797316
11,-8.090345864000216,0.4240233182481898
12,-8.182389284015336,0.41557537855257015
13,-8.33636858012271,0.42382151878827923
14,-8.430552172877434,0.3815956913894655
