主题数,困惑度,一致性
2,-8.453630430747383,0.300101489621326
3,-8.57561267260444,0.3032921758135622
4,-8.661604131729105,0.3483291083594382
5,-8.739049186008248,0.3699993265759888
6,-8.808384096759191,0.41495236524280127
7,-8.92538964275633,0.3720902202043986
8,-9.063291646144163,0.44372725484280884
9,-9.295866646352383,0.4208209669732367
10,-9.580758659317965,0.4297516476525904
11,-9.892414352402003,0.40501222500842304
12,-10.212286354488871,0.44545867579159065
13,-10.461952478605594,0.4378129893173667
14,-10.636877126568734,0.4303386454662323
