主题数,困惑度,一致性
2,-7.8421035549743445,0.2966312301621385
3,-7.9568777316408745,0.31300958540910195
4,-8.056117907832787,0.34607247954024123
5,-8.090445374213116,0.29272500297391496
6,-8.136130546310657,0.39587640116636713
7,-8.200585886554181,0.4030741137105797
8,-8.279369326894757,0.3908319703535539
9,-8.280224456228005,0.3883676216312931
10,-8.333956396825107,0.4150286563468139
11,-8.373960429773955,0.4268431625652331
12,-8.377111999397892,0.4242220428960834
13,-8.414665761265956,0.45552219693232765
14,-8.456253741984174,0.464368763721036
