主题数,困惑度,一致性
2,-8.521895165361842,0.26266140490272116
3,-8.65282157457676,0.3048548722455673
4,-8.748449946201223,0.3449036472413193
5,-8.84114461081632,0.3572495048622502
6,-8.891488148666115,0.42186015629570245
7,-9.06808213218235,0.4503757209349098
8,-9.222504005954024,0.4690853400623949
9,-9.506469523414108,0.4354938294582186
10,-9.888556620786039,0.4631886625896347
11,-10.31740473760561,0.4811313940843864
12,-10.748686938220676,0.4883263364597892
13,-11.143808389185304,0.4918999926802006
14,-11.438585030289381,0.486588509998044
