主题数,困惑度,一致性
2,-7.806993993836607,0.41334059039099924
3,-7.92210858757354,0.3876602825605202
4,-8.016450407192497,0.39299201988660204
5,-8.05660991013003,0.4122469165273614
6,-8.125566861261326,0.4363756467180098
7,-8.186040638063544,0.42068527328012323
8,-8.205877042727321,0.395369464134714
9,-8.271250002131689,0.41312482411082313
10,-8.278617026002717,0.4234219280435851
11,-8.322489880667128,0.43514625181078176
12,-8.375350346315319,0.4064529806743525
13,-8.42769759113303,0.4530735495473686
14,-8.448493230014977,0.4390581070387606
