发文时间,发帖数量,pos,neu,neg,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,转发,点赞,评论,熵值
2023-01-01,16,8,7,0,4,2,1,3,6,128,7919,1930,2.3212354376661803
2023-01-02,29,15,11,3,9,9,2,7,2,80,4345,1222,2.5843235145390704
2023-01-03,44,22,16,6,13,7,3,9,12,117,3192,1250,2.555069775362556
2023-01-04,35,19,11,5,11,6,1,8,9,74,3116,817,2.5992529438338288
2023-01-05,39,16,20,3,6,12,7,6,8,129,2790,726,2.9007792118010727
2023-01-06,42,21,13,8,6,12,6,6,12,653,28053,10644,2.896453642825496
2023-01-07,38,16,16,4,13,6,3,9,7,215,4459,1703,2.5887604311441104
2023-01-08,41,19,15,7,9,10,4,6,12,220,5866,1766,2.5692088630683374
2023-01-09,48,26,14,8,10,8,9,11,10,150,8708,1375,3.0960102594953747
2023-01-10,36,18,16,2,7,4,5,4,16,89,4560,1523,2.494145927877808
2023-01-11,59,30,22,7,14,17,7,10,11,2352,7358,1933,2.8069520071478147
2023-01-12,36,21,11,4,12,11,1,8,4,112,5241,1163,2.792464632338879
2023-01-13,42,18,15,9,10,11,4,10,7,72,4374,1015,3.093783678160095
2023-01-14,34,17,12,5,7,8,2,8,9,107,4495,1533,2.819762983780965
2023-01-15,28,10,10,8,9,4,4,7,4,41,2641,913,2.7642642146924854
2023-01-16,42,21,13,7,10,9,4,7,12,189,6890,2346,2.896700174827351
2023-01-17,58,32,17,8,12,14,10,14,8,168,22674,3623,2.762687500631082
2023-01-18,43,22,14,7,9,12,4,7,11,115,4330,1514,3.0475844612436447
2023-01-19,56,38,10,8,14,13,10,5,14,153,7105,1867,2.9717513674145724
2023-01-20,40,13,21,6,11,10,5,5,9,96,3576,1226,2.8316889535845102
2023-01-21,35,17,16,2,5,8,3,6,13,70,2813,573,2.480202797360086
2023-01-22,24,15,6,3,7,6,3,2,6,50,2344,565,2.55340779277346
2023-01-23,44,24,13,7,12,6,6,12,8,51,3371,863,2.853339854452277
2023-01-24,36,22,7,6,11,12,3,4,6,92,7525,1117,3.265561074872182
2023-01-25,51,33,15,3,17,7,4,6,17,188,4833,1794,3.1170035113968226
2023-01-26,51,29,17,4,12,13,9,8,9,281,8273,2532,2.7728119133703295
2023-01-27,39,25,12,2,6,11,7,6,9,226,4909,2270,3.0184201628271348
2023-01-28,28,13,9,6,7,7,3,5,6,58,2511,784,2.525975971061078
2023-01-29,27,13,8,6,3,8,5,6,5,436,4862,2414,3.09230674992229
2023-01-30,44,23,13,8,11,13,4,8,8,83,3099,916,2.9222526691067117
2023-01-31,55,30,15,10,14,11,14,6,10,182,5358,1407,3.1730220481891074
2023-02-01,44,26,13,5,8,6,9,11,10,91,3347,888,2.9458003381062725
2023-02-02,38,26,6,6,14,6,7,4,7,112,4242,858,3.180646662691889
2023-02-03,52,32,12,8,13,15,5,7,12,149,8872,1341,3.0378269396004214
2023-02-04,43,23,12,8,6,9,2,13,13,162,3056,1062,3.045150308434662
2023-02-05,31,19,11,1,9,10,3,4,5,75,7398,1678,2.5829399510927993
2023-02-06,37,18,11,8,10,8,8,4,7,88,6364,1544,2.816873664524482
2023-02-07,57,26,23,8,15,11,10,12,9,135,5265,1938,2.9312284204221677
2023-02-08,68,39,17,12,20,18,7,4,19,178,9995,2111,3.1899265860565817
2023-02-09,55,29,13,13,25,14,5,5,6,341,23741,8092,3.0533153799308344
2023-02-10,46,25,17,4,8,11,7,4,16,201,8425,1836,3.0245767645963433
2023-02-11,25,10,11,4,9,2,2,4,8,92,5845,1182,2.9570146938727055
2023-02-12,32,11,10,11,3,7,10,3,9,163,6016,2686,2.767402923329107
2023-02-13,44,21,18,5,8,10,5,5,16,222,9383,2373,2.817152625461011
2023-02-14,54,30,13,11,12,14,5,7,16,263,5865,2586,3.127746045638253
2023-02-15,57,37,8,12,17,14,9,7,10,181,5887,1529,3.183493485697958
2023-02-16,56,30,15,11,12,17,8,10,9,247,6664,2098,2.910140215645407
2023-02-17,59,35,12,12,14,17,9,11,8,250,7235,2842,3.2619260713300315
2023-02-18,38,21,10,7,8,6,9,6,9,86,3207,899,2.6383232873052918
2023-02-19,34,10,13,11,4,10,6,10,4,86,2976,584,2.629741580029137
2023-02-20,58,30,19,9,16,12,7,15,8,241,7933,2255,2.886849485848192
2023-02-21,47,22,15,10,12,11,7,10,7,612,28387,6655,2.792025765500318
2023-02-22,50,33,9,8,13,13,5,9,10,224,7829,3825,3.260524704064307
2023-02-23,67,41,15,11,12,14,12,13,16,489,9265,4195,3.22246076294957
2023-02-24,45,27,8,10,11,7,9,12,6,217,5295,1864,3.2137047674418056
2023-02-25,44,29,9,6,9,10,6,11,8,68,4227,919,2.9577967241090777
2023-02-26,47,19,20,7,15,9,6,9,8,201,10133,3192,2.819195543344362
2023-02-27,51,25,12,14,14,10,7,8,12,255,5330,2321,3.093565258703542
2023-02-28,42,26,12,4,6,13,8,8,7,104,5039,1015,2.869224899158136
2023-03-01,45,22,17,6,13,6,5,4,17,113,8382,1925,2.9398502050775046
2023-03-02,60,38,15,7,14,13,12,8,13,371,8453,2972,2.927247283275684
2023-03-03,59,31,15,13,18,15,4,8,14,194,7467,2333,2.9675511111325745
2023-03-04,40,20,15,4,8,11,4,6,11,376,11341,2496,2.8485237357363853
2023-03-05,37,17,12,8,7,10,2,7,11,580,7217,1894,3.1415437191377618
2023-03-06,41,22,10,9,7,12,8,7,7,150,5717,1436,3.0855479622624746
2023-03-07,46,22,17,7,10,13,9,10,4,139,5566,1443,3.0927488509293948
2023-03-08,64,35,14,15,21,13,6,14,10,229,32477,2351,3.2256662244009946
2023-03-09,58,38,9,11,12,11,5,12,18,168,9468,4114,3.169718686741107
2023-03-10,52,28,12,12,21,6,10,9,6,145,6017,1573,3.076254806228955
2023-03-11,39,18,12,9,8,8,3,11,9,113,3977,1460,2.8482740057319154
2023-03-12,24,12,7,5,3,6,3,6,6,50,3012,914,2.414738662678217
