发文时间,发帖数量,pos,neu,neg,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,转发,点赞,评论,熵值
2023-01-01,1,0,1,0,1,0,0,0,0,6,435,91,1.0
2023-01-02,15,7,2,6,8,3,0,3,1,38,3266,471,2.862842173278606
2023-01-03,27,13,10,4,6,7,0,7,7,97,2195,1174,2.4826289138131252
2023-01-04,17,11,6,0,4,2,2,3,6,43,1792,654,2.355255736923878
2023-01-05,28,12,9,7,5,5,4,5,9,203,3951,978,3.2772091034291875
2023-01-06,23,13,6,4,1,8,2,4,8,346,15231,5250,3.2154025883316213
2023-01-07,18,7,7,3,6,4,2,2,4,176,3295,1149,2.698342361828736
2023-01-08,33,15,12,6,10,8,3,7,5,229,6543,1888,2.7758707295062925
2023-01-09,22,9,10,3,1,5,7,3,6,68,2798,702,2.4787486250125466
2023-01-10,25,12,9,4,8,4,4,4,5,61,2676,850,2.868734501722682
2023-01-11,33,16,15,2,11,10,2,3,7,2329,5646,1548,2.3463802562152343
2023-01-12,29,17,8,4,5,9,2,7,6,92,3251,741,2.888956643273229
2023-01-13,12,4,5,3,2,3,2,2,3,22,1715,337,3.061909276796822
2023-01-14,13,8,4,1,1,4,1,2,5,53,2406,812,2.302282704144418
2023-01-15,18,8,4,6,3,6,2,7,0,42,2554,716,2.7740828103957793
2023-01-16,28,19,5,3,8,7,4,2,7,176,6287,1658,2.9373149039894058
2023-01-17,32,17,7,8,9,9,4,5,5,108,20372,3256,2.8596152630179263
2023-01-18,27,19,6,2,5,4,9,4,5,79,3282,998,3.080156349101278
2023-01-19,38,21,7,10,12,7,5,9,5,99,5788,2090,3.2109294054196456
2023-01-20,32,17,10,5,5,12,3,6,6,64,2652,997,3.1938642393388688
2023-01-21,19,6,10,3,5,4,0,5,5,63,2241,487,2.2860806770312663
2023-01-22,14,8,4,2,3,3,2,1,5,30,2339,490,2.627047005690227
2023-01-23,19,12,4,3,6,7,0,3,3,45,1631,374,3.0832810492834626
2023-01-24,24,9,7,7,7,7,3,2,5,75,2008,509,2.8603524486840683
2023-01-25,26,14,10,2,7,3,2,4,10,129,2641,677,3.1242226478334376
2023-01-26,31,19,7,4,6,6,7,5,7,263,7489,3546,2.854736685585903
2023-01-27,25,17,5,3,6,6,2,5,6,231,3469,1962,3.136120488443971
2023-01-28,11,6,2,3,4,2,1,0,4,31,1145,289,2.225998778075597
2023-01-29,17,6,4,7,4,3,3,5,2,47,2137,483,2.979686066096871
2023-01-30,22,10,7,5,6,6,3,4,3,55,2721,831,2.752940689117515
2023-01-31,44,25,11,8,9,9,7,11,8,183,4461,1495,3.052448905997532
2023-02-01,26,15,6,5,5,5,5,8,3,63,3926,846,2.985136590779853
2023-02-02,22,14,5,3,14,3,3,1,1,56,2248,503,3.2623734111517564
2023-02-03,38,13,13,11,11,10,6,6,5,149,5674,866,2.8828790467173624
2023-02-04,28,20,3,5,4,8,2,6,8,149,2675,1281,3.0567720167476073
2023-02-05,16,5,10,1,5,6,0,3,2,54,2796,863,2.5355921667729886
2023-02-06,26,11,10,5,4,7,8,4,3,60,3554,979,2.4385858300893632
2023-02-07,33,20,11,2,7,8,4,3,11,100,3306,1215,2.784523460873793
2023-02-08,30,14,9,7,9,10,4,0,7,65,5222,999,3.0485694507838996
2023-02-09,30,19,6,5,11,6,2,6,5,152,10762,3420,3.141222503049883
2023-02-10,27,13,10,4,6,7,5,3,6,311,9255,2429,3.081067101285325
2023-02-11,24,11,7,6,8,2,2,6,6,86,5434,1001,3.1958082184492476
2023-02-12,17,6,5,6,5,3,4,2,3,68,3122,857,2.6950892439488627
2023-02-13,20,12,7,1,5,3,4,3,5,158,7018,1486,2.8134855349402486
2023-02-14,30,19,6,5,3,11,2,3,11,169,3563,1361,3.0896508429217002
2023-02-15,35,23,8,4,11,7,5,8,4,214,13599,2540,3.1024366696371994
2023-02-16,30,19,9,2,8,8,5,5,4,87,4011,812,2.573383105203241
2023-02-17,32,19,6,7,5,6,7,9,5,175,5015,1842,3.3181500153269723
2023-02-18,17,6,6,5,4,4,3,2,4,54,2573,771,2.299861386844242
2023-02-19,20,7,4,9,8,4,3,3,2,69,2187,442,2.9480241197080184
2023-02-20,21,10,9,2,4,3,3,10,1,100,3767,780,2.227872844083177
2023-02-21,34,18,11,5,8,11,5,5,5,96,8826,1045,2.779527342909374
2023-02-22,21,13,5,3,6,7,1,6,1,259,7879,3705,3.2316973128857933
2023-02-23,45,28,13,4,8,12,12,5,8,428,6961,3639,3.028439239740064
2023-02-24,29,23,3,3,7,3,4,9,6,200,4948,1539,3.206100571564448
2023-02-25,17,10,5,2,2,6,2,4,3,29,1572,438,3.1203876400545663
2023-02-26,22,6,10,5,5,4,5,2,6,121,7713,2437,2.4702158243052343
2023-02-27,31,15,9,7,11,4,5,4,7,211,4756,2187,3.0163570653075773
2023-02-28,24,13,9,2,3,2,6,9,4,49,5012,1060,2.5536201863798915
2023-03-01,32,21,6,5,7,6,3,5,11,89,7364,1516,3.213585957265579
2023-03-02,32,22,8,2,8,5,7,5,7,359,7437,2691,2.872207146483378
2023-03-03,35,21,10,4,3,10,7,7,8,121,4753,1613,2.9359122018556056
2023-03-04,21,14,4,3,4,7,2,3,5,334,10160,1977,2.808784743053506
2023-03-05,20,9,5,6,6,4,1,3,6,79,4391,1056,3.061503898149068
2023-03-06,28,12,7,9,9,3,7,4,5,98,4302,950,3.2199077776489347
2023-03-07,38,22,11,5,6,13,7,9,3,104,4289,903,3.263882466095699
2023-03-08,33,18,9,6,10,6,3,2,12,134,4670,1049,3.189250317500604
2023-03-09,24,15,6,3,7,4,3,3,7,144,5398,3243,3.103681911300938
2023-03-10,31,17,7,7,7,8,7,4,5,94,13740,1197,3.2048414297474657
2023-03-11,25,13,7,5,5,5,3,5,7,88,3419,1436,2.9595984957097112
2023-03-12,17,6,5,6,1,5,4,4,3,60,1794,793,3.2858901006790413
2023-03-13,33,19,10,4,4,4,4,13,8,200,9677,2110,3.117540563526451
2023-03-14,47,26,12,9,9,7,8,13,10,454,5183,1335,3.0057101738872
2023-03-15,30,17,6,7,5,4,7,9,5,241,3988,2187,2.9050513548348555
2023-03-16,21,9,7,5,7,5,3,1,5,188,4098,1506,3.098908247757759
2023-03-17,41,20,17,4,7,11,6,6,11,216,9369,2068,2.963156928072048
2023-03-18,24,11,8,5,7,8,1,5,3,257,9452,1859,2.6329816269474144
2023-03-19,25,11,9,5,6,1,5,6,7,194,3614,1862,2.8750188595972674
2023-03-20,23,11,5,7,5,7,2,4,5,146,5121,1183,3.2818609398220304
2023-03-21,26,15,6,5,4,7,5,2,8,99,13727,1622,2.798829791527329
