发文时间,发帖数量,情感类别,主题数量,转发,点赞,评论,熵值
2022-01-01,1,{'pos': 1},{'Topic_4': 1},0.0,54.0,14.0,3.121928094887362
2022-01-02,3,"{'neu': 2, 'pos': 1}","{'Topic_0': 2, 'Topic_1': 1}",1.0,111.0,49.0,3.0021722231837633
2022-01-03,4,"{'pos': 2, 'neu': 1, 'neg': 1}","{'Topic_0': 3, 'Topic_2': 1}",8.0,266.0,89.0,3.1405606060552684
2022-01-04,9,"{'pos': 6, 'neu': 3}","{'Topic_4': 4, 'Topic_2': 2, 'Topic_0': 1, 'Topic_5': 1, 'Topic_1': 1}",2.0,137.0,58.0,3.576683688850078
2022-01-05,7,"{'pos': 3, 'neu': 3, 'neg': 1}","{'Topic_4': 4, 'Topic_5': 2, 'Topic_0': 1}",14.0,306.0,66.0,3.2527185227099507
2022-01-06,7,"{'neu': 4, 'pos': 3}","{'Topic_4': 3, 'Topic_3': 1, 'Topic_5': 1, 'Topic_0': 1, 'Topic_1': 1}",1.0,44.0,30.0,3.105063383445803
2022-01-07,3,"{'pos': 2, 'neu': 1}","{'Topic_3': 1, 'Topic_2': 1, 'Topic_0': 1}",2.0,136.0,29.0,3.0439523202029313
2022-01-08,3,"{'pos': 2, 'neu': 1}","{'Topic_5': 2, 'Topic_4': 1}",2.0,77.0,22.0,2.260453237841553
2022-01-09,4,"{'pos': 3, 'neu': 1}","{'Topic_4': 2, 'Topic_5': 1, 'Topic_0': 1}",9.0,407.0,117.0,2.893389315568796
2022-01-10,9,"{'pos': 6, 'neu': 2}","{'Topic_4': 4, 'Topic_0': 2, 'Topic_1': 1, 'Topic_3': 1, 'Topic_5': 1}",10.0,275.0,80.0,3.048837224900017
2022-01-11,17,"{'pos': 13, 'neg': 3, 'neu': 1}","{'Topic_3': 5, 'Topic_5': 5, 'Topic_2': 4, 'Topic_0': 2, 'Topic_4': 1}",52.0,1560.0,392.0,3.529269086108988
2022-01-12,20,"{'pos': 9, 'neu': 6, 'neg': 5}","{'Topic_4': 9, 'Topic_0': 7, 'Topic_2': 2, 'Topic_1': 1, 'Topic_5': 1}",40.0,1187.0,285.0,2.9289932255319764
2022-01-13,11,"{'neu': 5, 'pos': 5, 'neg': 1}","{'Topic_2': 2, 'Topic_0': 2, 'Topic_4': 2, 'Topic_1': 2, 'Topic_5': 2, 'Topic_3': 1}",5.0,105.0,40.0,3.08498982460309
2022-01-14,10,"{'pos': 7, 'neu': 2, 'neg': 1}","{'Topic_0': 3, 'Topic_2': 3, 'Topic_4': 2, 'Topic_5': 1, 'Topic_3': 1}",11.0,785.0,216.0,3.11241403960213
2022-01-15,9,"{'neg': 5, 'pos': 4}","{'Topic_2': 3, 'Topic_5': 3, 'Topic_4': 2, 'Topic_1': 1}",40.0,1265.0,450.0,3.5086231275740496
2022-01-16,2,"{'neu': 1, 'pos': 1}","{'Topic_0': 1, 'Topic_4': 1}",7.0,129.0,51.0,1.729715809318649
2022-01-17,12,"{'pos': 6, 'neg': 4, 'neu': 2}","{'Topic_4': 3, 'Topic_0': 3, 'Topic_1': 2, 'Topic_2': 2, 'Topic_3': 1, 'Topic_5': 1}",17.0,494.0,183.0,3.5820395647749748
2022-01-18,15,"{'pos': 8, 'neu': 4, 'neg': 3}","{'Topic_0': 5, 'Topic_4': 5, 'Topic_2': 2, 'Topic_1': 2, 'Topic_5': 1}",52.0,1074.0,427.0,3.567936567158223
2022-01-19,8,"{'pos': 4, 'neg': 2, 'neu': 2}","{'Topic_0': 4, 'Topic_5': 2, 'Topic_1': 2}",63.0,952.0,365.0,3.109002696264119
2022-01-20,11,"{'neg': 5, 'pos': 5, 'neu': 1}","{'Topic_2': 4, 'Topic_0': 2, 'Topic_4': 2, 'Topic_5': 1, 'Topic_3': 1, 'Topic_1': 1}",61.0,1334.0,359.0,3.3796024551227073
2022-01-21,14,"{'neu': 6, 'pos': 6, 'neg': 2}","{'Topic_0': 4, 'Topic_1': 4, 'Topic_2': 2, 'Topic_4': 2, 'Topic_3': 1, 'Topic_5': 1}",27.0,465.0,150.0,3.0705670531965508
2022-01-22,7,"{'neg': 4, 'pos': 2, 'neu': 1}","{'Topic_2': 2, 'Topic_0': 1, 'Topic_5': 1, 'Topic_4': 1, 'Topic_1': 1, 'Topic_3': 1}",82.0,1425.0,563.0,3.2080082910564065
2022-01-23,4,"{'neg': 2, 'pos': 2}","{'Topic_4': 2, 'Topic_0': 1, 'Topic_5': 1}",6.0,332.0,100.0,3.449953125901445
2022-01-24,12,"{'pos': 8, 'neu': 4}","{'Topic_5': 3, 'Topic_1': 3, 'Topic_3': 2, 'Topic_4': 2, 'Topic_0': 1, 'Topic_2': 1}",9.0,322.0,105.0,2.906738766467388
2022-01-25,12,"{'pos': 7, 'neg': 3, 'neu': 2}","{'Topic_5': 3, 'Topic_4': 3, 'Topic_2': 2, 'Topic_0': 2, 'Topic_3': 1, 'Topic_1': 1}",18.0,1357.0,186.0,3.346226481930303
2022-01-26,13,"{'pos': 12, 'neg': 1}","{'Topic_5': 5, 'Topic_0': 2, 'Topic_1': 2, 'Topic_4': 2, 'Topic_3': 2}",61.0,480.0,197.0,3.253314389824164
2022-01-27,17,"{'pos': 10, 'neg': 4, 'neu': 3}","{'Topic_4': 6, 'Topic_1': 4, 'Topic_0': 3, 'Topic_2': 3, 'Topic_5': 1}",92.0,2072.0,747.0,3.3588637880171106
2022-01-28,9,"{'pos': 4, 'neg': 3, 'neu': 2}","{'Topic_4': 2, 'Topic_5': 2, 'Topic_1': 2, 'Topic_0': 2, 'Topic_2': 1}",75.0,217.0,149.0,3.365418805848595
2022-01-29,9,"{'neu': 4, 'pos': 3, 'neg': 2}","{'Topic_0': 3, 'Topic_1': 2, 'Topic_3': 2, 'Topic_4': 1, 'Topic_2': 1}",63.0,619.0,245.0,2.6652831919902575
2022-01-30,5,"{'neu': 2, 'pos': 2, 'neg': 1}","{'Topic_2': 2, 'Topic_3': 1, 'Topic_4': 1, 'Topic_5': 1}",4.0,148.0,29.0,2.3242272226549283
2022-01-31,4,"{'pos': 2, 'neu': 1}","{'Topic_0': 1, 'Topic_1': 1, 'Topic_5': 1, 'Topic_4': 1}",2.0,35.0,20.0,3.89900040766151
2022-02-01,16,"{'pos': 10, 'neu': 3, 'neg': 3}","{'Topic_4': 8, 'Topic_1': 3, 'Topic_0': 3, 'Topic_2': 2}",69.0,417.0,184.0,3.5573528388255675
2022-02-02,17,"{'pos': 10, 'neg': 5, 'neu': 2}","{'Topic_4': 6, 'Topic_1': 6, 'Topic_3': 2, 'Topic_0': 2, 'Topic_5': 1}",86.0,1663.0,620.0,3.4325897023442917
2022-02-03,12,"{'pos': 7, 'neu': 3, 'neg': 2}","{'Topic_3': 3, 'Topic_1': 3, 'Topic_0': 3, 'Topic_4': 2, 'Topic_5': 1}",140.0,1110.0,353.0,3.142275735930667
2022-02-04,11,"{'pos': 9, 'neg': 1, 'neu': 1}","{'Topic_1': 4, 'Topic_0': 2, 'Topic_5': 2, 'Topic_2': 1, 'Topic_3': 1, 'Topic_4': 1}",1810.0,5581.0,4790.0,3.0581720611591563
2022-02-05,14,"{'pos': 9, 'neu': 3, 'neg': 2}","{'Topic_1': 4, 'Topic_4': 3, 'Topic_2': 3, 'Topic_0': 2, 'Topic_3': 1, 'Topic_5': 1}",14.0,887.0,239.0,2.9799260520599096
2022-02-06,12,"{'pos': 8, 'neg': 2, 'neu': 2}","{'Topic_4': 5, 'Topic_1': 2, 'Topic_2': 2, 'Topic_0': 2, 'Topic_5': 1}",22.0,643.0,300.0,3.2536254216420786
2022-02-07,9,"{'pos': 6, 'neu': 3}","{'Topic_4': 2, 'Topic_3': 2, 'Topic_0': 2, 'Topic_2': 2, 'Topic_1': 1}",12.0,409.0,115.0,2.430376711280313
2022-02-08,13,"{'pos': 9, 'neg': 3, 'neu': 1}","{'Topic_2': 3, 'Topic_0': 3, 'Topic_3': 2, 'Topic_1': 2, 'Topic_5': 2, 'Topic_4': 1}",19.0,546.0,242.0,2.9472035457605377
2022-02-09,21,"{'pos': 9, 'neu': 8, 'neg': 4}","{'Topic_1': 8, 'Topic_0': 6, 'Topic_4': 5, 'Topic_5': 1, 'Topic_2': 1}",2.0,260.0,59.0,3.0237517812135883
2022-02-10,14,"{'pos': 7, 'neu': 5, 'neg': 2}","{'Topic_4': 5, 'Topic_2': 4, 'Topic_1': 3, 'Topic_5': 1, 'Topic_3': 1}",40.0,1365.0,383.0,3.09482339432375
2022-02-11,11,"{'pos': 7, 'neu': 2, 'neg': 2}","{'Topic_4': 3, 'Topic_3': 2, 'Topic_5': 2, 'Topic_2': 2, 'Topic_0': 2}",15.0,638.0,150.0,3.060710191940652
2022-02-12,7,"{'pos': 5, 'neu': 2}","{'Topic_3': 2, 'Topic_2': 1, 'Topic_0': 1, 'Topic_5': 1, 'Topic_4': 1, 'Topic_1': 1}",3.0,211.0,91.0,2.941337913099194
2022-02-13,8,"{'pos': 6, 'neg': 2}","{'Topic_0': 4, 'Topic_4': 3, 'Topic_3': 1}",7.0,1288.0,1017.0,3.445558013051659
2022-02-14,19,"{'pos': 13, 'neu': 3, 'neg': 3}","{'Topic_4': 6, 'Topic_2': 5, 'Topic_0': 4, 'Topic_3': 2, 'Topic_1': 1, 'Topic_5': 1}",20.0,695.0,185.0,3.3310437929391
2022-02-15,20,"{'pos': 14, 'neu': 3, 'neg': 3}","{'Topic_4': 6, 'Topic_0': 4, 'Topic_2': 4, 'Topic_3': 3, 'Topic_5': 2, 'Topic_1': 1}",69.0,1526.0,388.0,3.2716374394234067
2022-02-16,11,"{'pos': 5, 'neu': 4, 'neg': 2}","{'Topic_4': 4, 'Topic_1': 3, 'Topic_0': 2, 'Topic_2': 1, 'Topic_5': 1}",16.0,292.0,96.0,3.5370262149316813
2022-02-17,16,"{'pos': 12, 'neg': 2, 'neu': 2}","{'Topic_1': 5, 'Topic_4': 3, 'Topic_2': 3, 'Topic_0': 2, 'Topic_3': 2, 'Topic_5': 1}",24.0,903.0,152.0,3.001218090309777
2022-02-18,20,"{'pos': 9, 'neu': 9, 'neg': 2}","{'Topic_4': 6, 'Topic_2': 4, 'Topic_3': 3, 'Topic_1': 3, 'Topic_0': 2, 'Topic_5': 2}",20.0,1730.0,331.0,2.923467279748379
2022-02-19,13,"{'pos': 9, 'neu': 2, 'neg': 2}","{'Topic_4': 5, 'Topic_0': 3, 'Topic_1': 2, 'Topic_2': 2, 'Topic_3': 1}",3.0,290.0,69.0,3.2829414073087557
