发文时间,发帖数量,主题数量,转发,点赞,评论,熵值
2023-01-01,34.0,"{'Topic_4': 12, 'Topic_0': 9, 'Topic_3': 7, 'Topic_1': 4, 'Topic_2': 2}",262.0,16314.0,3964.0,2.2607204854717335
2023-01-02,75.0,"{'Topic_0': 28, 'Topic_1': 21, 'Topic_3': 17, 'Topic_4': 5, 'Topic_2': 4}",201.0,12225.0,2943.0,2.6020709938311017
2023-01-03,115.0,"{'Topic_0': 33, 'Topic_4': 30, 'Topic_3': 25, 'Topic_1': 20, 'Topic_2': 7}",327.0,8570.0,3647.0,2.551482336458273
2023-01-04,86.0,"{'Topic_0': 26, 'Topic_4': 24, 'Topic_3': 19, 'Topic_1': 13, 'Topic_2': 4}",184.0,7589.0,2334.0,2.5696169022799316
2023-01-05,106.0,"{'Topic_1': 30, 'Topic_4': 26, 'Topic_2': 18, 'Topic_3': 17, 'Topic_0': 15}",462.0,9651.0,2465.0,3.0109951939562083
2023-01-06,106.0,"{'Topic_4': 33, 'Topic_1': 31, 'Topic_3': 15, 'Topic_2': 14, 'Topic_0': 13}",1450.0,59927.0,22392.0,2.969088736997103
2023-01-07,96.0,"{'Topic_0': 32, 'Topic_3': 20, 'Topic_4': 19, 'Topic_1': 17, 'Topic_2': 8}",607.0,12210.0,4563.0,2.585172388115589
2023-01-08,113.0,"{'Topic_0': 28, 'Topic_1': 28, 'Topic_4': 28, 'Topic_3': 18, 'Topic_2': 11}",666.0,17959.0,5343.0,2.6056511570653464
2023-01-09,114.0,"{'Topic_4': 26, 'Topic_2': 25, 'Topic_3': 25, 'Topic_1': 21, 'Topic_0': 17}",354.0,20136.0,3376.0,2.9550165792771144
2023-01-10,91.0,"{'Topic_4': 36, 'Topic_0': 20, 'Topic_2': 13, 'Topic_1': 12, 'Topic_3': 10}",213.0,11273.0,3735.0,2.580856831809826
2023-01-11,139.0,"{'Topic_1': 41, 'Topic_0': 33, 'Topic_4': 29, 'Topic_3': 21, 'Topic_2': 15}",7013.0,19058.0,5088.0,2.6715094337562375
2023-01-12,97.0,"{'Topic_1': 29, 'Topic_3': 25, 'Topic_0': 24, 'Topic_4': 14, 'Topic_2': 5}",315.0,12409.0,3011.0,2.810726350143638
2023-01-13,91.0,"{'Topic_1': 24, 'Topic_3': 21, 'Topic_0': 19, 'Topic_4': 17, 'Topic_2': 10}",158.0,10005.0,2291.0,3.069944548665531
2023-01-14,78.0,"{'Topic_4': 22, 'Topic_1': 20, 'Topic_3': 18, 'Topic_0': 13, 'Topic_2': 5}",267.0,11282.0,3860.0,2.7183295110411336
2023-01-15,73.0,"{'Topic_3': 21, 'Topic_0': 19, 'Topic_1': 15, 'Topic_2': 10, 'Topic_4': 8}",124.0,7817.0,2531.0,2.7571623971406303
2023-01-16,105.0,"{'Topic_4': 30, 'Topic_0': 27, 'Topic_1': 22, 'Topic_3': 14, 'Topic_2': 12}",522.0,18932.0,5936.0,2.894399171739387
2023-01-17,138.0,"{'Topic_1': 35, 'Topic_0': 31, 'Topic_3': 31, 'Topic_2': 21, 'Topic_4': 20}",395.0,63436.0,10189.0,2.7674676392996704
2023-01-18,106.0,"{'Topic_4': 26, 'Topic_1': 24, 'Topic_0': 22, 'Topic_2': 17, 'Topic_3': 17}",291.0,11320.0,3671.0,3.0298200220235034
2023-01-19,142.0,"{'Topic_0': 35, 'Topic_1': 32, 'Topic_4': 32, 'Topic_2': 25, 'Topic_3': 18}",394.0,17921.0,6121.0,3.021711708336744
2023-01-20,108.0,"{'Topic_1': 33, 'Topic_0': 24, 'Topic_4': 22, 'Topic_3': 16, 'Topic_2': 13}",237.0,9544.0,3360.0,2.908559967039674
2023-01-21,82.0,"{'Topic_4': 30, 'Topic_1': 18, 'Topic_3': 16, 'Topic_0': 13, 'Topic_2': 5}",186.0,7554.0,1523.0,2.349522314423886
2023-01-22,59.0,"{'Topic_4': 17, 'Topic_0': 15, 'Topic_1': 15, 'Topic_2': 7, 'Topic_3': 5}",119.0,6816.0,1568.0,2.5737774262128426
2023-01-23,99.0,"{'Topic_0': 27, 'Topic_3': 27, 'Topic_4': 17, 'Topic_1': 16, 'Topic_2': 12}",136.0,8070.0,1939.0,2.838037703320788
2023-01-24,91.0,"{'Topic_0': 29, 'Topic_1': 29, 'Topic_4': 18, 'Topic_3': 8, 'Topic_2': 7}",242.0,16579.0,2749.0,3.213094069065072
2023-01-25,118.0,"{'Topic_4': 40, 'Topic_0': 37, 'Topic_1': 16, 'Topic_3': 16, 'Topic_2': 9}",418.0,12061.0,4074.0,3.091542099788012
2023-01-26,120.0,"{'Topic_1': 28, 'Topic_0': 24, 'Topic_2': 24, 'Topic_4': 24, 'Topic_3': 20}",680.0,22344.0,8017.0,2.7923788317361753
2023-01-27,94.0,"{'Topic_1': 27, 'Topic_4': 21, 'Topic_0': 17, 'Topic_3': 15, 'Topic_2': 14}",644.0,12299.0,6228.0,3.0498798546213077
2023-01-28,63.0,"{'Topic_0': 16, 'Topic_1': 16, 'Topic_4': 15, 'Topic_3': 9, 'Topic_2': 7}",142.0,5953.0,1807.0,2.53604311010809
2023-01-29,68.0,"{'Topic_1': 18, 'Topic_3': 16, 'Topic_2': 13, 'Topic_4': 12, 'Topic_0': 9}",543.0,10999.0,5094.0,3.0613379567155143
2023-01-30,104.0,"{'Topic_0': 29, 'Topic_1': 28, 'Topic_4': 19, 'Topic_3': 17, 'Topic_2': 11}",212.0,8645.0,2503.0,2.8857416514509877
2023-01-31,144.0,"{'Topic_0': 32, 'Topic_2': 32, 'Topic_1': 31, 'Topic_4': 27, 'Topic_3': 22}",570.0,14029.0,4151.0,3.151064591571369
2023-02-01,107.0,"{'Topic_3': 29, 'Topic_0': 21, 'Topic_2': 21, 'Topic_4': 19, 'Topic_1': 17}",235.0,10474.0,2557.0,2.967152424916551
2023-02-02,94.0,"{'Topic_0': 38, 'Topic_2': 16, 'Topic_1': 15, 'Topic_4': 15, 'Topic_3': 10}",309.0,14948.0,3576.0,3.163903440025062
2023-02-03,130.0,"{'Topic_1': 38, 'Topic_0': 32, 'Topic_4': 26, 'Topic_2': 17, 'Topic_3': 17}",380.0,19408.0,2983.0,2.9800373948485883
