主题数,困惑度,一致性
2,-6.818720651459986,0.47853140940040106
3,-6.871905346175627,0.49780411679842357
4,-6.938204610815399,0.47335047681786924
5,-6.9689142805640625,0.4544231783117036
6,-6.986454134601219,0.43467925816700737
7,-7.043011247669126,0.45146391188017926
8,-7.010771350380418,0.44083328747476924
9,-7.092007691154547,0.4535832958865728
10,-7.1157711909280765,0.4363772158552326
11,-7.1214617664467434,0.43653595312897875
12,-7.209935842971668,0.43792923343931633
13,-7.211608462483996,0.4197983435491607
14,-7.244981462262349,0.4021528575598669
