rental_method,district,area,orient,floor,housetype,room,parlor,toilet,price,city
整租,松江区,127.0,南 ,低楼层, 3室2厅2卫 ,3,2,2,5274,上海
整租,杨浦区,37.0,南 ,中楼层, 1室1厅1卫 ,1,1,1,4900,上海
整租,黄浦区,49.0,南 ,中楼层, 1室1厅1卫 ,1,1,1,5900,上海
整租,普陀区,63.04,南 ,高楼层, 1室1厅1卫 ,1,1,1,5202,上海
整租,静安区,83.52,南 北 ,高楼层, 2室2厅1卫 ,2,2,1,5700,上海
整租,松江区,105.68,南 ,中楼层, 2室2厅1卫 ,2,2,1,5500,上海
整租,浦东区,65.61,东南 ,低楼层, 2室1厅1卫 ,2,1,1,6100,上海
整租,松江区,113.52,南 ,中楼层, 3室2厅2卫 ,3,2,2,4300,上海
整租,杨浦区,49.47,南 ,高楼层, 1室1厅1卫 ,1,1,1,3750,上海
整租,松江区,43.85,南 ,中楼层, 1室1厅1卫 ,1,1,1,4488,上海
整租,浦东区,125.16,南 北 ,高楼层, 3室2厅2卫 ,3,2,2,14700,上海
整租,浦东区,47.58,南 ,中楼层, 2室1厅1卫 ,2,1,1,3600,上海
整租,浦东区,55.18,南 ,低楼层, 1室1厅1卫 ,1,1,1,3600,上海
整租,长宁区,42.76,南 ,中楼层, 1室1厅1卫 ,1,1,1,4500,上海
整租,普陀区,67.34,南 ,高楼层, 2室1厅1卫 ,2,1,1,6510,上海
整租,嘉定区,74.0,南 北 ,中楼层, 3室1厅1卫 ,3,1,1,4600,上海
整租,闵行区,49.0,南 ,中楼层, 1室1厅1卫 ,1,1,1,4500,上海
整租,虹口区,42.91,南 ,高楼层, 1室1厅1卫 ,1,1,1,3900,上海
整租,浦东区,96.47,南 ,中楼层, 2室1厅1卫 ,2,1,1,8900,上海
整租,松江区,80.11,南 ,低楼层, 2室2厅1卫 ,2,2,1,5800,上海
整租,普陀区,40.0,南 ,高楼层, 1室1厅1卫 ,1,1,1,3050,上海
整租,杨浦区,37.0,南 ,中楼层, 1室1厅1卫 ,1,1,1,4900,上海
整租,奉贤区,87.95,南 ,低楼层, 2室2厅1卫 ,2,2,1,2800,上海
整租,闵行区,48.0,东南 南 ,中楼层, 2室1厅1卫 ,2,1,1,2700,上海
整租,静安区,83.52,南 北 ,高楼层, 2室2厅1卫 ,2,2,1,5700,上海
整租,松江区,105.68,南 ,中楼层, 2室2厅1卫 ,2,2,1,5500,上海
