Source,Target,Type,Weight
疫情,无症状,Undirected,51
疫情,人员,Undirected,116
疫情,防控,Undirected,57
疫情,确诊,Undirected,66
疫情,病例,Undirected,85
疫情,工作,Undirected,15
疫情,政策,Undirected,82
疫情,死亡,Undirected,40
疫情,感染,Undirected,33
疫情,人生,Undirected,55
疫情,学校,Undirected,92
疫情,时间,Undirected,13
疫情,疫苗,Undirected,94
疫情,检测,Undirected,110
疫情,接种,Undirected,17
疫情,关系,Undirected,83
疫情,发现,Undirected,14
疫情,病毒,Undirected,60
疫情,喜欢,Undirected,89
疫情,世界,Undirected,26
疫情,代表,Undirected,74
疫情,趋势,Undirected,17
疫情,行情,Undirected,81
疫情,影响,Undirected,58
疫情,生命,Undirected,16
疫情,走势,Undirected,14
疫情,市场,Undirected,31
疫情,反弹,Undirected,11
疫情,指数,Undirected,56
疫情,预期,Undirected,120
疫情,下跌,Undirected,51
疫情,能量,Undirected,69
疫情,未知,Undirected,39
疫情,经济,Undirected,90
疫情,阳性,Undirected,83
疫情,震荡,Undirected,23
疫情,板块,Undirected,106
疫情,资金,Undirected,34
疫情,作用,Undirected,10
疫情,有人,Undirected,66
疫情,家里,Undirected,125
疫情,婚姻,Undirected,22
疫情,大道,Undirected,85
疫情,阴阳,Undirected,95
疫情,中医,Undirected,84
疫情,阳气,Undirected,34
疫情,中药,Undirected,101
疫情,万物,Undirected,88
疫情,中国,Undirected,57
疫情,企业,Undirected,79
疫情,服务,Undirected,1
疫情,天地,Undirected,26
疫情,女人,Undirected,47
疫情,患者,Undirected,23
疫情,疾病,Undirected,102
疫情,医疗,Undirected,11
疫情,股价,Undirected,124
疫情,日子,Undirected,117
疫情,输入,Undirected,55
疫情,治疗,Undirected,25
疫情,都阳,Undirected,86
疫情,社区,Undirected,66
疫情,老师,Undirected,114
疫情,阳华,Undirected,2
疫情,山东,Undirected,124
疫情,临床,Undirected,59
疫情,出生,Undirected,118
疫情,哈哈哈哈,Undirected,47
疫情,男人,Undirected,51
疫情,也阳了,Undirected,32
疫情,上门,Undirected,111
疫情,又阳,Undirected,39
疫情,呜呜,Undirected,35
疫情,辖区,Undirected,68
疫情,干嘛,Undirected,83
疫情,安然,Undirected,43
疫情,保定,Undirected,95
朋友,新冠,Undirected,67
朋友,感染者,Undirected,88
朋友,人员,Undirected,51
朋友,防控,Undirected,19
朋友,调整,Undirected,22
朋友,隔离,Undirected,47
朋友,措施,Undirected,75
朋友,病例,Undirected,37
朋友,公司,Undirected,18
朋友,咳嗽,Undirected,97
朋友,疫苗,Undirected,30
朋友,数据,Undirected,11
朋友,关系,Undirected,77
朋友,发现,Undirected,4
朋友,病毒,Undirected,117
朋友,世界,Undirected,43
朋友,代表,Undirected,27
朋友,自然,Undirected,47
朋友,感觉,Undirected,110
朋友,影响,Undirected,120
朋友,生命,Undirected,58
朋友,走势,Undirected,85
朋友,指数,Undirected,35
朋友,下跌,Undirected,74
朋友,身体,Undirected,107
朋友,隔壁,Undirected,53
朋友,人类,Undirected,12
朋友,未知,Undirected,60
朋友,经济,Undirected,90
朋友,突破,Undirected,108
朋友,震荡,Undirected,91
朋友,板块,Undirected,32
朋友,资金,Undirected,38
朋友,股票,Undirected,41
朋友,作用,Undirected,38
朋友,有人,Undirected,58
朋友,家里,Undirected,74
朋友,婚姻,Undirected,114
朋友,大道,Undirected,64
朋友,症状,Undirected,45
朋友,中医,Undirected,17
朋友,温暖,Undirected,15
朋友,中药,Undirected,123
朋友,昨天,Undirected,24
朋友,万物,Undirected,80
朋友,服务,Undirected,127
朋友,防疫,Undirected,59
朋友,女人,Undirected,111
朋友,患者,Undirected,52
朋友,疾病,Undirected,108
朋友,医院,Undirected,55
朋友,放开,Undirected,6
朋友,精神,Undirected,1
朋友,股价,Undirected,76
朋友,日子,Undirected,114
朋友,保护,Undirected,118
朋友,好好,Undirected,102
朋友,境外,Undirected,63
朋友,治疗,Undirected,20
朋友,都阳,Undirected,78
朋友,老师,Undirected,71
朋友,阳华,Undirected,37
朋友,山东,Undirected,51
朋友,感冒,Undirected,36
朋友,临床,Undirected,124
朋友,办事处,Undirected,19
朋友,出生,Undirected,92
朋友,三年,Undirected,9
朋友,爸爸,Undirected,93
朋友,哈哈哈哈,Undirected,48
朋友,重庆,Undirected,113
朋友,男人,Undirected,99
朋友,也阳了,Undirected,36
朋友,上门,Undirected,81
朋友,又阳,Undirected,17
朋友,呜呜,Undirected,33
朋友,干嘛,Undirected,28
朋友,文字,Undirected,113
朋友,安然,Undirected,12
朋友,行者,Undirected,25
朋友,保定,Undirected,36
新冠,肺炎,Undirected,6
新冠,核酸,Undirected,105
新冠,隔离,Undirected,18
新冠,病例,Undirected,37
新冠,工作,Undirected,66
新冠,死亡,Undirected,70
新冠,感染,Undirected,88
新冠,向阳,Undirected,54
新冠,咳嗽,Undirected,10
新冠,做好,Undirected,28
新冠,研究,Undirected,62
新冠,接种,Undirected,95
新冠,关系,Undirected,90
新冠,发现,Undirected,11
新冠,病毒,Undirected,62
新冠,世界,Undirected,90
新冠,代表,Undirected,121
新冠,感觉,Undirected,37
新冠,行情,Undirected,126
新冠,阳线,Undirected,45
新冠,生命,Undirected,33
新冠,指数,Undirected,95
新冠,预期,Undirected,93
新冠,东西,Undirected,52
新冠,隔壁,Undirected,51
新冠,小区,Undirected,23
新冠,人类,Undirected,61
新冠,发展,Undirected,85
新冠,老年人,Undirected,15
新冠,阳性,Undirected,21
新冠,突破,Undirected,7
新冠,资金,Undirected,50
新冠,大盘,Undirected,94
新冠,变化,Undirected,97
新冠,婚姻,Undirected,5
新冠,不好,Undirected,10
新冠,阴阳,Undirected,50
新冠,症状,Undirected,91
新冠,药物,Undirected,3
新冠,阳气,Undirected,27
新冠,温暖,Undirected,102
新冠,中药,Undirected,21
新冠,万物,Undirected,20
新冠,中国,Undirected,4
新冠,服务,Undirected,110
新冠,广州,Undirected,111
新冠,抗疫,Undirected,104
新冠,防疫,Undirected,24
新冠,女人,Undirected,14
新冠,患者,Undirected,1
新冠,医院,Undirected,102
新冠,医疗,Undirected,14
新冠,放开,Undirected,23
新冠,股价,Undirected,80
新冠,日子,Undirected,47
新冠,境外,Undirected,64
新冠,方舱,Undirected,60
新冠,治疗,Undirected,120
新冠,都阳,Undirected,45
新冠,重症,Undirected,111
新冠,打电话,Undirected,80
新冠,意识,Undirected,118
新冠,还好,Undirected,77
新冠,优化,Undirected,32
新冠,感冒,Undirected,8
新冠,好多,Undirected,127
新冠,临床,Undirected,97
新冠,办事处,Undirected,114
新冠,出生,Undirected,57
新冠,爸爸,Undirected,42
新冠,哈哈哈哈,Undirected,12
新冠,重庆,Undirected,122
新冠,男人,Undirected,19
新冠,也阳了,Undirected,29
新冠,又阳,Undirected,32
新冠,呜呜,Undirected,2
新冠,干嘛,Undirected,38
新冠,文字,Undirected,53
新冠,安然,Undirected,16
新冠,行者,Undirected,66
新冠,保定,Undirected,41
肺炎,无症状,Undirected,69
肺炎,感染者,Undirected,18
肺炎,人员,Undirected,78
肺炎,隔离,Undirected,35
肺炎,学生,Undirected,79
肺炎,确诊,Undirected,115
肺炎,病例,Undirected,44
肺炎,公司,Undirected,15
肺炎,工作,Undirected,99
肺炎,死亡,Undirected,85
肺炎,感染,Undirected,112
肺炎,人生,Undirected,60
肺炎,向阳,Undirected,43
肺炎,咳嗽,Undirected,71
肺炎,学校,Undirected,60
肺炎,研究,Undirected,118
肺炎,时间,Undirected,88
肺炎,疫苗,Undirected,50
肺炎,病毒,Undirected,111
肺炎,喜欢,Undirected,74
肺炎,世界,Undirected,85
肺炎,代表,Undirected,116
肺炎,自然,Undirected,127
肺炎,感觉,Undirected,114
肺炎,上涨,Undirected,96
肺炎,行情,Undirected,39
肺炎,阳线,Undirected,9
肺炎,走势,Undirected,40
肺炎,市场,Undirected,35
肺炎,反弹,Undirected,9
肺炎,关注,Undirected,71
肺炎,美国,Undirected,118
肺炎,下跌,Undirected,39
肺炎,东西,Undirected,103
肺炎,身体,Undirected,87
肺炎,隔壁,Undirected,30
肺炎,小区,Undirected,110
肺炎,未知,Undirected,25
肺炎,发展,Undirected,118
肺炎,阳性,Undirected,59
肺炎,突破,Undirected,89
肺炎,震荡,Undirected,40
肺炎,板块,Undirected,7
肺炎,大盘,Undirected,23
肺炎,股票,Undirected,65
肺炎,变化,Undirected,106
肺炎,婚姻,Undirected,2
肺炎,不好,Undirected,63
肺炎,大道,Undirected,35
肺炎,阴阳,Undirected,24
肺炎,药物,Undirected,35
肺炎,阳气,Undirected,25
肺炎,温暖,Undirected,78
肺炎,万物,Undirected,11
肺炎,中国,Undirected,4
肺炎,企业,Undirected,53
肺炎,服务,Undirected,46
肺炎,抗疫,Undirected,44
肺炎,女人,Undirected,6
肺炎,医疗,Undirected,92
肺炎,精神,Undirected,86
肺炎,股价,Undirected,28
肺炎,日子,Undirected,57
肺炎,保护,Undirected,112
肺炎,永远,Undirected,58
肺炎,好好,Undirected,50
肺炎,方舱,Undirected,75
肺炎,治疗,Undirected,7
肺炎,都阳,Undirected,1
肺炎,社区,Undirected,99
肺炎,老师,Undirected,70
肺炎,打电话,Undirected,18
肺炎,意识,Undirected,17
肺炎,奥密克,Undirected,117
肺炎,还好,Undirected,16
肺炎,街道,Undirected,2
肺炎,感冒,Undirected,18
肺炎,好多,Undirected,29
肺炎,临床,Undirected,123
肺炎,出生,Undirected,13
肺炎,爸爸,Undirected,11
肺炎,重庆,Undirected,16
肺炎,男人,Undirected,8
肺炎,也阳了,Undirected,2
肺炎,干嘛,Undirected,6
肺炎,文字,Undirected,17
肺炎,行者,Undirected,76
肺炎,保定,Undirected,25
无症状,人员,Undirected,12
无症状,防控,Undirected,40
无症状,隔离,Undirected,54
无症状,确诊,Undirected,20
无症状,病例,Undirected,46
无症状,工作,Undirected,124
无症状,死亡,Undirected,106
无症状,感染,Undirected,70
无症状,人生,Undirected,21
无症状,向阳,Undirected,8
无症状,身边,Undirected,115
无症状,研究,Undirected,55
无症状,风险,Undirected,84
无症状,接种,Undirected,14
无症状,数据,Undirected,92
无症状,关系,Undirected,68
无症状,发现,Undirected,50
无症状,喜欢,Undirected,26
无症状,世界,Undirected,112
无症状,自然,Undirected,63
无症状,趋势,Undirected,86
无症状,上涨,Undirected,28
无症状,行情,Undirected,21
无症状,影响,Undirected,75
无症状,阳线,Undirected,2
无症状,希望,Undirected,70
无症状,走势,Undirected,23
无症状,市场,Undirected,43
无症状,一线,Undirected,104
无症状,美国,Undirected,22
无症状,预期,Undirected,33
无症状,下跌,Undirected,12
无症状,东西,Undirected,62
无症状,隔壁,Undirected,18
无症状,人类,Undirected,117
无症状,能量,Undirected,118
无症状,未知,Undirected,95
无症状,经济,Undirected,88
无症状,突破,Undirected,47
无症状,震荡,Undirected,22
无症状,资金,Undirected,22
无症状,大盘,Undirected,11
无症状,股票,Undirected,24
无症状,不好,Undirected,70
无症状,大道,Undirected,102
无症状,阴阳,Undirected,17
无症状,症状,Undirected,115
无症状,人体,Undirected,93
无症状,中医,Undirected,59
无症状,生活,Undirected,89
无症状,阳气,Undirected,7
无症状,温暖,Undirected,11
无症状,中药,Undirected,70
无症状,万物,Undirected,4
无症状,企业,Undirected,112
无症状,天地,Undirected,124
无症状,广州,Undirected,32
无症状,抗疫,Undirected,15
无症状,防疫,Undirected,109
无症状,女人,Undirected,3
无症状,患者,Undirected,47
无症状,疾病,Undirected,67
无症状,放开,Undirected,33
无症状,精神,Undirected,73
无症状,股价,Undirected,7
无症状,日子,Undirected,115
无症状,清零,Undirected,112
无症状,保护,Undirected,69
无症状,永远,Undirected,44
无症状,好好,Undirected,52
无症状,输入,Undirected,13
无症状,方舱,Undirected,101
无症状,治疗,Undirected,78
无症状,都阳,Undirected,11
无症状,老师,Undirected,34
无症状,重症,Undirected,51
无症状,打电话,Undirected,13
无症状,奥密克,Undirected,121
无症状,还好,Undirected,33
无症状,街道,Undirected,106
无症状,好多,Undirected,33
无症状,临床,Undirected,99
无症状,办事处,Undirected,28
无症状,出生,Undirected,9
无症状,爸爸,Undirected,12
无症状,哈哈哈哈,Undirected,2
无症状,男人,Undirected,2
无症状,也阳了,Undirected,4
无症状,上门,Undirected,49
无症状,又阳,Undirected,2
无症状,辖区,Undirected,85
无症状,干嘛,Undirected,14
无症状,文字,Undirected,12
无症状,安然,Undirected,4
无症状,行者,Undirected,7
无症状,保定,Undirected,7
感染者,防控,Undirected,100
感染者,隔离,Undirected,125
感染者,工作,Undirected,1
感染者,政策,Undirected,34
感染者,人生,Undirected,21
感染者,向阳,Undirected,18
感染者,身边,Undirected,122
感染者,咳嗽,Undirected,21
感染者,学校,Undirected,40
感染者,研究,Undirected,58
感染者,时间,Undirected,19
感染者,疫苗,Undirected,9
感染者,接种,Undirected,78
感染者,关系,Undirected,93
感染者,喜欢,Undirected,38
感染者,自然,Undirected,95
感染者,上涨,Undirected,25
感染者,行情,Undirected,18
感染者,影响,Undirected,3
感染者,阳线,Undirected,2
感染者,希望,Undirected,125
感染者,走势,Undirected,16
感染者,反弹,Undirected,107
感染者,预期,Undirected,36
感染者,下跌,Undirected,8
感染者,东西,Undirected,71
感染者,身体,Undirected,4
感染者,隔壁,Undirected,18
感染者,小区,Undirected,52
感染者,未知,Undirected,104
感染者,发展,Undirected,117
感染者,老年人,Undirected,26
感染者,阳性,Undirected,125
感染者,突破,Undirected,72
感染者,震荡,Undirected,24
感染者,资金,Undirected,31
感染者,大盘,Undirected,6
感染者,股票,Undirected,28
感染者,变化,Undirected,90
感染者,不好,Undirected,64
感染者,阴阳,Undirected,17
感染者,人体,Undirected,112
感染者,中医,Undirected,66
感染者,阳气,Undirected,6
感染者,温暖,Undirected,19
感染者,中药,Undirected,60
感染者,万物,Undirected,4
感染者,中国,Undirected,97
感染者,形势严峻,Undirected,39
感染者,抗疫,Undirected,93
感染者,防疫,Undirected,9
感染者,女人,Undirected,4
感染者,患者,Undirected,10
感染者,疾病,Undirected,88
感染者,医疗,Undirected,24
感染者,精神,Undirected,105
感染者,股价,Undirected,5
感染者,日子,Undirected,111
感染者,清零,Undirected,21
感染者,永远,Undirected,53
感染者,好好,Undirected,32
感染者,境外,Undirected,86
感染者,输入,Undirected,86
感染者,方舱,Undirected,121
感染者,都阳,Undirected,3
感染者,老师,Undirected,35
感染者,重症,Undirected,124
感染者,打电话,Undirected,15
感染者,意识,Undirected,48
感染者,奥密克,Undirected,33
感染者,还好,Undirected,21
感染者,好多,Undirected,31
感染者,办事处,Undirected,61
感染者,出生,Undirected,8
感染者,爸爸,Undirected,7
感染者,哈哈哈哈,Undirected,1
感染者,重庆,Undirected,75
感染者,男人,Undirected,5
感染者,也阳了,Undirected,1
感染者,上门,Undirected,91
感染者,呜呜,Undirected,3
感染者,干嘛,Undirected,11
感染者,文字,Undirected,18
感染者,安然,Undirected,4
感染者,行者,Undirected,11
感染者,保定,Undirected,11
人员,调整,Undirected,80
人员,核酸,Undirected,29
人员,隔离,Undirected,11
人员,措施,Undirected,14
人员,确诊,Undirected,101
人员,政策,Undirected,14
人员,感染,Undirected,46
人员,人生,Undirected,44
人员,向阳,Undirected,61
人员,做好,Undirected,111
人员,国家,Undirected,54
人员,时间,Undirected,20
人员,病毒,Undirected,6
人员,喜欢,Undirected,77
人员,世界,Undirected,30
人员,代表,Undirected,114
人员,上涨,Undirected,64
人员,行情,Undirected,32
人员,影响,Undirected,102
人员,阳线,Undirected,8
人员,生命,Undirected,120
人员,走势,Undirected,34
人员,一线,Undirected,93
人员,预期,Undirected,95
人员,下跌,Undirected,31
人员,身体,Undirected,60
人员,隔壁,Undirected,46
人员,小区,Undirected,17
人员,未知,Undirected,54
人员,老年人,Undirected,71
人员,阳性,Undirected,75
人员,突破,Undirected,70
人员,震荡,Undirected,39
人员,资金,Undirected,107
人员,大盘,Undirected,21
人员,股票,Undirected,47
人员,作用,Undirected,69
人员,变化,Undirected,54
人员,有人,Undirected,23
人员,婚姻,Undirected,7
人员,不好,Undirected,101
人员,阴阳,Undirected,29
人员,人体,Undirected,116
人员,中医,Undirected,68
人员,药物,Undirected,21
人员,阳气,Undirected,9
人员,中药,Undirected,66
人员,万物,Undirected,11
人员,中国,Undirected,8
人员,企业,Undirected,88
人员,服务,Undirected,45
人员,广州,Undirected,104
人员,抗疫,Undirected,64
人员,女人,Undirected,12
人员,患者,Undirected,7
人员,医疗,Undirected,21
人员,放开,Undirected,37
人员,精神,Undirected,34
人员,股价,Undirected,12
人员,日子,Undirected,92
人员,永远,Undirected,91
人员,好好,Undirected,76
人员,境外,Undirected,33
人员,输入,Undirected,40
人员,方舱,Undirected,63
人员,治疗,Undirected,97
人员,都阳,Undirected,8
人员,老师,Undirected,120
人员,回家,Undirected,80
人员,打电话,Undirected,54
人员,意识,Undirected,14
人员,还好,Undirected,31
人员,阳华,Undirected,1
人员,街道,Undirected,127
人员,优化,Undirected,12
人员,好多,Undirected,53
人员,办事处,Undirected,101
人员,出生,Undirected,26
人员,三年,Undirected,6
人员,爸爸,Undirected,21
人员,哈哈哈哈,Undirected,3
人员,重庆,Undirected,11
人员,男人,Undirected,10
人员,也阳了,Undirected,8
人员,上门,Undirected,20
人员,又阳,Undirected,4
人员,呜呜,Undirected,1
人员,干嘛,Undirected,12
人员,文字,Undirected,26
人员,安然,Undirected,7
人员,行者,Undirected,42
人员,保定,Undirected,20
防控,调整,Undirected,15
防控,核酸,Undirected,81
防控,学生,Undirected,32
防控,确诊,Undirected,74
防控,公司,Undirected,107
防控,政策,Undirected,93
防控,人生,Undirected,119
防控,向阳,Undirected,67
防控,身边,Undirected,63
防控,咳嗽,Undirected,22
防控,学校,Undirected,99
防控,做好,Undirected,15
防控,国家,Undirected,85
防控,研究,Undirected,9
防控,时间,Undirected,26
防控,检测,Undirected,117
防控,接种,Undirected,68
防控,发现,Undirected,74
防控,病毒,Undirected,90
防控,喜欢,Undirected,90
防控,感觉,Undirected,15
防控,趋势,Undirected,42
防控,行情,Undirected,94
防控,影响,Undirected,95
防控,阳线,Undirected,35
防控,生命,Undirected,17
防控,希望,Undirected,124
防控,走势,Undirected,79
防控,反弹,Undirected,66
防控,指数,Undirected,7
防控,下跌,Undirected,73
防控,身体,Undirected,100
防控,隔壁,Undirected,49
防控,小区,Undirected,66
防控,人类,Undirected,25
防控,能量,Undirected,53
防控,未知,Undirected,66
防控,老年人,Undirected,24
防控,阳性,Undirected,73
防控,震荡,Undirected,87
防控,板块,Undirected,17
防控,大盘,Undirected,66
防控,股票,Undirected,80
防控,变化,Undirected,103
防控,家里,Undirected,70
防控,婚姻,Undirected,4
防控,大道,Undirected,44
防控,阴阳,Undirected,19
防控,症状,Undirected,116
防控,中医,Undirected,114
防控,阳气,Undirected,5
防控,温暖,Undirected,16
防控,昨天,Undirected,2
防控,万物,Undirected,13
防控,企业,Undirected,41
防控,形势严峻,Undirected,121
防控,防疫,Undirected,42
防控,女人,Undirected,5
防控,医院,Undirected,118
防控,精神,Undirected,39
防控,股价,Undirected,38
防控,境外,Undirected,91
防控,输入,Undirected,42
防控,治疗,Undirected,11
防控,都阳,Undirected,19
防控,社区,Undirected,90
防控,回家,Undirected,121
防控,打电话,Undirected,50
防控,意识,Undirected,26
防控,奥密克,Undirected,109
防控,还好,Undirected,44
防控,优化,Undirected,48
防控,感冒,Undirected,32
防控,好多,Undirected,77
防控,出生,Undirected,14
防控,三年,Undirected,112
防控,爸爸,Undirected,17
防控,哈哈哈哈,Undirected,5
防控,男人,Undirected,2
防控,也阳了,Undirected,2
防控,上门,Undirected,15
防控,又阳,Undirected,2
防控,辖区,Undirected,28
防控,干嘛,Undirected,21
防控,文字,Undirected,46
防控,安然,Undirected,5
防控,保定,Undirected,32
调整,核酸,Undirected,32
调整,确诊,Undirected,87
调整,病例,Undirected,34
调整,工作,Undirected,89
调整,政策,Undirected,45
调整,感染,Undirected,87
调整,人生,Undirected,123
调整,向阳,Undirected,120
调整,身边,Undirected,127
调整,学校,Undirected,26
调整,做好,Undirected,116
调整,国家,Undirected,111
调整,研究,Undirected,112
调整,时间,Undirected,73
调整,接种,Undirected,102
调整,关系,Undirected,6
调整,发现,Undirected,35
调整,喜欢,Undirected,16
