Source,Target,Type,Weight
同事,确诊,Undirected,58
同事,小区,Undirected,96
同事,社区,Undirected,51
同事,新增,Undirected,43
同事,本土,Undirected,27
同事,新冠,Undirected,64
同事,肺炎,Undirected,28
同事,方舱,Undirected,28
同事,医院,Undirected,44
同事,抗原,Undirected,49
同事,检测,Undirected,73
同事,感觉,Undirected,69
同事,症状,Undirected,57
同事,晚上,Undirected,87
同事,病例,Undirected,30
同事,无症状,Undirected,42
同事,感染者,Undirected,37
同事,工作,Undirected,96
同事,人员,Undirected,61
同事,昨天,Undirected,86
同事,几天,Undirected,67
同事,发现,Undirected,89
同事,阳性,Undirected,98
同事,出门,Undirected,34
同事,病毒,Undirected,85
同事,有人,Undirected,42
同事,明天,Undirected,55
同事,防控,Undirected,37
同事,公司,Undirected,125
同事,阴性,Undirected,32
同事,感冒,Undirected,46
同事,发烧,Undirected,57
确诊,核酸,Undirected,110
确诊,新增,Undirected,127
确诊,新冠,Undirected,125
确诊,肺炎,Undirected,39
确诊,方舱,Undirected,67
确诊,抗原,Undirected,81
确诊,感觉,Undirected,61
确诊,症状,Undirected,66
确诊,晚上,Undirected,82
确诊,病例,Undirected,18
确诊,无症状,Undirected,28
确诊,感染者,Undirected,23
确诊,工作,Undirected,75
确诊,人员,Undirected,110
确诊,昨天,Undirected,88
确诊,几天,Undirected,72
确诊,发现,Undirected,96
确诊,出门,Undirected,105
确诊,有人,Undirected,52
确诊,明天,Undirected,39
确诊,上班,Undirected,47
确诊,公司,Undirected,85
确诊,感冒,Undirected,54
确诊,发烧,Undirected,51
小区,核酸,Undirected,11
小区,新增,Undirected,62
小区,本土,Undirected,73
小区,肺炎,Undirected,98
小区,检测,Undirected,104
小区,感染者,Undirected,7
小区,人员,Undirected,46
小区,隔离,Undirected,87
小区,发现,Undirected,119
小区,阳性,Undirected,58
小区,有人,Undirected,13
小区,阴性,Undirected,65
小区,感冒,Undirected,84
小区,发烧,Undirected,46
社区,本土,Undirected,32
社区,新冠,Undirected,8
社区,方舱,Undirected,78
社区,医院,Undirected,4
社区,检测,Undirected,4
社区,感觉,Undirected,76
社区,无症状,Undirected,102
社区,感染者,Undirected,8
社区,人员,Undirected,29
社区,隔离,Undirected,6
社区,昨天,Undirected,115
社区,几天,Undirected,113
社区,发现,Undirected,8
社区,阳性,Undirected,43
社区,病毒,Undirected,93
社区,有人,Undirected,118
社区,明天,Undirected,78
社区,防控,Undirected,15
社区,上班,Undirected,85
社区,公司,Undirected,96
社区,感冒,Undirected,58
社区,发烧,Undirected,49
核酸,新增,Undirected,124
核酸,本土,Undirected,93
核酸,新冠,Undirected,5
核酸,方舱,Undirected,29
核酸,医院,Undirected,101
核酸,抗原,Undirected,45
核酸,感觉,Undirected,35
核酸,病例,Undirected,93
核酸,无症状,Undirected,106
核酸,隔离,Undirected,24
核酸,几天,Undirected,91
核酸,发现,Undirected,39
核酸,阳性,Undirected,44
核酸,病毒,Undirected,55
核酸,明天,Undirected,49
核酸,上班,Undirected,57
核酸,公司,Undirected,103
核酸,感冒,Undirected,26
疫情,新增,Undirected,61
疫情,本土,Undirected,35
疫情,医院,Undirected,39
疫情,抗原,Undirected,27
疫情,检测,Undirected,12
疫情,晚上,Undirected,37
疫情,病例,Undirected,58
疫情,无症状,Undirected,110
疫情,感染者,Undirected,86
疫情,人员,Undirected,36
疫情,几天,Undirected,13
疫情,阳性,Undirected,31
疫情,出门,Undirected,41
疫情,有人,Undirected,38
疫情,防控,Undirected,19
疫情,公司,Undirected,111
疫情,发烧,Undirected,120
新增,本土,Undirected,122
新增,新冠,Undirected,16
