Word1,Word2,Weight
,社区,68
,疫情,85
,本土,62
,方舱,10
,医院,60
,症状,77
,晚上,20
,病例,98
,工作,56
,人员,9
,发现,46
,上班,54
,阴性,39
,感冒,124
同事,确诊,58
同事,小区,96
同事,社区,51
同事,新增,43
同事,本土,27
同事,新冠,64
同事,肺炎,28
同事,方舱,28
同事,医院,44
同事,抗原,49
同事,检测,73
同事,感觉,69
同事,症状,57
同事,晚上,87
同事,病例,30
同事,无症状,42
同事,感染者,37
同事,工作,96
同事,人员,61
同事,昨天,86
同事,几天,67
同事,发现,89
同事,阳性,98
同事,出门,34
同事,病毒,85
同事,有人,42
同事,明天,55
同事,防控,37
同事,公司,125
同事,阴性,32
同事,感冒,46
同事,发烧,57
确诊,核酸,110
确诊,新增,127
确诊,新冠,125
确诊,肺炎,39
确诊,方舱,67
确诊,抗原,81
确诊,感觉,61
确诊,症状,66
确诊,晚上,82
确诊,病例,18
确诊,无症状,28
确诊,感染者,23
确诊,工作,75
确诊,人员,110
确诊,昨天,88
确诊,几天,72
确诊,发现,96
确诊,出门,105
确诊,有人,52
确诊,明天,39
确诊,上班,47
确诊,公司,85
确诊,感冒,54
确诊,发烧,51
小区,核酸,11
小区,新增,62
小区,本土,73
小区,肺炎,98
小区,检测,104
小区,感染者,7
小区,人员,46
小区,隔离,87
小区,发现,119
小区,阳性,58
小区,有人,13
小区,阴性,65
小区,感冒,84
小区,发烧,46
社区,本土,32
社区,新冠,8
社区,方舱,78
社区,医院,4
社区,检测,4
社区,感觉,76
社区,无症状,102
社区,感染者,8
社区,人员,29
社区,隔离,6
社区,昨天,115
社区,几天,113
社区,发现,8
社区,阳性,43
社区,病毒,93
社区,有人,118
社区,明天,78
社区,防控,15
社区,上班,85
社区,公司,96
社区,感冒,58
社区,发烧,49
核酸,新增,124
核酸,本土,93
核酸,新冠,5
核酸,方舱,29
核酸,医院,101
核酸,抗原,45
核酸,感觉,35
核酸,病例,93
核酸,无症状,106
核酸,隔离,24
核酸,几天,91
核酸,发现,39
核酸,阳性,44
核酸,病毒,55
核酸,明天,49
核酸,上班,57
核酸,公司,103
核酸,感冒,26
疫情,新增,61
疫情,本土,35
疫情,医院,39
疫情,抗原,27
疫情,检测,12
疫情,晚上,37
疫情,病例,58
疫情,无症状,110
疫情,感染者,86
疫情,人员,36
疫情,几天,13
疫情,阳性,31
疫情,出门,41
疫情,有人,38
疫情,防控,19
疫情,公司,111
疫情,发烧,120
新增,本土,122
新增,新冠,16
新增,方舱,45
新增,抗原,35
新增,感觉,38
新增,晚上,45
新增,病例,18
新增,感染者,81
新增,工作,93
新增,隔离,47
新增,昨天,105
新增,几天,63
新增,发现,24
新增,阳性,88
新增,出门,92
新增,有人,26
新增,明天,54
新增,防控,108
新增,上班,37
新增,公司,68
新增,阴性,28
新增,感冒,18
新增,发烧,17
本土,新冠,24
本土,肺炎,59
本土,方舱,15
本土,医院,55
本土,抗原,16
本土,检测,66
本土,感觉,5
本土,晚上,7
本土,病例,52
本土,无症状,40
本土,工作,76
本土,人员,39
本土,昨天,17
本土,几天,4
本土,发现,94
本土,阳性,5
本土,出门,55
本土,病毒,65
本土,有人,3
本土,明天,7
本土,上班,6
本土,公司,14
本土,感冒,10
本土,发烧,1
新冠,方舱,87
新冠,医院,96
新冠,感觉,99
新冠,症状,95
新冠,晚上,84
新冠,感染者,36
新冠,工作,3
新冠,隔离,38
新冠,昨天,66
新冠,几天,83
新冠,发现,52
新冠,阳性,53
新冠,出门,90
新冠,有人,81
新冠,明天,50
新冠,上班,79
新冠,阴性,127
新冠,发烧,84
肺炎,方舱,63
肺炎,医院,42
肺炎,抗原,117
肺炎,检测,6
肺炎,感觉,14
肺炎,晚上,54
肺炎,病例,118
肺炎,无症状,57
肺炎,工作,111
肺炎,人员,111
肺炎,隔离,104
肺炎,昨天,25
肺炎,几天,15
肺炎,阳性,81
肺炎,出门,50
肺炎,有人,43
肺炎,明天,25
肺炎,上班,38
肺炎,公司,123
肺炎,阴性,28
肺炎,感冒,30
肺炎,发烧,14
方舱,抗原,64
方舱,检测,113
方舱,感觉,43
方舱,症状,50
方舱,晚上,72
方舱,病例,36
方舱,无症状,55
方舱,感染者,47
方舱,工作,83
方舱,人员,91
方舱,隔离,6
方舱,昨天,48
方舱,几天,49
方舱,发现,65
方舱,出门,39
方舱,病毒,110
方舱,有人,69
方舱,明天,23
方舱,防控,86
方舱,上班,35
方舱,公司,40
方舱,阴性,92
方舱,感冒,45
方舱,发烧,38
医院,抗原,110
医院,感觉,85
医院,晚上,120
医院,工作,73
医院,人员,109
医院,昨天,70
医院,几天,82
医院,阳性,91
医院,出门,69
医院,病毒,77
医院,有人,92
医院,明天,56
医院,防控,51
医院,上班,100
医院,公司,88
医院,感冒,109
医院,发烧,104
抗原,检测,124
抗原,感觉,91
抗原,病例,48
抗原,无症状,45
抗原,感染者,55
抗原,昨天,102
抗原,几天,68
抗原,发现,103
抗原,出门,60
抗原,有人,64
抗原,明天,48
抗原,上班,70
抗原,公司,58
抗原,感冒,111
抗原,发烧,117
检测,感觉,97
检测,病例,49
检测,无症状,22
检测,感染者,120
