主题数,困惑度,一致性
2,-8.915207077433681,0.7091299620362086
3,-8.750823359952967,0.6197730827727462
4,-8.737737872804185,0.6360100369518703
5,-8.76728020922152,0.6423942299472851
6,-8.79463075588855,0.6481503678984666
7,-8.954322869508495,0.5680411777146297
8,-9.10475766991126,0.5913281654785532
9,-9.321311679212396,0.5039980029132535
10,-9.578855120510955,0.6377154073291019
11,-9.945611291208076,0.5437657787258453
12,-10.382441849055386,0.5824031047592554
13,-10.657944255764372,0.6504964098528723
14,-11.01891393149448,0.5301043808093092
