Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
新冠,0.015,疫情,0.026,疫情,0.007
感染,0.013,健康,0.017,生活,0.005
病毒,0.013,服务,0.013,感觉,0.005
疫情,0.010,更新,0.011,病毒,0.005
中国,0.008,生活,0.010,希望,0.005
疫苗,0.007,春暖花开,0.010,身体,0.004
研究,0.006,过后,0.009,朋友,0.004
智能,0.006,明年,0.009,工作,0.003
机器人,0.006,高峰,0.008,时间,0.003
人类,0.005,客服,0.008,喜欢,0.003
美国,0.005,文明,0.007,三年,0.003
全球,0.005,资源,0.007,结束,0.003
领域,0.004,提供,0.007,发烧,0.003
市场,0.004,卫生,0.007,世界,0.003
制造,0.004,热线,0.006,咳嗽,0.003
患者,0.004,新冠,0.006,事情,0.003
特斯拉,0.004,一级,0.006,一年,0.002
症状,0.004,大象,0.006,口罩,0.002
病例,0.004,常州,0.006,好像,0.002
疾病,0.004,从现在起,0.006,症状,0.002
