主题数,困惑度,一致性
2,-8.891627293088504,0.5599575847471019
3,-8.911856246196004,0.6065346709667749
4,-8.787901134533273,0.5107549812443313
5,-8.872709599672818,0.4804445515302705
6,-8.930925284301248,0.5640016616261353
7,-9.064820918389799,0.5357358358613646
8,-9.236682085109141,0.4006664394931039
9,-9.47855891144779,0.5168071648448308
10,-9.763135887851291,0.5211685271039603
11,-10.123880514131644,0.37689077567954354
12,-10.51103610815842,0.567777148557885
13,-10.871258842293798,0.4792201416765224
14,-11.188792516597307,0.5417385252873675
