主题数,困惑度,一致性
2,-9.581292988936848,0.5351991628444387
3,-9.541192803451764,0.607008900420967
4,-9.581283097528914,0.588749019050788
5,-9.589865352342573,0.6524037802734176
6,-9.795475814111908,0.5952492581707509
7,-9.912572789973424,0.6129820287519044
8,-10.060433706862266,0.6618489507976264
9,-10.412484394514939,0.695352964006308
10,-10.709781684020266,0.6146114475810786
11,-10.949032403052158,0.6646670211782362
12,-11.223533825006488,0.6359952924882298
13,-11.496148509415567,0.6472795513958793
14,-11.701766577877857,0.6093501139577392
