Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重
考试,0.010,教授,0.029,希望,0.012,症状,0.025,画作,0.024,市场,0.015,病例,0.059,喜欢,0.041,病毒,0.036,疫情,0.028,发烧,0.011,疫情,0.055
上海,0.005,人体,0.008,都阳,0.012,治疗,0.018,艺术,0.021,亿元,0.014,确诊,0.025,世界,0.012,感染,0.033,防控,0.021,感觉,0.008,病毒,0.017
我阳,0.005,维生素,0.008,感觉,0.007,咳嗽,0.015,美术,0.016,过年,0.007,街道,0.022,广州,0.012,新冠,0.033,新冠,0.016,身体,0.006,防控,0.014
老师,0.004,运动,0.005,一年,0.007,中医,0.015,系列,0.015,预期,0.006,例为,0.022,期待,0.012,疫苗,0.016,核酸,0.016,回家,0.005,工作,0.012
网页,0.004,中医药,0.005,生活,0.007,患者,0.011,心肌炎,0.008,指数,0.005,感染者,0.018,平安,0.010,疫情,0.015,检测,0.014,朋友,0.005,发展,0.008
考场,0.003,功能,0.004,日子,0.006,嗓子,0.011,千野,0.007,资金,0.005,无症状,0.018,向阳,0.008,中国,0.012,肺炎,0.012,学校,0.005,防疫,0.006
事情,0.003,工人,0.004,啊啊啊,0.006,用药,0.008,喜欢,0.004,业绩,0.005,报告,0.017,未来,0.007,接种,0.009,隔离,0.011,口罩,0.005,抗疫,0.006
春暖花开,0.003,补充,0.004,阿兹夫,0.006,药物,0.007,老公,0.004,同比,0.005,重庆,0.016,崩溃,0.006,国家,0.008,人员,0.011,家里,0.004,中国,0.006
学习,0.003,炎症,0.003,朋友,0.005,身体,0.007,食神,0.004,婆婆,0.005,累计,0.016,顺顺利利,0.006,美国,0.008,健康,0.011,几天,0.004,经济,0.006
好不好,0.003,改善,0.003,事情,0.004,中药,0.007,婚姻,0.004,板块,0.005,输入,0.015,永远,0.005,放开,0.008,措施,0.010,妈妈,0.004,生活,0.005
生活,0.003,身体,0.003,人生,0.004,疼痛,0.006,讨厌,0.004,多喝水,0.005,新增,0.014,时光,0.005,患者,0.008,工作,0.010,晚上,0.004,健康,0.005
生命,0.003,损伤,0.003,好像,0.004,作用,0.006,异性,0.003,增长,0.004,本土,0.013,温暖,0.005,变异,0.007,风险,0.010,时间,0.004,社会,0.004
技术,0.003,万元,0.003,好好,0.003,服用,0.006,女性,0.003,上涨,0.004,上海,0.013,美好,0.005,重症,0.007,做好,0.010,希望,0.004,做好,0.004
医生,0.003,疾病,0.003,身边,0.003,酸痛,0.006,努力,0.003,离谱,0.003,出院,0.012,阳光,0.005,奥密克,0.007,冠状病毒,0.009,医院,0.004,政策,0.004
姐妹,0.003,提高,0.002,冬至,0.003,病情,0.006,代表,0.003,基金,0.003,死亡,0.012,人间,0.004,免疫,0.007,新型,0.008,难受,0.004,服务,0.004
人生,0.003,百度,0.002,父母,0.003,对症,0.006,八字,0.002,行业,0.003,四川,0.011,元旦,0.004,流行,0.006,感染者,0.008,照顾,0.004,一线,0.004
记得,0.003,上海,0.002,不想,0.003,加重,0.006,上限,0.002,反弹,0.003,社区,0.011,支持,0.004,流感,0.006,口罩,0.008,生活,0.004,群众,0.004
选择,0.003,申报,0.002,东西,0.003,发热,0.005,人生,0.002,股份,0.003,小区,0.011,拥抱,0.004,症状,0.006,阳性,0.007,昨天,0.003,战胜,0.004
就阳,0.003,血液,0.002,世界,0.003,感冒,0.005,义无反顾,0.002,弟弟,0.003,境外,0.011,内心,0.004,毒株,0.006,防护,0.007,症状,0.003,加油,0.004
昨晚,0.002,爷爷奶奶,0.002,生命,0.003,疾病,0.005,女人,0.002,投资,0.003,广东,0.010,喜乐,0.004,人群,0.006,发现,0.007,特别,0.003,面对,0.004
