word,counts
大昭寺,7358
拉萨,2451
导游,2018
西藏,1600
讲解,1449
虔诚,1265
布达拉宫,1093
朝拜,1055
寺庙,1049
地方,1000
信徒,978
藏传佛教,923
信仰,905
佛像,834
藏民,824
八廓街,797
门口,739
门票,736
历史,719
中心,662
建筑,651
释迦牟尼,640
游客,638
拍照,623
参观,614
供奉,605
真的,589
文成公主,587
松赞干布,533
广场,469
磕长,459
特别,449
感觉,448
一圈,443
寺院,436
地位,430
时间,415
释迦,412
预约,411
感受,392
值得,385
圣地,383
震撼,359
摩尼,359
景点,358
来到,352
位于,350
藏族,344
神圣,342
排队,338
文化,332
建议,329
尼泊尔,324
门前,317
一座,316
下午,311
佛教,309
提前,301
不错,299
佛祖,295
金顶,289
公主,287
朝圣,282
多年,278
藏王,278
藏式,277
寺内,277
佛殿,263
十二岁,263
拥有,263
小时,262
至高无上,262
称为,261
朝圣者,259
建造,248
心中,244
小昭寺,243
香火,240
吐蕃,236
老城区,233
推荐,230
故事,228
带来,227
留下,225
时期,218
买票,217
转经,214
印度,202
叩拜,202
力量,201
辉煌,200
油灯,199
最早,198
外面,197
打卡,193
喜欢,191
一路,190
世界,186
只能,185
酥油,181
