,word,counts
0,不错,6929
1,流畅,3109
2,清晰,2639
3,漂亮,963
4,很大,881
5,舒服,866
6,很棒,758
7,合适,711
8,耐用,623
9,确实,596
10,完美,576
11,便宜,556
12,充满,412
13,很好,380
14,轻薄,331
15,细腻,329
16,精致,260
17,简单,254
18,惊艳,219
19,舒适,196
20,强大,193
21,稳定,189
22,顺畅,187
23,厉害,168
24,仔细,157
25,优秀,155
26,严实,149
27,很高,147
28,惊喜,145
29,精细,145
30,正好,130
31,简洁,130
32,不愧,119
33,挺好,111
34,耐心,111
35,精美,106
36,高大,106
37,完好,103
38,忠实,102
39,挺好用,101
40,模糊,88
41,太慢,84
42,良心,82
43,妥妥,81
44,靓丽,78
45,耐看,69
46,愉快,68
47,麻烦,67
48,畅快,67
49,完整,66
50,平常,64
51,犹豫,64
52,均衡,63
53,强悍,57
54,轻巧,57
55,挺大,57
56,鲜艳,56
57,细致,55
58,很爽,54
59,厚重,50
60,正面,50
61,强劲,50
62,友好,49
63,持久,49
64,轻松,48
65,新颖,48
66,快捷,47
67,轻便,46
68,很小,45
69,不贵,45
70,柔和,43
71,激活,42
72,正合适,42
73,最强,41
74,炫酷,41
75,干净,41
76,超薄,41
77,焦虑,41
78,清理,40
79,极佳,38
80,清新,35
81,很酷,34
82,遗憾,32
83,有贵,31
84,意外,31
85,扎实,30
86,成功,30
87,够快,30
88,迟钝,30
89,连续,30
90,独特,29
91,很轻,29
92,充足,29
93,沉稳,28
94,蛮好,28
95,很足,27
96,蛮快,26
97,响亮,26
98,稳重,26
99,笨重,26
