word,counts
有没有,55
好看,39
喜欢,34
月烬,33
狂飙,33
第二部,33
最晚,29
苍兰,27
莲花,27
真的,23
这部,22
感觉,21
在看,21
有人,18
罗云熙,18
花千骨,18
长风,17
看完,17
评论,17
袁帅,15
第一集,13
周生,12
如故,12
电视剧,12
终于,11
剧情,11
看过,11
姜雪宁,11
一批,10
孩子,10
底线,10
电影,10
角色,10
更新,9
谢危,9
空降,9
一遍,8
第一,8
名字,8
希望,8
精英,8
演技,8
事情,7
追剧,7
这剧,7
相思,7
少年,7
宁安,7
一生一世,7
发现,7
更好,7
重温,7
追完,7
宋亚轩,7
太阳,7
主角,6
故事,6
日常,6
关山,6
男主,6
姐妹,6
演员,6
回来,6
感情,6
半夏,6
大结局,6
两个,6
罚罪,6
时间,6
老师,6
消失,6
赵寻,6
播出,6
努力,6
唐朝,6
一部,6
质感,6
蜜糖,6
第一部,6
后裔,6
蔡徐坤,6
电视,5
高启,5
原因,5
原著,5
是从,5
人物,5
设定,5
一点,5
渡来,5
推荐,5
重刷,5
告诉,5
白鹿,5
提前,5
终极,5
笔记,5
九门,5
啥时候,5
几个,5
