word,counts
剧情,144
真的,131
感觉,118
故事,100
女主,90
男主,89
角色,83
好看,70
喜欢,65
演技,63
编剧,57
不错,49
演员,46
女性,44
节奏,41
人物,41
一点,40
题材,40
台词,38
导演,38
观众,37
制作,35
实在,35
设定,35
一部,34
这部,33
结局,33
第一季,33
一集,33
主角,32
男女,32
不行,31
套路,29
感情,29
无聊,29
第一集,28
逻辑,28
时间,28
情节,27
几集,27
小说,26
确实,26
一种,25
整体,24
只能,24
爱情,24
颜值,24
塑造,23
两个,23
生活,23
好像,23
理解,22
越来越,21
剧本,21
东西,21
游戏,21
悬疑,20
难看,20
看完,19
原著,19
三星,19
作品,19
观感,19
场景,18
本来,18
看着,18
第二季,18
自然,18
发现,17
不好,17
算是,17
家庭,17
警察,17
有趣,17
显得,17
世界,17
关系,16
尴尬,16
一季,16
过程,16
方式,16
现实,16
时代,16
有意思,16
两集,15
三集,15
剧里,15
核心,15
形象,15
终于,15
分钟,15
后期,15
电视剧,15
恋爱,15
能力,15
特别,15
不到,15
这剧,15
韩剧,15
细节,15
