word,counts
真的,5652
喜欢,4635
剧情,4123
故事,2975
好看,2954
感觉,2832
这部,2270
角色,2102
演技,2065
不错,2061
演员,1795
男主,1734
女主,1729
人物,1701
一集,1554
一部,1547
希望,1419
编剧,1389
世界,1369
生活,1362
期待,1308
可爱,1291
一季,1267
节奏,1259
第一集,1197
一点,1136
特别,1068
终于,1054
电视剧,1038
主角,995
第二季,984
第一季,971
导演,962
设定,955
结局,951
爱情,951
动画,935
女性,892
观众,887
真实,883
两个,871
制作,856
人生,826
作品,825
现实,821
台词,816
看过,801
剧本,788
确实,778
那种,773
感情,770
五星,769
原著,766
男女,760
实在,736
永远,733
搞笑,728
题材,713
社会,704
精彩,700
情节,697
时间,690
发现,683
值得,668
镜头,661
看完,661
细节,648
几集,639
一种,632
颜值,632
这剧,618
电影,613
结尾,611
青春,602
孩子,598
画面,596
完美,588
国产,587
家庭,587
地方,576
越来越,574
中国,569
老师,569
只能,568
成长,565
漫画,556
男人,555
东西,553
朋友,553
好像,542
两集,541
可惜,539
适合,537
有趣,536
理解,534
恋爱,529
整体,527
依然,526
之间,525
看着,521
