主题数,困惑度,一致性
2,-7.8298980499614705,0.28864513522680274
3,-7.911327156979166,0.3300660333683341
4,-8.01714167124945,0.3102369141071931
5,-8.042923619356653,0.3233122196773913
6,-8.080194453505493,0.3268892278321096
7,-8.186416505591174,0.30986724028529966
8,-8.334354241962417,0.3609089294984451
9,-8.551051617327403,0.36251527015708845
10,-8.844907166593753,0.3748035400357358
11,-9.173302796723936,0.4149003439694114
12,-9.538106660566815,0.39908784749396936
13,-9.774989762346742,0.360881643674945
14,-10.0551597837148,0.386978721114315
