主题数,困惑度,一致性
2,-7.34355483267136,0.25903086512163764
3,-7.418107788275577,0.22470313761555205
4,-7.439098651581426,0.2723980471240361
5,-7.469228159183479,0.2796041538260058
6,-7.500580794296588,0.2544753240879864
7,-7.569862068230359,0.28355526682573334
8,-7.5779524545637305,0.30230820088479615
9,-7.599848271304257,0.29092808556148736
10,-7.651803555761728,0.26067578742636316
11,-7.671464256166992,0.2966032961140359
12,-7.6890333123352805,0.3169725741088018
13,-7.75545795671935,0.2970243024157655
14,-7.748590619656885,0.3134499417141906
