主题数,困惑度,一致性
2,-8.745037526019345,0.3673289967401533
3,-8.680353702814006,0.3993390721031582
4,-8.725820019419308,0.41105137999422686
5,-8.77521903422373,0.4279818115124976
6,-8.857161859157443,0.39411238513846336
7,-8.981001075721865,0.4268790311412651
8,-9.141924536433178,0.39274828227225034
9,-9.384501232413468,0.3955210421343679
10,-9.653629573873756,0.38836513624622304
11,-9.891805150916495,0.3996295411277174
12,-10.123852950957597,0.41175120507349366
13,-10.26761409663872,0.4516228033656366
14,-10.427209157864082,0.4416988068695053
