,word,counts
0,充电,64
1,屏幕,45
2,耳机,44
3,快递,41
4,客服,41
5,拍照,34
6,电池,31
7,发热,30
8,系统,29
9,速度,27
10,发现,24
11,手感,23
12,耗电,22
13,物流,21
14,垃圾,20
15,体验,20
16,质量,19
17,指纹,18
18,游戏,18
19,效果,18
20,颜值,17
21,不好,17
22,好看,17
23,包装,16
24,功能,16
25,退货,15
26,流畅,15
27,视频,14
28,华为,14
29,后盖,14
30,塑料,14
31,卡顿,14
32,第二天,14
33,发烫,13
34,外观,13
35,软件,13
36,网上,13
37,媳妇,12
38,后台,12
39,显示,12
40,信号,12
41,电量,12
42,解决,12
43,价格,12
44,服务,12
45,掉电,11
46,新手机,11
47,评论,11
48,早上,11
49,自营,11
50,发货,11
51,习惯,11
52,原因,11
53,商家,11
54,声音,10
55,运行,10
56,电话,10
57,打游戏,10
58,镜头,10
59,后悔,10
60,地方,10
61,降价,10
62,太快,10
63,影响,10
64,一年,10
65,分钟,10
66,玩游戏,10
67,有时候,10
68,实体店,10
69,活动,10
70,蓝牙,10
71,新机,10
72,网络,9
73,太差,9
74,待机时间,9
75,疫情,9
76,收货,9
77,盒子,9
78,像素,9
79,颜色,9
80,充电器,9
81,开机,9
82,产品,9
83,售后,9
84,到货,9
85,追评,9
86,态度,9
87,解锁,9
88,王者,9
89,充满,8
90,还行,8
91,反正,8
92,耐用,8
93,买来,8
94,越来越,8
95,去年,8
96,白色,8
97,昨天,8
98,自带,8
99,内存,8
100,品牌,8
101,厉害,8
102,闪退,8
103,主题,8
104,续航,7
105,换货,7
106,瑕疵,7
107,包装盒,7
108,曲面,7
109,音质,7
110,图片,7
111,怀疑,7
112,便宜,7
113,优惠,7
114,一会,7
115,黑屏,7
116,官方,7
117,摄像头,7
118,音量,7
119,一台,7
120,照相,7
121,说实话,7
122,现象,7
123,退换货,7
124,稍微,7
125,性能,7
126,买手机,6
127,差劲,6
128,外包装,6
129,办法,6
130,用户,6
131,自动,6
132,拆封,6
133,长焦,6
134,品质,6
135,提示,6
136,一般般,6
137,接受,6
138,打电话,6
139,更新,6
140,快充,6
141,设置,6
142,上午,6
143,音响,6
144,中午,6
145,小哥,6
146,荣耀,6
147,稳定,6
148,媳妇儿,6
149,刚买,6
150,直播间,6
151,期待,6
152,开心,5
153,这台,5
154,客户,5
155,朋友,5
156,半个,5
157,黑色,5
158,好多,5
159,三天,5
160,一句,5
161,投诉,5
162,音乐,5
163,没电,5
164,送到,5
165,确认,5
166,手里,5
167,简陋,5
168,相机,5
169,几个,5
170,可惜,5
171,辣鸡,5
172,买回来,5
173,第一,5
174,消息,5
175,评测,5
176,忽悠,5
177,没用,5
178,线下,5
179,不怎么样,5
180,期间,5
181,保价,5
182,待机,5
183,一个多月,5
184,性价比,5
185,旗舰店,5
186,检查,5
187,背面,5
188,回来,5
189,不用,5
190,用到,5
191,我用,5
192,第二次,5
193,换个,5
194,死机,5
195,重启,5
196,套装,5
197,分辨率,5
198,昨晚,5
199,买个,5
