,word,counts
0,充电,80
1,快递,68
2,客服,62
3,屏幕,49
4,系统,40
5,耳机,33
6,速度,32
7,物流,32
8,拍照,28
9,降价,26
10,电池,21
11,好看,20
12,发热,19
13,游戏,19
14,商家,19
15,价格,18
16,发货,18
17,性价比,18
18,态度,18
19,第二天,17
20,新手机,17
21,体验,17
22,视频,16
23,追评,16
24,顺丰,16
25,手感,15
26,内存,15
27,流畅,15
28,质量,15
29,颜色,15
30,玩游戏,14
31,耗电,14
32,更新,14
33,指纹,14
34,打游戏,14
35,电量,14
36,习惯,14
37,不好,14
38,太快,13
39,开机,13
40,早上,13
41,垃圾,13
42,软件,12
43,相机,12
44,到货,12
45,续航,12
46,服务态度,12
47,价保,12
48,发现,11
49,红米,11
50,王者,11
51,牌子,11
52,充电器,10
53,效果,10
54,包装,10
55,运行,10
56,耐用,10
57,后盖,10
58,发烫,10
59,差评,10
60,反正,10
61,分钟,9
62,不用,9
63,功能,9
64,推荐,9
65,服务,9
66,买手机,9
67,声音,9
68,店铺,9
69,退货,9
70,便宜,9
71,刚买,9
72,颜值,8
73,品牌,8
74,摄像头,8
75,官方,8
76,蓝牙,8
77,第一天,8
78,优惠,8
79,申请,8
80,卡顿,8
81,显示,8
82,质感,7
83,昨天,7
84,外观,7
85,拆开,7
86,当天,7
87,两年,7
88,送到,7
89,灵敏,7
90,暂时,7
91,充满,7
92,商品,7
93,死机,7
94,实在,7
95,华为,7
96,像素,7
97,防抖,7
98,性能,7
99,保护,7
100,良心,7
101,售后,7
102,下次,7
103,电话,7
104,活动,7
105,闪退,7
106,评论,6
107,回来,6
108,天玑,6
109,好多,6
110,半个,6
111,再来,6
112,收货,6
113,买来,6
114,信息,6
115,担心,6
116,检测,6
117,缺点,6
118,自营,6
119,新机,6
120,掉电,6
121,出厂,6
122,没用,6
123,产品,6
124,下载,6
125,信号,6
126,旗舰店,6
127,后悔,6
128,保价,6
129,赠品,6
130,插头,5
131,一会,5
132,测试,5
133,半小时,5
134,再也,5
135,中午,5
136,一台,5
137,挺快,5
138,有时候,5
139,这是,5
140,第二次,5
141,稳定,5
142,昨晚,5
143,盒子,5
144,搬家,5
145,终于,5
146,不像,5
147,解决,5
148,后续,5
149,地方,5
150,理由,5
151,小哥,5
152,家人,5
153,开箱,5
154,漂亮,5
155,厉害,5
156,换个,5
157,网络,5
158,散热,5
159,钢化,5
160,耐心,5
161,骁龙,5
162,星期,5
163,块钱,5
164,朋友,5
165,画质,5
166,卸载,5
167,护眼,5
168,音量,5
169,第三方,5
170,三年,5
171,八点,5
172,音响,5
173,特意,4
174,毫安,4
175,配送,4
176,还行,4
177,荣耀,4
178,比较满意,4
179,凌晨,4
180,开启,4
181,重启,4
182,白色,4
183,影响,4
184,处理器,4
185,优化,4
186,扬声器,4
187,好不好,4
188,感受,4
189,背面,4
190,挺好用,4
191,我用,4
192,第一,4
193,工作,4
194,厂家,4
195,一半,4
196,优点,4
197,设计,4
198,配置,4
199,这家,4
