,word,counts
0,速度,3446
1,拍照,2791
2,外观,2717
3,运行,2701
4,屏幕,2622
5,效果,2185
6,流畅,2141
7,充电,1917
8,性价比,1759
9,外形,1745
10,音效,1516
11,好看,1400
12,手感,1238
13,待机时间,1134
14,系统,735
15,物流,733
16,电池,624
17,性能,595
18,游戏,593
19,体验,576
20,颜色,562
21,打游戏,556
22,颜值,555
23,价格,510
24,续航,483
25,漂亮,481
26,骁龙,461
27,玩游戏,460
28,快递,427
29,处理器,423
30,推荐,422
31,配置,398
32,价位,385
33,质量,375
34,很漂亮,354
35,充满,353
36,包装,337
37,发热,330
38,内存,322
39,质感,317
40,快充,300
41,客服,295
42,发货,288
43,像素,286
44,音质,280
45,王者,278
46,功能,262
47,耳机,258
48,轻薄,249
49,耐用,224
50,设计,212
51,时尚,202
52,品牌,188
53,挺快,188
54,显示,185
55,大气,184
56,指纹,182
57,声音,180
58,做工,178
59,正品,178
60,分钟,170
61,散热,169
62,不卡顿,164
63,视频,162
64,超快,161
65,朋友,161
66,摄像头,159
67,足够,155
68,实惠,148
69,便宜,147
70,第二天,146
71,扬声器,145
72,电量,142
73,刷新率,137
74,到货,136
75,妈妈,136
76,活动,136
77,天玑,131
78,配色,131
79,挺不错,131
80,宝贝,131
81,毫安,130
82,无敌,129
83,屏幕显示,129
84,曲面,129
85,态度,128
86,不用,127
87,相机,126
88,产品,126
89,后盖,122
90,待机,122
91,顺畅,122
92,耗电,120
93,服务,120
94,老人,120
95,半小时,119
96,白色,118
97,顺滑,117
98,大师,117
99,色彩,116
100,高刷,115
101,大小,114
102,千元,112
103,稳定,110
104,追评,110
105,想象,109
106,下次,108
107,自带,107
108,闪充,105
109,新手机,105
110,黑色,104
111,重量,104
112,物美价廉,103
113,精致,101
114,机身,100
115,牌子,100
116,照片,99
117,期待,99
118,探索,99
119,服务态度,98
120,舒适,98
121,好多,98
122,看着,96
123,丝滑,95
124,半个,95
125,软件,94
126,还行,94
127,旗舰,94
128,刚刚,94
129,顺丰,94
130,终于,93
131,充电器,93
132,强大,92
133,手里,92
134,卡顿,92
135,画质,91
136,发现,91
137,还会,91
138,素皮,90
139,担心,89
140,优惠,88
141,薄荷,88
142,划算,87
143,评论,84
144,真不错,84
145,真心,83
146,荣耀,83
147,接受,83
148,玻璃,82
149,能力,81
150,物超所值,81
151,符合,80
152,早上,80
153,感受,79
154,开机,79
155,高通,79
156,磨砂,78
157,美观,78
158,简单,77
159,商家,77
160,商品,77
161,实用,76
162,没得说,75
163,灵敏,75
164,芯片,75
165,预期,75
166,上档次,75
167,更好,74
168,习惯,74
169,昨天,73
170,蓝色,73
171,解锁,72
172,一部,72
173,控制,72
174,材质,72
175,高端,72
176,买来,71
177,压力,71
178,需求,70
179,老爸,70
180,顺手,70
181,很长,69
182,网上,69
183,外观设计,68
184,背面,68
185,华为,68
186,很强,68
187,电池容量,68
188,双十,68
189,年轻人,67
190,家人,67
191,照相,67
192,第一,66
193,精美,65
194,更新,64
195,开心,64
196,绿色,64
197,塑料,63
198,惊喜,63
199,旅行箱,63
