,word,counts
0,充电,47
1,速度,23
2,耳机,23
3,拍照,21
4,客服,21
5,电池,19
6,快递,17
7,系统,16
8,屏幕,15
9,发热,14
10,物流,14
11,耗电,14
12,包装,14
13,解锁,14
14,信号,13
15,不好,13
16,体验,12
17,发货,12
18,太快,12
19,早上,10
20,服务,10
21,当天,9
22,玩游戏,9
23,新手机,9
24,运行,9
25,蓝牙,9
26,第二天,9
27,追评,8
28,指纹,8
29,赠品,8
30,外观,8
31,电话,7
32,内存,7
33,瑕疵,7
34,价格,7
35,售后,7
36,商家,7
37,礼品,7
38,刚刚,7
39,流畅,7
40,质量,7
41,刷新率,7
42,耐用,6
43,游戏,6
44,掉电,6
45,刚买,6
46,星期,6
47,视频,6
48,买手机,6
49,评论,6
50,不用,6
51,直播间,6
52,不想,6
53,背面,6
54,优惠,6
55,像素,6
56,检测,6
57,效果,6
58,更新,6
59,到货,6
60,质感,5
61,首发,5
62,卡顿,5
63,没电,5
64,降价,5
65,电量,5
66,要死,5
67,垃圾,5
68,分钟,5
69,充满,5
70,发烫,5
71,解决,5
72,好看,5
73,补发,5
74,退货,5
75,说好,5
76,好多,5
77,担心,5
78,态度,5
79,颜值,5
80,功能,5
81,送到,5
82,手感,5
83,产品,4
84,改进,4
85,没想到,4
86,无线耳机,4
87,做工,4
88,王者,4
89,为啥,4
90,用用,4
91,想要,4
92,用户,4
93,缺点,4
94,新机,4
95,后续,4
96,用过,4
97,打游戏,4
98,侧面,4
99,摄像头,4
100,网上,4
101,第一,4
102,一台,4
103,声音,4
104,再也,4
105,差评,4
106,待机,4
107,发现,4
108,家里,4
109,手机电池,4
110,牌子,4
111,媳妇,4
112,灵敏,4
113,期间,4
114,超大,4
115,版本,4
116,自动,3
117,高通,3
118,一会儿,3
119,玻璃,3
120,隔壁,3
121,系列,3
122,一会,3
123,回来,3
124,惊喜,3
125,打电话,3
126,导航,3
127,半个,3
128,理解,3
129,地方,3
130,人工,3
131,退换货,3
132,麻烦,3
133,换货,3
134,一般般,3
135,习惯,3
136,品牌,3
137,钢化,3
138,两次,3
139,买回来,3
140,暂时,3
141,几千块,3
142,一看,3
143,赶紧,3
144,待机时间,3
145,照片,3
146,眼睛,3
147,申请,3
148,买来,3
149,升级,3
150,挺快,3
151,疫情,3
152,图片,3
153,颜色,3
154,相比,3
155,正品,3
156,性价比,3
157,回复,3
158,顶配,3
159,反正,3
160,盒子,3
161,贴膜,3
162,试用,3
163,咨询,3
164,半小时,3
165,反馈,3
166,下次,3
167,自营,3
168,半天,3
169,试试,3
170,影响,3
171,发票,3
172,数据线,3
173,几年,3
174,这机,3
175,口罩,3
176,面容,3
177,唯一,3
178,还行,3
179,原因,3
180,几个,3
181,一条,3
182,音质,3
183,三年,3
184,想象,3
185,续航,3
186,充电器,3
187,重启,3
188,终于,3
189,红米,3
190,开机,3
191,永远,3
192,昨天晚上,3
193,太给力,3
194,便宜,3
195,双十,3
196,十点,2
197,信息,2
198,蓝厂,2
199,边缘,2
