,word,counts
0,屏幕,223
1,电池,146
2,客服,107
3,新机,83
4,充电,81
5,耳机,70
6,垃圾,65
7,不好,60
8,充电器,59
9,二手,59
10,拍照,57
11,退货,56
12,发现,54
13,耐用,50
14,售后,49
15,划痕,49
16,速度,48
17,外观,46
18,系统,44
19,价格,44
20,质量,41
21,效果,38
22,翻新,38
23,降价,37
24,发热,37
25,差评,37
26,运行,35
27,耗电,35
28,体验,33
29,开机,32
30,显示,32
31,信号,31
32,检测,31
33,软件,30
34,快递,30
35,原装,30
36,官方,30
37,声音,29
38,功能,29
39,配件,28
40,包装,27
41,全新,27
42,像素,26
43,物流,25
44,摄像头,25
45,华为,24
46,痕迹,24
47,视频,23
48,翻机,23
49,循环,23
50,服务,21
51,商品,21
52,后悔,21
53,官翻,21
54,商家,21
55,产品,20
56,贴膜,20
57,指纹,20
58,电话,19
59,推荐,19
60,两年,19
61,申请,19
62,差价,19
63,评论,19
64,流畅,19
65,续航,19
66,掉电,19
67,这家,19
68,发货,18
69,实在,18
70,态度,18
71,理由,18
72,后盖,18
73,气密性,18
74,第二天,17
75,一台,17
76,发烫,17
77,电量,17
78,广告,17
79,朋友,17
80,相机,17
81,赠品,17
82,日期,17
83,充满,17
84,边框,17
85,自营,16
86,习惯,16
87,备用机,16
88,苹果,16
89,描述,16
90,出厂,16
91,系列,16
92,原因,16
93,唯一,16
94,消费者,15
95,收货,15
96,便宜,15
97,追评,15
98,太快,15
99,这是,15
100,模糊,15
101,一年,15
102,店家,15
103,官翻机,15
104,保护,14
105,活动,14
106,性价比,14
107,买个,14
108,解锁,14
109,通话,14
110,买手机,14
111,网络,14
112,自带,14
113,瑕疵,14
114,二手手机,14
115,磕碰,14
116,早上,13
117,性能,13
118,没用,13
119,不用,13
120,地方,13
121,七天,13
122,换货,13
123,暂时,13
124,卖家,12
125,数据线,12
126,优惠,12
127,塑料,12
128,分辨率,12
129,待机时间,12
130,打游戏,12
131,买来,12
132,回去,12
133,国产,12
134,答应,12
135,接受,12
136,测试,11
137,特意,11
138,音质,11
139,买回来,11
140,用户,11
141,品质,11
142,保价,11
143,荣耀,11
144,品牌,11
145,颜色,11
146,重启,11
147,音效,11
148,太慢,11
149,星期,11
150,机身,11
151,太差,11
152,预期,11
153,第二次,11
154,新手机,11
155,想象,11
156,卡顿,11
157,差别,11
158,看不出,11
159,双十,10
160,惊喜,10
161,颜值,10
162,做工,10
163,背面,10
164,影响,10
165,刚买,10
166,连接,10
167,还行,10
168,越南,10
169,回来,10
170,维修,10
171,设置,10
172,欺骗,10
173,半天,10
174,气密,10
175,块钱,10
176,像是,10
177,拍拍,10
178,售后服务,9
179,手感,9
180,照相,9
181,原厂,9
182,试用,9
183,没法,9
184,玩游戏,9
185,保修,9
186,一点点,9
187,待机,9
188,忐忑,9
189,办法,9
190,网上,9
191,插卡,9
192,划算,9
193,担心,9
194,看不出来,9
195,翻车,9
196,包装盒,9
197,看着,9
198,盒子,9
199,退款,9
