,word,counts
0,手机,2964
1,三星,1551
2,屏幕,1370
3,不错,1282
4,速度,880
5,外观,861
6,拍照,816
7,运行,736
8,效果,657
9,流畅,560
10,喜欢,539
11,满意,474
12,很快,452
13,感觉,452
14,电池,436
15,清晰,432
16,外形,426
17,京东,389
18,性价比,389
19,音效,372
20,收到,368
21,手感,348
22,真的,328
23,价格,315
24,购买,309
25,值得,306
26,质量,284
27,特别,280
28,好看,275
29,新机,275
30,待机时间,270
31,系统,265
32,充电,241
33,物流,232
34,完美,229
35,好评,201
36,颜值,200
37,全新,199
38,几天,196
39,漂亮,194
40,评价,189
41,体验,184
42,一点,181
43,功能,179
44,客服,177
45,激活,174
46,好用,173
47,第一次,164
48,耐用,158
49,机器,156
50,耳机,155
51,包装,155
52,机子,154
53,品牌,150
54,购物,150
55,确实,147
56,像素,141
57,推荐,140
58,充电器,140
59,东西,135
60,入手,129
61,快递,122
62,很漂亮,120
63,舒服,120
64,做工,119
65,一段时间,117
66,合适,116
67,特色,114
68,划痕,114
69,够用,110
70,性能,110
71,颜色,110
72,超级,110
73,续航,109
74,区别,109
75,配件,108
76,二手,108
77,发现,107
78,内存,104
79,显示,103
80,支持,101
81,拿到,101
82,下单,100
83,很棒,99
84,希望,99
85,整体,98
86,惊艳,98
87,选择,98
88,信赖,97
89,这款,97
90,玩游戏,97
91,总体,96
92,很大,94
93,大气,94
94,音质,93
95,时间,92
96,声音,91
97,大小,91
98,摄像头,91
99,发货,90
100,翻新,90
101,配置,89
102,苹果,89
103,价位,89
104,视频,87
105,正品,87
106,原装,87
107,官方,87
108,质感,84
109,产品,84
110,软件,84
111,放心,83
112,操作,82
113,到手,82
114,便宜,81
115,拍拍,81
116,不行,79
117,发热,79
118,一款,78
119,品质,78
120,不好,78
121,两天,76
122,成色,76
123,色彩,75
124,打开,75
125,服务,75
126,描述,75
127,没什么,75
128,自营,73
129,屏幕显示,73
130,打游戏,73
131,小时,73
132,失望,73
133,开机,72
134,日常,72
135,实惠,72
136,垃圾,71
137,照相,70
138,不卡,70
139,系列,70
140,适合,69
141,一如既往,69
142,细腻,69
143,售后,68
144,设计,67
145,华为,66
146,耗电,66
147,评论,64
148,朋友,64
149,退货,63
150,还好,62
151,活动,62
152,不到,62
153,第二天,61
154,习惯,61
155,晚上,61
156,机身,59
157,新手机,59
158,信号,59
159,到货,58
160,预期,58
161,商家,57
162,齐全,56
163,指纹,55
164,足够,55
165,拥有,55
166,买来,55
167,想象,55
168,官翻,55
169,玻璃,54
170,优惠,54
171,看着,54
172,下次,54
173,照片,53
174,痕迹,53
175,游戏,52
176,白色,52
177,老人,52
178,符合,52
179,追评,52
180,惊喜,51
181,精致,51
182,划算,50
183,商品,50
184,相机,50
185,只能,50
186,尺寸,48
187,处理器,48
188,瑕疵,48
189,两年,47
190,官翻机,47
191,气密性,47
192,后盖,46
193,态度,46
194,骁龙,46
195,不用,46
196,测试,46
197,店家,46
198,唯一,46
199,买手机,46
