,word,counts
0,屏幕,104
1,摄像头,99
2,充电,96
3,系统,80
4,拍照,75
5,发热,58
6,前置,54
7,客服,52
8,速度,46
9,体验,46
10,垃圾,41
11,指纹,36
12,续航,36
13,快递,35
14,视频,35
15,价格,34
16,手感,33
17,游戏,33
18,售后,33
19,效果,33
20,接受,32
21,电池,30
22,更新,29
23,无线,28
24,第二天,27
25,王者,26
26,地方,25
27,发现,25
28,卡顿,25
29,玩游戏,25
30,功能,24
31,降价,24
32,打游戏,24
33,解锁,23
34,陶瓷,23
35,华为,23
36,运行,23
37,重启,22
38,分钟,22
39,镜头,22
40,退货,21
41,升级,21
42,耗电,21
43,信号,20
44,相机,20
45,软件,19
46,模糊,18
47,充满,18
48,荣耀,17
49,屏下,17
50,流畅,17
51,内存,17
52,版本,17
53,不好,17
54,扬声器,16
55,边框,16
56,评论,16
57,包装,16
58,显示,15
59,后台,15
60,声音,15
61,反馈,15
62,机身,15
63,反正,15
64,性能,14
65,有时候,14
66,黑色,14
67,米粉,14
68,像素,14
69,音量,14
70,新手机,14
71,性价比,14
72,下载,14
73,发烫,14
74,刷新率,14
75,首发,13
76,质量,13
77,耳机,13
78,缺点,13
79,白色,13
80,网上,13
81,红米,13
82,优化,13
83,掉电,13
84,物流,12
85,蓝牙,12
86,解决,12
87,发货,12
88,质感,12
89,快充,12
90,塑料,12
91,暂时,12
92,保护,12
93,早上,12
94,用户,12
95,实在,12
96,按键,12
97,一会,11
98,充电器,11
99,原因,11
100,好看,11
101,自拍,11
102,待机,11
103,照相,11
104,黑屏,11
105,新机,11
106,疫情,11
107,设置,11
108,外观,11
109,影响,11
110,死机,11
111,习惯,11
112,厉害,11
113,人脸识别,10
114,商家,10
115,优惠,10
116,赠品,10
117,音质,10
118,维修,10
119,备用机,10
120,自动,10
121,后悔,10
122,不用,10
123,电源,10
124,活动,10
125,电话,10
126,换机,10
127,分辨率,10
128,网络,10
129,后置,10
130,办法,10
131,服务,10
132,稳定,10
133,差评,10
134,温度,10
135,烫手,10
136,不太,9
137,光线,9
138,价位,9
139,这是,9
140,导致,9
141,唯一,9
142,估计,9
143,官方,9
144,扫码,9
145,保价,9
146,微信,9
147,照片,9
148,刚买,9
149,检测,9
150,终于,9
151,星期,9
152,申请,9
153,卡死,9
154,感受,9
155,看着,9
156,电量,9
157,后盖,9
158,朋友,9
159,图片,9
160,指纹识别,9
161,开机,9
162,数据,9
163,还行,9
164,耐用,9
165,赶紧,9
166,没法,8
167,便宜,8
168,千万别,8
169,产品,8
170,一年,8
171,太差,8
172,想要,8
173,现象,8
174,闪退,8
175,防抖,8
176,设计,8
177,一点点,8
178,天玑,8
179,旗舰,8
180,调光,7
181,颜值,7
182,几个,7
183,第一天,7
184,盒子,7
185,出厂,7
186,开启,7
187,果断,7
188,摄像,7
189,懒得,7
190,好像,7
191,遇见,7
192,待机时间,7
193,差劲,7
194,高刷,7
195,极差,7
196,全新,7
197,力度,7
198,连接,7
199,退款,7
