,word,counts
0,屏幕,1970
1,速度,1691
2,拍照,1683
3,效果,1335
4,运行,1267
5,外观,1244
6,音效,915
7,充电,907
8,手感,875
9,流畅,855
10,外形,798
11,摄像头,636
12,待机时间,550
13,好看,544
14,系统,491
15,性价比,450
16,体验,417
17,发热,388
18,电池,359
19,像素,349
20,价格,345
21,物流,294
22,陶瓷,294
23,续航,291
24,性能,289
25,玩游戏,287
26,前置,275
27,骁龙,254
28,颜值,243
29,漂亮,243
30,处理器,230
31,质感,226
32,卡顿,216
33,视频,210
34,打游戏,210
35,显示,209
36,颜色,208
37,功能,206
38,质量,204
39,游戏,201
40,快递,199
41,音质,195
42,配置,193
43,快充,191
44,包装,190
45,机身,179
46,很漂亮,175
47,无线,174
48,相机,169
49,充电器,168
50,终于,166
51,充满,166
52,屏下,164
53,发货,162
54,内存,156
55,曲面,152
56,接受,149
57,扬声器,146
58,大气,145
59,活动,138
60,客服,137
61,推荐,137
62,设计,137
63,指纹,129
64,红米,129
65,声音,127
66,哈曼,127
67,产品,126
68,双十,126
69,优惠,125
70,做工,124
71,一亿,124
72,后置,123
73,王者,121
74,华为,119
75,旗舰,118
76,耐用,115
77,分钟,112
78,米粉,110
79,镜头,110
80,强大,109
81,黑色,108
82,第二天,107
83,不用,106
84,发现,105
85,看着,105
86,耗电,103
87,期待,102
88,优化,102
89,屏幕显示,102
90,价位,100
91,缺点,100
92,重量,100
93,白色,99
94,轻薄,99
95,电量,98
96,照片,97
97,系列,95
98,高端,94
99,分辨率,90
100,刷新率,90
101,后盖,89
102,服务,87
103,加油,87
104,网上,87
105,第一,87
106,感受,86
107,自拍,86
108,色彩,86
109,蓝色,86
110,越来越,85
111,提升,84
112,想象,84
113,软件,82
114,无敌,81
115,足够,81
116,天玑,80
117,时尚,80
118,实惠,80
119,手里,80
120,版本,79
121,更新,78
122,新手机,76
123,高刷,76
124,升级,74
125,优秀,74
126,解锁,74
127,正品,74
128,挺不错,74
129,顶级,74
130,评论,72
131,惊喜,72
132,没得说,71
133,降价,71
134,首发,70
135,待机,70
136,朋友,70
137,旗舰机,69
138,夜景,69
139,上档次,68
140,到货,68
141,还行,68
142,用户,67
143,便宜,67
144,习惯,67
145,唯一,66
146,厉害,66
147,保护,66
148,信号,65
149,一流,65
150,挺快,65
151,荣耀,64
152,开机,63
153,舒适,63
154,丝滑,62
155,拍摄,61
156,原因,61
157,地方,61
158,真心,61
159,超快,61
160,果断,61
161,精致,61
162,音乐,61
163,顺滑,60
164,变焦,60
165,毫安,59
166,影响,59
167,图片,59
168,需求,59
169,用过,59
170,发烫,59
171,平时,58
172,一充,58
173,担心,57
174,摄像,57
175,画质,57
176,后续,56
177,边框,56
178,不好,56
179,照相,56
180,外放,56
181,好多,55
182,宝贝,55
183,划算,55
184,送货,55
185,更好,55
186,稳定,54
187,反正,54
188,不卡顿,54
189,能力,54
190,服务态度,54
191,辨识,54
192,材质,53
193,温润,53
194,刚刚,53
195,自带,53
196,品牌,53
197,温度,52
198,预期,52
199,清晰度,52
