,word,counts
0,china,950
1,virus,904
2,trump,239
3,chinese,187
4,president,124
5,coronavirus,115
6,wuhan,103
7,people,97
8,racist,78
9,spread,73
10,pandemic,68
11,media,66
12,communist,64
13,calling,61
14,americans,55
15,realdonaldtrump,54
16,covid19,48
17,american,46
18,time,45
19,call,43
20,country,41
21,travel,40
22,called,38
23,biden,38
24,party,36
25,accountable,34
26,replying,33
27,america,33
28,health,33
29,countries,32
30,lives,32
31,democrats,32
32,originated,32
33,u.s,31
34,response,31
35,flu,30
36,started,30
37,breaking,29
38,government,29
39,outbreak,28
40,lied,27
41,global,26
42,house,26
43,term,26
44,joe,25
45,corona,25
46,chinas,25
47,blame,24
48,italy,24
49,vaccine,23
50,united,23
51,news,22
52,pelosi,22
53,donald,21
54,testing,21
55,allowed,20
56,white,20
57,covid,20
58,foreign,20
59,deadly,20
60,asian,19
61,crisis,19
62,don,19
63,intelligence,19
64,left,18
65,ban,18
66,disease,18
67,fight,18
68,dont,18
69,january,18
70,control,18
71,held,17
72,spreading,17
73,day,17
74,bill,17
75,months,17
76,economy,17
77,political,17
78,hold,17
79,beijing,16
80,weeks,16
81,nbsp,16
82,coming,16
83,truth,16
84,reported,16
85,days,15
86,press,15
87,told,15
88,deaths,15
89,lab,15
90,safe,15
91,cnn,15
92,nancy,15
93,pay,15
94,trumps,15
95,died,14
96,racism,14
97,korea,14
98,economic,14
99,democrat,14
100,fault,14
101,medical,14
102,failed,13
103,europe,13
104,entire,13
105,mask,13
106,potus,13
107,public,13
108,risk,13
109,propaganda,13
110,true,13
111,protect,13
112,doesnt,13
113,lies,13
114,doesn,13
115,origin,13
116,death,13
117,xi,12
118,isn,12
119,fauci,12
120,leadership,12
121,south,12
122,infected,12
123,human,12
124,national,12
125,dr,12
126,calls,12
127,didn,12
128,funding,12
129,borders,11
130,businesses,11
131,worse,11
132,test,11
133,positive,11
134,agree,11
135,real,11
136,sick,11
137,experts,11
138,tests,11
139,virus.,11
140,evidence,11
141,masks,11
142,officials,11
143,lockdown,11
144,blaming,11
145,question,11
146,named,11
147,telling,11
148,wrong,11
149,claim,11
150,reports,11
151,action,11
152,ve,10
153,fighting,10
154,doctors,10
155,lying,10
156,scientists,10
157,international,10
158,effective,10
159,close,10
160,attack,10
161,including,10
162,jobs,10
163,refer,10
164,caused,10
165,bat,10
166,report,10
167,spain,10
168,govt,10
169,millions,9
170,data,9
171,die,9
172,force,9
173,cdc,9
174,tested,9
175,earth,9
176,origins,9
177,completely,9
178,flights,9
179,won,9
180,killed,9
181,pompeo,9
182,nation,9
183,total,9
184,job,9
185,slow,9
186,johnson,9
187,meeting,9
188,february,9
189,claims,9
190,conspiracy,9
191,border,9
192,restrictions,9
193,reporter,9
194,responsible,9
195,security,9
196,journalists,9
197,opposed,8
198,happen,8
199,responsibility,8
