content,fenci,聚类结果,二级-聚类结果
星期天我刚从中国瘪王那里来，没碰上,中国,1,0
说实话，村超真的不能太吹，咱就不说别的，你说他能吊打国家队，我不信我个人认为来个中冠都能吊打一众。毕竟人家实力摆在那呢，中国足球个人能力中等还行，但是就是没有配合,国家队 中冠 实力 中国 足球 能力,1,0
没有办法，总有杠精要拿村超球员跟中超球员比，非专业肯定是踢不过的，毋庸置疑，可是村超的热度也是中超遥不可及的，村超可没有百万奖金，也不会踢假球，也没有海参，只有凉拌折耳根牛瘪火锅，村超的意义就是热爱，影响下一代对足球的热爱，让中国足球看到希望,办法 球员 球员 热度 奖金 假球 海参 耳根 火锅 意义 足球 中国 足球,1,0
我记得电影球迷心窍》中有一句台词：中国足球的希望在农村,电影 球迷 心窍 台词 中国 足球 农村,1,0
中国足球就需要接地气才有希望，那些所谓专业的别整天端着个架子还说大众啥也不懂,中国 足球 专业 架子 大众,1,0
恳请大家不要让“村超”成为又一个女足或泾川文汇，沦为消费国家男子足球队的道具。如果你真正了解“村超”，了解中国足球，就知道“村超”既不是用来打脸足协的道具，也不可能是中国足球的万能解药。反之只要没有脱离科学发展的轨道，就要让“村超”这个群众体育品牌原生态的生长，成为广大农村、广大青少年接触足球、认知足球、爱上足球的契机，最终受益的还是中国足球和国足。这才是足改方案里所说的“夯实足球发展的人口基础、设施基础、管理基础、文化基础，持续用力，久久为功。”,女足 泾川 文汇 国家 男子 足球队 道具 中国 足球 道具 中国 足球 万能 科学 轨道 品牌 原生态 生长 农村 青少年 足球 足球 足球 契机 中国 足球 国足 方案 足球 人口 基础 设施 基础 基础 文化 基础 用力,1,0
上次还有个人质问我周围有没有人踢球，父母给不给踢球，有没有朋友踢职业，我真的想怼死他（被拉黑了），我们小时候没场地2个书包当门，随便拿个球就开踢了，足球难道是只给专业的人踢的我们知道村超不一定能打得过职业，也知道中国没几个职业的，但你知道中国有多少球迷吗村超的意义是给我们看到了足球的本质，就是人民的娱乐和球员的拼搏对抗，不是一群职业公务员拿着高额工资在摆烂和怼自己的球迷，也不是设高门槛（金钱交易，搞颜色）把人民拒之门外的贵族运动。,质问 踢球 父母 踢球 朋友 职业 小时候 书包 个球 足球 专业 职业 中国 职业 中国 球迷 意义 足球 本质 球员 职业 公务员 高额 球迷 门槛 金钱 交易 颜色 贵族,1,0
总之我希望更多人喜欢足球，这种联赛啊比赛办的越多越好，让更多人知道足球这项运动的乐趣，但真没必要捧一个踩一个，真要比起来真比不过的。,足球 足球,1,0
怎么贵州足球在中冠被按在地上打啊，咱们村超呢,贵州 足球 中冠,1,0
从这个视频的标题和下面的评论来看，我只能说国足的水平确实配得上中国人的足球理解,视频 标题 评论 水平 中国 足球,1,0
村超和国家队比那只是玩梗，就算去和缅甸国家队比也至少被罐5个。但就是要那种热情，如果全国有一半的省像贵州这样举办村超，那中国足球未来可期，至少是对足球的重视和热爱,国家队 玩梗 缅甸 国家队 热情 全国 贵州 中国 足球 足球,1,0
谈村超氛围之好，对足球普及之贡献，引起足球之热情都是好的。,谈村 氛围 足球 普及 贡献 足球 热情,1,0
但是谈村超血虐中超，我只能说中国人对足球的了解配得上中国足球的成绩。嘴上说着兴趣热情爱好，说到底心里还是名次。,谈村 中国 足球 中国 足球 成绩 兴趣 热情 名次,1,0
村超无疑是中国足球需要的氛围，但水平远超国足就有点离谱了，个人感觉标题有待商榷,中国 足球 氛围 水平 超国 离谱 个人感觉 标题,1,0
国足老老实实吃海参就完了，管人家村里吃什么干啥,海参,1,1
想知道中国足球为什么不行，看站评论区就明白了,中国 足球 评论 明白,1,0
本来村超是一件好事，既能让发展发展足球在人民群众之间的水平和影响力，又能使广大人民群众又多了一个茶余饭后的娱乐项目，还能发展一下贵州本地的，三赢，何乐而不为呢但是在网络上，村超的负面影响被无限放大，无数的营销号和云球迷借着村超来抨击国足，只能说咱们真的就是足球荒漠,好事 足球 群众 水平 影响力 群众 项目 贵州 网络 负面影响 球迷 足球 荒漠,1,0
村超很好，足球也不是富人游戏，但是职业和业余差距不是一星半点，硬要把村超和职业足球对比只能是贻笑大方,足球 富人 游戏 职业 业余 差距 职业 足球,1,0
很反感这种把“村超”和职业足球对立起来的说法。真正的足球应该是扎根社区的，庞大的基层足球金字塔再反哺职业和国家队，这点上“村超”无疑是很好的。,职业 足球 足球 扎根 社区 基层 足球 金字塔 职业 国家队,1,0
而有些“观众”根本不看足球，对中国足球的现状和困境漠不关心，就知道天天瞎喷，连村超赢国足这种梦话都能讲出来。你们有功夫在这瞎扯，不如好好去看两场比赛。,观众 足球 中国 足球 现状 困境 连村超 国足 梦话 功夫,1,0
他们怕，怕被埋没的踢球人抢走了他们的海参,踢球 海参,1,1
这标题和评论，只能说国足的表现对的起中国的足球土壤,标题 评论 中国 足球 土壤,1,0
足球是大众体育吧，又不是高尔夫这种贵,足球 大众 高尔夫,1,0
动了人家的海参人家的能同意嘛,海参,1,1
你都在站看足球了，我还有什么好说的呢,足球,1,0
抖音看过几次直播，大概就是这样：一会直播比赛，一会直播跳舞，解说员一半说足球，一半卖旅游，就像在念广告词。解说员非常卖力，应该是有考核指标要求，一定要念够多少广告。说实话，看得我有点反胃。村超根本不是纯粹的足球，只是一场炒作，跟足球操没有什么区别。这不是一场球赛，而是一场足球题材的大型旅游广告。中超很烂，但是中超从足协到球队到裁判到媒体到球迷，哪怕是踢假球吹黑哨，他们至少还围着足球在转。也许村超曾经很纯粹，但是，现在的村超，吃相有点难看了。,解说员 足球 广告词 解说员 卖力 指标 广告 足球 足球 区别 球赛 足球 题材 广告 球队 媒体 球迷 假球 黑哨 足球,1,0
本来就是炒作，还非得说个什么 “足球该有的样子”，说点难听的，我去现场看铜梁龙对成都蓉城那场如果要是没有现场气氛加持都能无聊死，业余村级联赛还是网络转播真能有人看的下去不搞点炒作的那帮吹村超的十分钟都看不下去吧，你这个其实和足球文化一点关系都没有，就是一个大庙会没收你门票而已。后面了解了一下当地文旅局介入才搞起来的村超，本质上就跟淄博烧烤也是一回事，各级地方在找一个刺激旅游经济的方式，本来是好事。可惜炒作的有点过头了，广告才是主题，所谓的足球只不过是整个运营策略的一环罢了。虽然中国是个足球荒漠，但是足球带来的流量还是很大的，一边播村超一边骂国足，这流量就来了，你要是个搞个拔河比赛，肯定没流量。如果这大多数人都无脑跟风跟着你的视频为村超叫好，那我就只能说，这两者区别就是职业体育有输赢，村超就是表演，要是连体育和表演都分不清区别，那就是国家的问题，九年义务教育还是没普及到位,足球 样子 现场 铜梁 成都 蓉城 现场 气氛 业余 村级 网络 足球 文化 关系 庙会 门票 文旅局 本质 淄博 地方 经济 方式 好事 过头 广告 主题 足球 策略 中国 足球 荒漠 足球 流量 播村 国足 流量 拔河比赛 流量 无脑 视频 区别 职业 区别 国家 普及,1,0
你们只会拿海参讽刺国足，你们知道那个海参曾是男足和女足的赞助商吗，就因为你们这些人的诋毁和“开玩笑”，厂商终止了赞助，让本来就举步维艰的女足雪上加霜，这些你们知道吗你们前阵子用女足，现在又用村超来当舆论武器，你们还要毁掉多少中国足球的希望这次是村超，下一次是什么,海参 海参 男足 女足 厂商 女足 阵子 女足 舆论 武器 中国 足球,1,0
评论区很符合我对中国足球氛围的想象,评论 中国 足球 氛围 想象,1,0
也不知道说什么了，无知者无畏，只能说国足成绩和国民对足球的认知是完全匹配的上的，喜欢这种足球氛围还行，没必要逮着水平说，村超球员水平也不是业余的，但真的一般,无知者 成绩 国民 足球 足球 氛围 水平 球员 水平 业余,1,0
这是一个契机，是一次转变中国足球处境的机会，把握好这次热度，中国足球会迎来转变,契机 中国 足球 处境 机会 热度 中国 足球,1,0
不专业国足也没见专业啊我不玩足球，但是不妨碍我鄙视国足，反正都是输，我上我也行，呸,专业 国足 专业 足球,1,0
实力远超国家队是不可能的，真的不能拿爱好挑战人家的职业。足球不仅仅是看能不能做高难度动作，业余球员很多都可以做倒勾、远射、各种单车过人，但是真的踢不了职业足球。身体对抗和足球意识差的很远。不信吗不信和职业球队随便踢一场就知道了,实力 国家队 职业 足球 动作 业余 球员 倒勾 单车 职业 足球 身体 足球 意识 职业 球队,1,0
啊对对对，你在中超把门将换成业余的，每一轮十几个世界波，我就有优越感你能怎么我，中国足球就这环境你能让足球发展起来,门将 业余 世界 中国 足球 环境 足球,1,0
村超的技术不一定够好，但是球员对足球的热爱，看球观众的热情是真的。让观众喜欢看，有人想去踢，才能真正的让足球好起来。,技术 球员 足球 观众 热情 观众 足球,1,0
也就是在这个评论区真的可以看出中国的足球水平是完全对得起观众的，,评论 中国 足球 水平 观众,1,0
中国真正玩完,中国,1,0
不是优不优越感，而是村超能跟国足比的说法过于低智，要知道所谓黔东南苗岭在中国第四级别联赛三场全败，鼓励村超对足球的热情，好，但拿来碰瓷国足大可不必。,黔东南 苗岭 中国 级别 全败 足球 热情 瓷国,1,0
看了评论区我知道国足的排名配得上现在的中国足球环境。,评论 国足 中国 足球 环境,1,0
难绷，不愧是足球荒漠,足球 荒漠,1,0
只能说国足已经对得起这种足球氛围了,足球 氛围,1,0
200多万播放，10多万点赞，真是足球荒漠,足球 荒漠,1,0
中国14亿人口，就算10万人组个足球队，全国也可以组建14000个足球队，能代表中国足球的队员，每个位置应该1万4挑1,中国 人口 足球队 全国 足球队 代表 中国 足球 队员,1,0
国足可能对不起真球迷，但一定对得起中国人,球迷 中国,1,0
就这个标题，我只能说足球文化确实没有,标题 足球 文化,1,0
问梅西对足球有什么建议,梅西 足球 建议,1,0
了，上过正经比赛吗你，什叫村超的技术比中国国足的技术高不想支持中国足球，不要到处瞎叫，专业的话都听不进去，你还学什么足球看几个国外进球锦集，就觉得自己很牛逼了是吧这评论区80%的球盲，中国足球就这环境，你拿什么踢好，整天就知道口嗨，又不去付出行动，,什叫村 技术 中国 国足 技术 中国 足球 专业 足球 进球 锦集 评论 球盲 中国 足球 环境,1,0
