,word,counts
0,捂脸,531
1,大连,284
2,泣不成声,255
3,比心,215
4,流泪,199
5,泪奔,188
6,地方,175
7,去过,132
8,鼓掌,94
9,玫瑰,87
10,观察,60
11,收费,57
12,晚上,56
13,疫情,50
14,为啥,45
15,灵机一动,44
16,这是,41
17,城市,39
18,真的,38
19,夏天,38
20,有没有,36
21,明天,35
22,咱俩,35
23,工资,33
24,几天,32
25,感谢,31
26,打卡,31
27,几点,31
28,微笑,30
29,感觉,30
30,好像,30
31,消费,30
32,冬天,30
33,好吃,29
34,送心,29
35,视频,28
36,几个,27
37,门票,27
38,发怒,26
39,烧烤,25
40,两天,24
41,时间,24
42,两个,24
43,回去,23
44,星海,23
45,推荐,23
46,美女,22
47,请问,22
48,发现,21
49,不行,21
50,不让,21
51,我家,21
52,好看,20
53,旅游,20
54,下载,20
55,无辜,19
56,东港,19
57,太好了,19
58,夜市,19
59,旅顺,18
60,滤镜,18
61,大笑,18
62,上次,18
63,不去,18
64,不想,18
65,东北,18
66,回来,18
67,溜达,17
68,海边,17
69,小时,17
70,差点,17
71,抖音,17
72,海湾,17
73,厉害,16
74,海鲜,16
75,告诉,16
76,好多,16
77,我要,16
78,不错,15
79,全是,15
80,小孩,15
81,老板,15
82,喜欢,15
83,金州,15
84,民宿,15
85,不吃,15
86,结束,15
87,英歌石,15
88,不到,15
89,五一,15
90,可怜,15
91,给力,15
92,温度,14
93,景点,14
94,核酸,14
95,天津,14
96,孩子,14
97,评论,14
98,加油,14
99,多钱,14
100,不失,14
101,礼貌,14
102,昨天,14
103,下午,13
104,东西,13
105,停车,13
106,全国,13
107,酒店,13
108,位置,13
109,希望,13
110,电话,13
111,离开,13
112,猪头,12
113,大连人,12
114,不用,12
115,啥时候,12
116,适合,12
117,北方,12
118,鱿鱼,12
119,安排,12
120,睡觉,12
121,天天,12
122,无人机,12
123,礼拜,12
124,轻轨,12
125,看着,12
126,蚊子,12
127,房子,12
128,高新,12
129,南方,11
130,咖啡,11
131,后悔,11
132,王国,11
133,调皮,11
134,攻略,11
135,味道,11
136,下雨,11
137,一只,11
138,排队,11
139,同学,11
140,哈尔滨,11
141,房间,11
142,桂林,11
143,预约,11
144,一点,11
145,重庆,11
146,光污染,10
147,确实,10
148,不好,10
149,赶海,10
150,花钱,10
151,估计,10
152,小区,10
153,你好,10
154,好听,10
155,住宿,10
156,一家,10
157,只能,10
158,提前,10
159,三天,10
160,宣传,10
161,吃饭,10
162,有钱,10
163,哇塞,10
164,镜头,10
165,手机,10
166,两次,10
167,赶紧,10
168,没人,10
169,随便,10
170,谢谢,10
171,便宜,10
172,帐篷,10
173,早上,10
174,三院,10
175,太美,9
176,外地,9
177,明珠,9
178,停车场,9
179,后天,9
180,三口,9
181,长春,9
182,干净,9
183,没见,9
184,一圈,9
185,月份,9
186,西安,9
187,中午,9
188,特别,9
189,再也,9
190,卧槽,9
191,一间,9
192,朋友,9
193,爱心,9
194,名字,9
195,记得,9
196,麻烦,9
197,房价,9
198,高级,9
199,钓鱼,9
