,word,counts
0,沈阳,2128
1,捂脸,1413
2,比心,707
3,泣不成声,555
4,泪奔,391
5,流泪,372
6,地方,331
7,城市,288
8,鼓掌,286
9,加油,250
10,玫瑰,248
11,好吃,244
12,去过,242
13,不错,229
14,感谢,213
15,真的,203
16,夜市,180
17,喜欢,176
18,东北,174
19,看着,164
20,感觉,155
21,好看,149
22,沈阳人,147
23,微笑,145
24,我家,137
25,观察,111
26,漂亮,107
27,这是,105
28,灵机一动,101
29,哈哈哈,98
30,视频,96
31,铁西,96
32,疫情,93
33,公园,91
34,家乡,91
35,大连,85
36,晚上,84
37,希望,82
38,第一,82
39,便宜,82
40,生活,77
41,中街,76
42,盛京,76
43,故宫,74
44,大街,73
45,太好了,73
46,好像,70
47,彩电,69
48,烤肉,69
49,好玩,68
50,环境,68
51,浑南,67
52,沈北,67
53,孩子,65
54,明天,65
55,门票,64
56,几个,63
57,哈尔滨,63
58,确实,63
59,长春,62
60,时间,59
61,太美,59
62,咱俩,58
63,谢谢,57
64,中心,56
65,朋友,56
66,辽宁,55
67,天天,55
68,爱心,54
69,中国,54
70,美女,53
71,食欲,53
72,工资,52
73,我要,51
74,经济,50
75,全国,50
76,春天,50
77,青年,49
78,面积,49
79,礼貌,49
80,啥时候,49
81,夜景,49
82,不失,48
83,溜达,48
84,刺激,48
85,他家,48
86,小时,47
87,我大,47
88,一线,46
89,可爱,46
90,沈阳站,46
91,东西,46
92,上海,45
93,为啥,44
94,上班,44
95,越来越,44
96,太原,44
97,奉天,43
98,小区,43
99,西塔,43
100,味道,43
101,博物馆,42
102,大笑,42
103,昨天,40
104,四季,40
105,北陵,39
106,鸡架,39
107,不好,39
108,核酸,39
109,位置,39
110,告诉,39
111,世界,39
112,好多,38
113,一点,38
114,点赞,38
115,特别,38
116,浑河,38
117,夏天,38
118,好美,37
119,广场,37
120,安排,37
121,方特,37
122,汉服,37
123,几点,37
124,兴顺,36
125,房子,36
126,这座,36
127,美丽,36
128,免费,35
129,同学,35
130,适合,35
131,发现,35
132,真不错,35
133,送心,34
134,抖音,34
135,带你去,33
136,北京,33
137,哈哈哈哈,33
138,第一个,33
139,宣传,33
140,不行,33
141,抱拳,33
142,拍照,33
143,评论,33
144,打卡,33
145,有钱,33
146,城建,33
147,不想,32
148,支持,32
149,繁华,32
150,下雨,32
151,彩塔,32
152,结束,31
153,苏家屯,31
154,地铁,31
155,预约,31
156,好好,31
157,动物,31
158,沈阳市,30
159,不到,30
160,不让,30
161,推荐,30
162,沈阳城,30
163,体验,30
164,记得,29
165,骄傲,29
166,抚顺,29
167,发怒,29
168,努力,29
169,收费,29
170,开心,29
171,两个,28
172,厉害,28
173,超级,28
174,发展,28
175,宝能,28
176,机会,27
177,大城市,27
178,关注,27
179,全是,27
180,高楼,27
181,幸福,27
182,和平,27
183,给力,27
184,消费,27
185,有没有,26
186,小时候,26
187,烧烤,26
188,镜头,26
189,景色,26
190,永远,26
191,值得,25
192,堵车,25
193,无辜,25
194,旅游,25
195,市场,25
196,旁边,25
197,肯定,25
198,拍摄,25
199,舒服,25
