,word,counts
0,捂脸,1485
1,感谢,804
2,辽宁,674
3,比心,646
4,沈阳,456
5,加油,378
6,泪奔,327
7,玫瑰,322
8,泣不成声,311
9,鼓掌,278
10,流泪,263
11,大连,247
12,东北,223
13,盘锦,179
14,丹东,178
15,平安,156
16,锦州,138
17,鞍山,133
18,希望,126
19,城市,126
20,朝阳,122
21,第一,116
22,真的,114
23,营口,114
24,中国,110
25,阜新,109
26,点赞,108
27,去过,107
28,疫情,107
29,辽阳,107
30,保安,106
31,上海,105
32,地方,101
33,大哥,96
34,艾伦,91
35,本溪,85
36,铁岭,83
37,辽宁人,81
38,孩子,80
39,外卖,80
40,爱心,77
41,感觉,77
42,家乡,75
43,喜欢,72
44,抚顺,71
45,医院,67
46,微笑,65
47,灵机一动,65
48,我大,64
49,观察,64
50,高速,63
51,啥时候,63
52,致敬,62
53,葫芦岛,60
54,支持,59
55,学校,57
56,不错,56
57,视频,54
58,支援,54
59,骄傲,51
60,广东,51
61,世界,50
62,这是,50
63,祈祷,50
64,哈哈哈,49
65,强壮,49
66,谢谢,48
67,不让,48
68,老师,47
69,好看,46
70,永远,46
71,生日快乐,46
72,下雨,45
73,辛苦,44
74,不用,44
75,吉林,44
76,祖国,42
77,为啥,42
78,好人,42
79,抱拳,42
80,发怒,42
81,父母,41
82,狗狗,40
83,全国,40
84,确实,39
85,兄弟,39
86,好像,38
87,肯定,38
88,归来,38
89,理解,38
90,漂亮,37
91,英雄,37
92,第三,37
93,大笑,36
94,评论,36
95,厉害,36
96,海城,36
97,核酸,35
98,回来,35
99,司机,35
100,山东,34
101,两个,33
102,路过,33
103,苏家屯,33
104,发展,32
105,长子,32
106,辽宁省,32
107,保护,31
108,生活,31
109,杨导,31
110,心疼,30
111,看着,30
112,值得,30
113,我家,30
114,越来越,30
115,自豪,30
116,千山,30
117,隔离,30
118,盛京,30
119,早日,29
120,回家,29
121,手机,29
122,职业,29
123,不好,29
124,辽河,29
125,咖啡,29
126,有人,28
127,国家,28
128,给力,28
129,时间,28
130,外援,28
131,球迷,28
132,明天,28
133,好好,27
134,广场,27
135,天气,27
136,好多,27
137,辽篮,27
138,球员,27
139,不行,26
140,海滩,26
141,一点,26
142,主人,26
143,伤心,26
144,好样,25
145,小区,25
146,地区,25
147,黑龙江,24
148,消防员,24
149,特别,24
150,幸福,23
151,可爱,23
152,可怜,23
153,只能,23
154,天天,23
155,工资,23
156,记得,23
157,学生,23
158,美女,23
159,歧视,23
160,水洞,23
161,大城市,23
162,辽宁队,23
163,大车,23
164,可惜,23
165,钓鱼,23
166,冰雹,23
167,家人,22
168,朋友,22
169,房价,22
170,江苏,22
171,老铁,22
172,恭喜,22
173,期待,22
174,感情,21
175,事情,21
176,太好了,21
177,没事,21
178,一生,21
179,比赛,21
180,有没有,21
181,经济,21
182,辽西,21
183,天气预报,21
184,球队,21
185,辉煌,21
186,服务区,21
187,奉天,21
188,送心,20
189,开车,20
190,终于,20
191,宇宙,20
192,朋友圈,20
193,故宫,20
194,重生,20
195,不配,19
196,在家,19
197,凤凰山,19
198,注意安全,19
199,孝顺,19
