,word,counts
0,二价,2177
1,四价,1580
2,预约,1571
3,疫苗,1487
4,九价,1350
5,国产,816
6,打九价,769
7,一针,688
8,免费,555
9,第一,554
10,三针,532
11,接种,509
12,医生,502
13,进口,462
14,年龄,437
15,医院,364
16,感染,338
17,第三,293
18,检查,282
19,多久,231
20,预防,230
21,几价,228
22,两针,218
23,孩子,210
24,希望,185
25,有没有,182
26,怀孕,172
27,周岁,155
28,价格,153
29,啥时候,153
30,打过,136
31,推迟,133
32,两年,131
33,区别,128
34,为啥,128
35,打几价,127
36,几年,126
37,女性,126
38,评论,118
39,哺乳期,115
40,普及,111
41,关键,109
42,效果,108
43,阳性,106
44,视频,105
45,没约,103
46,半年,102
47,太难,102
48,时间,102
49,建议,101
50,女儿,101
51,影响,101
52,中介,99
53,花钱,97
54,男生,94
55,地方,94
56,去年,93
57,社区,93
58,打针,91
59,月经,91
60,全国,89
61,学校,89
62,听说,88
63,两个,87
64,超过,86
65,便宜,85
66,适合,85
67,副作用,82
68,完九价,81
69,不想,80
70,抖音,77
71,女人,77
72,提前,75
73,免费打,75
74,国家,75
75,黄牛,74
76,还好,73
77,二阶,72
78,我要,72
79,一个月,68
80,体检,68
81,女朋友,68
82,自费,68
83,几天,66
84,转阴,66
85,宝宝,65
86,打完,65
87,害怕,65
88,男人,65
89,新冠,64
90,科普,64
91,赶紧,63
92,姐妹,63
93,排队,62
94,没来,62
95,纠结,62
96,几针,61
97,疫情,61
98,广东,60
99,病毒,60
