,word,counts
0,客户,9902
1,工作,6230
2,负责,5995
3,公司,5804
4,金融,5393
5,管理,5310
6,以上学历,5220
7,投资,3708
8,提供,3641
9,本科,3456
10,经济,3212
11,项目,3163
12,任职,2695
13,服务,2493
14,产品,2332
15,相关,2299
16,业务,2266
17,销售,2156
18,营销,2115
19,维护,2061
20,分析,2043
21,团队,1860
22,理财,1855
23,财务,1798
24,组织,1680
25,需求,1599
26,市场,1579
27,能力,1504
28,开发,1413
29,目标,1410
30,资产,1377
31,制定,1347
32,计划,1326
33,方案,1306
34,培训,1302
35,协助,1283
36,活动,1217
37,资格,1214
38,大专,1212
39,经验,1202
40,信息,1102
41,证券,1045
42,沟通,1043
43,渠道,1043
44,企业,1030
45,法律,1028
46,行业,991
47,岗位,988
48,参与,975
49,市场营销,921
50,做好,906
51,发展,901
52,建立,887
53,各类,878
54,提升,869
55,部门,867
56,关系,866
57,银行,864
58,建议,847
59,经营,838
60,具备,834
61,全日制,833
62,情况,830
63,日常,827
64,定期,822
65,各项,819
66,报告,808
67,执行,804
68,合作,793
69,基金,777
70,配置,769
71,协调,769
72,区域,767
73,会计,763
74,专业,748
75,顾问,739
76,规划,737
77,统招,722
78,拓展,717
79,财富,716
80,年龄,708
81,工程,697
82,编制,695
83,推广,692
84,从业,682
85,审核,680
86,实施,662
87,风险,655
88,学习,639
89,确保,622
90,领导,621
91,金融类,617
92,员工,615
93,净值,612
94,资金,602
95,学历,594
96,优先,592
97,周岁,584
98,咨询,570
99,融资,567
100,开拓,560
101,配合,555
102,控制,548
103,机构,545
104,监督,541
105,指标,539
106,包括,537
107,综合,533
108,晋升,525
109,持续,519
110,技术,515
111,成本,513
112,跟进,504
113,研究,502
114,指导,489
115,运营,487
116,管理工作,487
117,设计,484
118,收集,483
119,高端,480
120,资源,480
121,年度,477
122,交办,473
123,建设,462
124,大学本科,458
125,流程,458
126,安排,457
127,营业部,454
128,经理,449
129,人员,449
130,资料,449
131,提高,443
132,条件,442
133,体系,441
134,产品销售,438
135,熟悉,434
136,完善,434
137,基础,417
138,合同,415
139,政策,412
140,保障,406
141,集团,406
142,设备,404
143,总经理,393
144,分公司,389
145,岗位职责,385
146,质量,381
147,评估,379
148,跟踪,379
149,检查,378
150,财会,370
151,数据,370
152,施工,370
153,财务管理,369
154,平台,367
155,上级,366
156,策划,365
157,提出,363
158,整理,362
159,战略,361
160,单位,361
161,生产,358
162,内部,357
163,教育,357
164,成员,346
165,达成,346
166,置业,346
167,税务,343
168,业绩,343
169,办理,342
170,落实,339
171,制度,335
172,培养,334
173,制订,327
174,支持,322
175,知识,317
176,调查,317
177,过程,313
178,福利,311
179,费用,311
180,健康,309
181,预算,309
182,统计,308
183,文件,306
184,策略,304
185,优秀,303
186,城市,303
187,报表,302
188,时间,300
189,优质,287
190,谈判,284
191,交易,283
192,准确,283
193,反馈,282
194,客户服务,281
195,家庭,281
196,伙伴,281
197,材料,276
198,津贴,276
199,审计,275
200,投资者,275
201,事项,275
202,系统,272
203,内容,272
204,理财产品,271
205,解决,269
206,信托,268
207,网点,268
208,机会,267
209,方向,266
210,提成,266
211,平均,264
212,现场,264
213,保证,262
214,合规,262
215,记录,258
216,职业,256
217,职位,254
218,长期,250
219,国家,250
220,考核,249
221,较强,248
222,收入,248
223,宣传,245
224,筛选,245
225,接受,244
226,收益,240
227,背景,236
228,挖掘,236
229,客户关系,233
230,品牌,232
231,精神,231
232,经济学,226
233,财经类,226
234,硕士,226
235,对接,225
236,院校,224
237,优化,224
238,标准,223
239,决策,223
240,招聘,220
241,奖励,220
242,调研,219
243,政府,218
244,奖金,216
245,重点,214
246,薪资,214
247,养老,213
248,投融资,212
249,参加,212
250,房产,212
251,增值,212
252,财经,210
253,拜访,210
254,生活,209
255,核算,208
256,介绍,207
257,事宜,207
258,撰写,206
259,节假日,203
260,进度,203
261,经纪人,202
262,主管,201
263,尽职,201
264,职业道德,200
265,整体,200
266,辅导,200
267,带领,199
268,底薪,198
269,国内外,196
270,客户资源,196
271,寻找,196
272,研究生,195
273,医疗,195
274,规模,195
275,沙龙,194
276,线上,194
277,咨询服务,192
278,管理制度,189
279,每月,189
280,操作,189
281,推动,188
282,私人,186
283,意识,185
284,租赁,184
285,中心,183
286,推进,182
287,效率,182
288,法定,182
289,出具,181
290,贝壳,180
291,推荐,179
292,手续,178
293,层面,176
294,监控,175
295,数学,174
296,独立,172
297,规范,169
298,金融服务,168
299,组建,167
300,产业,167
301,会议,167
302,医学,166
303,接触,166
304,形象,166
305,依托,166
306,下达,165
307,水平,164
308,监管,164
309,提交,164
310,档案,164
311,经纪,163
312,申报,163
313,寿险,163
314,环境,162
315,利用,162
316,有限公司,161
317,外部,161
318,不看,160
319,归档,160
320,技能,159
321,潜在,159
322,职责,158
323,房地产,158
324,招商,158
325,可行性,158
326,对外,156
327,督促,156
328,协作,155
329,审批,155
330,转化率,154
331,文化,153
332,月度,153
333,股权,152
334,协议,152
335,薪酬,152
336,动态,152
337,电话,151
338,金融机构,150
339,个性化,150
340,专科,150
341,五险,150
342,结算,150
343,放宽,149
344,群体,149
345,符合,149
346,补贴,149
347,领域,148
348,调整,148
349,方式,148
350,金融学,147
351,价值,147
352,高级,147
353,投后,146
354,阶段,146
355,绩效,146
356,维修,145
357,线下,144
358,临床,143
359,办公,141
360,链家,141
361,法律法规,140
362,行政,140
363,签约,140
364,一金,140
365,创新,139
366,旅游,139
367,私募,138
368,战略规划,138
369,带薪,138
370,商业,136
371,运行,136
372,签订,135
373,承受能力,134
374,上市公司,134
375,运作,133
376,老客户,133
377,统筹,132
378,预期,131
379,更新,131
380,物业,131
381,分支机构,130
382,传递,130
383,接待,130
384,正确,130
385,意见,130
386,资本,129
387,中国,129
388,模式,129
389,享受,128
390,针对性,128
391,装修,128
392,汇报,128
393,风险管理,127
394,拥有,126
395,法规,126
396,一体,126
397,保值,125
398,网络,125
399,子公司,125
400,海外,124
401,人才,124
402,售后服务,124
403,财务报表,124
404,管理学,123
405,热爱,123
406,并购,123
407,团建,123
408,立项,123
409,开户,123
410,信用卡,122
411,起草,122
412,检测,122
413,注册,121
414,业主,121
415,全国,120
416,研发,120
417,父母,120
418,方法,120
419,验收,120
420,分部,120
421,登记,119
422,计算机,118
423,事业部,118
424,免费,117
425,生物,117
426,挑战,117
427,用户,117
428,规章制度,117
429,之间,116
430,休息,116
431,新房,115
432,季度,115
433,待遇,115
434,负责人,115
435,医药,114
436,总部,114
437,落地,114
438,会计核算,114
439,软件,113
440,高尔夫,113
441,各种渠道,113
442,激励,113
443,形式,113
444,保险公司,113
445,编写,113
446,洽谈,112
447,二手房,112
448,专属,112
449,指定,112
450,采购,112
451,建筑,111
452,原因,111
453,司龄,111
454,不用,111
455,福利待遇,111
456,上级领导,111
457,增长,110
458,期货,109
459,佣金,109
460,公平,109
461,车辆,109
462,状况,108
463,存量,108
464,稳定,107
465,主动,107
466,注重,107
467,定制,107
468,养老金,107
469,拟定,107
470,测算,107
471,持有,106
472,工商管理,106
473,全方位,106
474,入职,106
475,账务,106
476,财产险,106
477,商圈,105
478,商业保险,105
479,结构,105
480,前期,105
481,图纸,105
482,上报,105
483,优秀者,104
484,试驾,104
485,保全,104
486,产假,104
487,担心,104
488,法学,103
489,限于,103
490,主持,103
491,经历,102
492,职后,102
493,分配,102
494,固定资产,102
495,医生,101
496,品鉴,100
497,三个,100
498,凭证,100
499,享有,100
500,个性,100
501,品质,100
502,队伍,99
503,带来,99
504,托管,99
505,核心,99
506,知识讲座,99
507,子女,99
508,会计凭证,99
509,红酒,98
510,豪车,98
511,年报,98
512,师傅,98
513,带教,98
514,变更,98
515,评价,98
516,责任心,97
517,家族,97
518,珠宝,97
519,鉴赏,97
520,年薪,97
521,工资,97
522,招标,97
523,人力资源,96
524,制作,96
525,改进,96
526,审查,96
527,传承,95
528,管控,95
529,经销商,95
530,实践,95
531,透明,95
532,助理,95
533,合理化,95
534,平安,94
535,新人,94
536,资深,94
537,事故,94
538,采用,94
539,核对,94
540,满意度,94
541,临床医学,93
542,汇总,93
543,上班时间,93
544,大区,93
545,双休,92
546,投诉,92
547,酒店,92
548,资管,91
549,律师,91
550,认证,91
551,措施,91
552,房屋,91
553,体制,91
554,展业,91
555,贷款,91
556,打造,90
557,毕业生,90
558,团体,90
559,同事,90
560,互助金,90
561,省市,90
562,理工科,89
563,发掘,89
564,土地,89
565,管理体系,89
566,定位,88
567,工艺,88
568,投顾,87
569,中信,87
570,复盘,87
571,一份,87
572,买卖,87
573,链人,87
574,脱岗,87
575,混学式,87
576,链识界,87
577,空中课堂,87
578,机制,87
579,现有,87
580,论证,87
581,意向,87
582,年终奖,87
583,意外,87
584,感受,86
585,拒绝,86
586,搭建,86
587,解决方案,86
588,理赔,86
589,支行,85
590,证券公司,85
591,下属,85
592,筹划,85
593,周二,85
594,赛道,85
595,专项,85
596,增加,85
597,诊断,85
598,监理,85
599,会计师,84
600,化工,84
601,电气,84
602,年轻,84
603,高效,84
604,资历,84
605,快乐,84
606,覆盖率,84
607,搜集,84
608,贵宾,83
609,工程项目,83
610,超过,83
611,速度,83
612,中层,83
613,覆盖,83
614,环保,82
615,身体健康,82
616,汽车,82
617,媒体,82
618,报销,82
619,商业地产,82
