前项,后项,支持度 %,置信度 %,提升
{'月薪1万以下'},{'1-3年'},0.17461817036687136,0.33243405275779375,1.3371049202436658
{'1-3年'},{'月薪1万以下'},0.17461817036687136,0.7023432552248259,1.3371049202436658
{'本科'},{'1-3年'},0.1935128326247835,0.2571667712910651,1.034367425249876
{'1-3年'},{'本科'},0.1935128326247835,0.7783407219759342,1.0343674252498762
{'本科'},{'3-5年'},0.22673594709494568,0.30131826741996237,1.0271993109952662
{'3-5年'},{'本科'},0.22673594709494568,0.7729468599033816,1.0271993109952662
{'不限'},{'月薪1万以下'},0.15556605259014328,0.7367636092468307,1.4026335978197306
{'月薪1万以下'},{'不限'},0.15556605259014328,0.29616306954436444,1.4026335978197306
{'本科'},{'月薪1万以下'},0.4108014485907731,0.5459301109018624,1.0393291769597506
{'月薪1万以下'},{'本科'},0.4108014485907731,0.7820743405275778,1.0393291769597504
"{'本科', '月薪1万以下'}",{'1-3年'},0.1350968351440718,0.3288616328095056,1.3227360544478595
"{'1-3年', '月薪1万以下'}",{'本科'},0.1350968351440718,0.7736699729486024,1.028160284200999
"{'本科', '1-3年'}",{'月薪1万以下'},0.1350968351440718,0.6981285598047193,1.3290810801318262
{'月薪1万以下'},"{'本科', '1-3年'}",0.1350968351440718,0.25719424460431656,1.3290810801318262
{'本科'},"{'1-3年', '月薪1万以下'}",0.1350968351440718,0.1795354676710609,1.028160284200999
{'1-3年'},"{'本科', '月薪1万以下'}",0.1350968351440718,0.5433818872704244,1.3227360544478595
"{'本科', '3-5年'}",{'月薪1万以下'},0.12029601637537396,0.5305555555555556,1.0100594524380495
"{'月薪1万以下', '3-5年'}",{'本科'},0.12029601637537396,0.8025210084033614,1.066501553540437
{'本科'},"{'月薪1万以下', '3-5年'}",0.12029601637537396,0.15986608077003558,1.066501553540437
{'月薪1万以下'},"{'本科', '3-5年'}",0.12029601637537396,0.2290167865707434,1.0100594524380495
"{'不限', '本科'}",{'月薪1万以下'},0.11856400566839868,0.7715163934426229,1.4687951483075832
"{'不限', '月薪1万以下'}",{'本科'},0.11856400566839868,0.7621457489878544,1.0128452922832942
"{'本科', '月薪1万以下'}",{'不限'},0.11856400566839868,0.2886163280950556,1.36689209525108
{'不限'},"{'本科', '月薪1万以下'}",0.11856400566839868,0.5615212527964206,1.36689209525108
{'本科'},"{'不限', '月薪1万以下'}",0.11856400566839868,0.15756434400502198,1.0128452922832942
{'月薪1万以下'},"{'不限', '本科'}",0.11856400566839868,0.22571942446043164,1.4687951483075832
