,word,counts
0,能力,10511
1,经验,8140
2,金融,7186
3,从业,7133
4,优先,6932
5,证券,6364
6,以上学历,6159
7,工作,5983
8,具备,5930
9,相关,5775
10,任职,5390
11,资格,4723
12,管理,4652
13,基金,4314
14,行业,4203
15,本科,4183
16,专业,4148
17,投资,3569
18,团队,3561
19,银行,3384
20,沟通,3129
21,客户,2736
22,较强,2709
23,营销,2517
24,熟悉,2487
25,理财,2230
26,经济,2077
27,业务,2060
28,信托,1936
29,销售,1862
30,公司,1794
31,市场,1725
32,意识,1701
33,客户资源,1467
34,全日制,1455
35,财富,1407
36,资源,1396
37,经历,1379
38,产品,1321
39,服务,1263
40,精神,1192
41,学习,1181
42,年龄,1131
43,协调,1125
44,顾问,1096
45,分析,1078
46,机构,1078
47,合作,1031
48,周岁,980
49,知识,976
50,法律,926
51,金融机构,912
52,大专,902
53,放宽,884
54,净值,855
55,期货,849
56,条件,823
57,学历,822
58,岗位,802
59,记录,793
60,背景,773
61,券商,770
62,资格证书,769
63,大学本科,764
64,开发,731
65,责任心,703
66,高端,685
67,项目,673
68,客户服务,663
69,优秀,651
70,持有,647
71,资格证,642
72,抗压,618
73,渠道,610
74,协作,601
75,经理,599
76,职位,597
77,素质,589
78,财务,587
79,压力,571
80,合规,567
81,资格考试,558
82,理财产品,525
83,敏锐,508
84,拥有,502
85,各类,493
86,诚信,492
87,金融类,483
88,市场营销,481
89,表达能力,479
90,负责人,479
91,职业,477
92,私人,477
93,拓展,474
94,职业道德,474
95,业绩,466
96,统招,463
97,组织,454
98,认同,449
99,大型,448
100,开拓,443
101,专业本科,440
102,政策,431
103,企业,430
104,三年,429
105,综合,428
106,两年,427
107,专业知识,426
108,维护,421
109,负责,416
110,善于,415
111,文化,410
112,资产,409
113,违规,408
114,证书,407
115,私募,407
116,发展,397
117,研究,393
118,不良,388
119,品行端正,385
120,基础,384
121,证券公司,383
122,违法,382
123,热爱,381
124,正直,380
125,硕士,377
126,咨询,376
127,零售,375
128,法律法规,375
129,责任感,375
130,营业部,371
131,三方,369
132,挑战,364
133,风险,362
134,扎实,358
135,研究生,348
136,承受,344
137,考试,342
138,执行力,340
139,提供,340
140,会计,327
141,优秀者,320
142,经营,319
143,法规,317
144,踏实,309
145,独立,307
146,管理工作,306
147,事业心,305
148,身体健康,300
149,理财师,295
