,word,counts
0,保护,180
1,动物,111
2,野生动物,76
3,小时候,71
4,人类,69
5,野生,62
6,灵芝,52
7,葛根,50
8,东西,49
9,回复,47
10,好多,44
11,梅花鹿,43
12,地球,38
13,生命,34
14,大自然,32
15,买卖,31
16,伤害,30
17,益母草,30
18,中医,28
19,一级,28
20,支持,27
21,老虎,27
22,穿山甲,27
23,自然,26
24,春草,26
25,动植物,25
26,植物,25
27,熊猫,24
28,喜欢,23
29,老家,23
30,人人有责,22
31,希望,21
32,严惩,21
33,真的,20
34,象牙,20
35,抖音,20
36,养殖,19
37,农村,18
38,金线,18
39,重判,17
40,我家,17
41,山上,17
42,感觉,16
43,好像,15
44,国家,15
45,一种,15
46,好吃,15
47,爱护,15
48,捂脸,15
49,这是,14
50,二级,14
51,物种,13
52,有人,13
53,世界,13
54,特别,13
55,香菜,13
56,紫花地丁,13
57,打击,12
58,加油,12
59,一斤,12
60,守护,12
61,味道,12
62,葛根粉,12
63,一只,11
64,濒危,11
65,贩卖,11
66,杀害,11
67,好看,11
68,从我做起,11
69,严惩不贷,11
70,做起,11
71,种子,11
72,不到,10
73,厉害,10
74,人工,10
75,犀牛,10
76,破坏,10
77,生物,10
78,龙哥,10
79,没见,10
80,中药,10
81,家园,10
82,万物,10
83,拿来,10
84,美食,10
85,路边,10
86,叶子,10
87,兔子,10
88,制品,9
89,生态,9
90,市场,9
91,发现,9
92,灭绝,9
93,价值,9
94,生活,9
95,不好,9
96,重罚,9
97,见过,9
98,野胡萝卜,9
99,乡村,9
100,粉葛,9
101,解酒,9
102,葛粉,9
103,半夏,9
104,一点,8
105,走私,8
106,中国,8
107,交易,8
108,判刑,8
109,记得,8
110,哥哥,8
111,愤怒,8
112,太多,8
113,严查,8
114,敬畏,8
115,消失,8
116,羚羊角,8
117,放过,8
118,没人,8
119,善待,8
120,助手,8
121,树舌,8
122,山里,8
123,野外,8
124,晒干,8
125,草药,8
126,惩罚,7
127,名录,7
128,视频,7
129,情况,7
130,猛犸象,7
131,家里,7
132,法律,7
133,一根,7
134,价格,7
135,哈哈哈,7
136,动物园,7
137,三级,7
138,可怜,7
139,有用,7
140,有毒,7
141,煲汤,7
142,没人要,7
143,干嘛,7
144,功效,7
145,禁止,6
146,云南,6
147,大象,6
148,身上,6
149,可爱,6
150,玩意,6
151,为啥,6
152,药物,6
153,犀牛角,6
154,更好,6
155,刚刚,6
156,心疼,6
157,请问,6
158,东北虎,6
159,作用,6
160,阿弥陀佛,6
161,尊重,6
162,见到,6
163,残忍,6
164,科普,6
165,药材,6
166,全是,6
167,食用,6
168,蛇床子,6
169,全身,6
170,芝麻,6
171,地里,6
172,遍地,6
173,我见,6
174,野葛,6
175,虫子,6
176,生存,6
177,艾草,6
178,山葛,6
179,多样性,6
180,野生植物,5
181,麻雀,5
182,专家,5
183,国内,5
184,两个,5
185,饲养,5
186,南方,5
187,值钱,5
188,不行,5
189,全球,5
190,明天,5
191,用处,5
192,朋友,5
193,衣服,5
194,睡觉,5
195,妈妈,5
196,捕杀,5
197,天天,5
198,明白,5
199,玩意儿,5
