,内容
0,不罚款，坐牢？网红都是人上人？
1,前一段时间，极限挑战那几个人采摘野生植物怎么处理了？感觉最近网上一点声音都没了呢？
2,4年前有个杂技演员，因为带着一只猴子，就被判坐牢了，这个都猎杀买卖珍惜野生动物，该怎么判
3,你那么腻害你来说说什么东西是保护的，触犯怎么处置的，动不动就口嗨，要不给枪毙了？？？
4,这是真的无知呢 还是故意的？
5,自曝家门？
6,没文化真可怕
7,懂不懂？现在禁止猎杀，捕获野生动物。而且，只要带翅膀的能飞的都是保护动物，哪怕麻雀都是。
8,处理不了，好像没有列入珍稀物种不属于违法行为。节目组洗是道具，专家指出绝对不是道具。
9,不可能这么无知 云南本地人都清楚得很
10,有些是意识问题，上了年纪的人意识不到，虽然耳朵里听到宣传，但心里没意识到。比如以前麻雀作为四害消灭过，有些人还经常抓来吃，然后过几年突然宣布麻雀是保护动物不能打。他虽然知道这个事情，但是长久以来潜意识没把麻雀划归到不能碰的东西里面。这时候应该主要加强教育，让他内心里真正认识到问题，而不是简单的严厉惩罚了事。我们国家很大不同地方风俗习惯不同，了解之后再去判断
11,大象的牙还是长在大象身上好，保护野生动物，又不是养殖的鸡鸭牛羊2021-02-17 19:50115回复
12,普通人用不起，富人不会管系列2021-02-16 10:42102回复
