Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重
student,0.005,social,0.004,student,0.005,study,0.004
social,0.003,student,0.003,social,0.004,social,0.004
study,0.003,business,0.003,business,0.004,data,0.004
journal,0.003,data,0.002,study,0.003,student,0.003
analysis,0.003,journal,0.002,data,0.003,education,0.003
business,0.003,model,0.002,journal,0.003,patient,0.002
time,0.002,study,0.002,country,0.002,management,0.002
model,0.002,process,0.002,management,0.002,time,0.002
data,0.002,analysis,0.002,model,0.002,model,0.002
education,0.002,education,0.002,market,0.002,analysis,0.002
based,0.002,alunos,0.002,analysis,0.002,development,0.002
management,0.002,time,0.002,financial,0.002,business,0.002
level,0.002,development,0.002,education,0.002,university,0.002
company,0.002,mais,0.002,level,0.002,based,0.002
method,0.002,based,0.002,development,0.002,test,0.002
tourism,0.002,management,0.002,time,0.002,journal,0.002
alunos,0.002,company,0.001,review,0.002,process,0.002
paper,0.002,escola,0.001,alunos,0.002,performance,0.002
source,0.002,sobre,0.001,system,0.002,company,0.002
financial,0.002,forma,0.001,based,0.002,field,0.002
