word,counts
中国,1437
販売,789
自動車,752
生産,535
日本,520
世界,483
メーカー,406
電気,376
市場,374
電池,342
米国,312
開発,302
経済,299
台数,298
発表,288
企業,269
工場,264
向け,258
トヨタ,254
国内,247
テスラ,244
政府,244
ホンダ,237
大手,235
産業,219
技術,212
関税,211
前年,203
価格,202
強化,201
競争,186
欧州,177
輸出,172
日産,169
部品,165
社長,164
半導体,160
投資,157
充電,157
事業,150
可能,150
電動,150
補助,148
重要,148
供給,146
方針,144
新車,144
戦略,141
たい,140
計画,139
拡大,137
普及,136
最高,133
製造,131
必要,128
影響,125
製品,124
トヨタ自動車,121
車種,121
最大,119
経営,114
目標,114
今後,112
規制,110
利益,109
分野,109
新型,108
エネルギー,107
会社,106
いく,106
関係,106
ガソリン,105
発売,104
貿易,103
昨年,102
安全,102
トランプ,101
対応,101
連携,101
過去,100
需要,99
よる,98
以上,95
支援,95
運転,94
投入,93
検討,92
シェア,91
輸入,91
環境,88
政策,88
追加,88
炭素,88
成長,88
政権,87
日産自動車,85
考え,85
同期,85
対象,84
ハイブリッド,84
