word,counts,情感分值,emotion_type
不错,12142,0.9475,非负
舒服,6301,0.957,非负
确实,5092,0.5207,非负
舒适,4512,0.9504,非负
很大,4128,0.6233,非负
宽敞,2726,0.9588,非负
豪华,2414,0.8384,非负
轻松,2407,0.9632,非负
流畅,1479,0.9679,非负
合适,1475,0.8739,非负
简单,1453,0.498,非负
完美,1357,0.79,非负
平均,1122,0.7409,非负
平常,1099,0.5022,非负
精致,1080,0.9439,非负
便宜,1067,0.7984,非负
灵活,1059,0.9305,非负
漂亮,1053,0.9658,非负
优秀,1026,0.9726,非负
充足,1000,0.9033,非负
稳定,974,0.9425,非负
年轻,945,0.7794,非负
充满,940,0.8744,非负
清晰,927,0.9393,非负
耐看,918,0.9803,非负
稳重,851,0.9677,非负
强劲,806,0.9363,非负
平稳,759,0.9742,非负
简洁,685,0.933,非负
很棒,685,0.9928,非负
惊喜,680,0.9785,非负
扎实,659,0.9766,非负
友好,589,0.7687,非负
柔软,585,0.9399,非负
最低,515,0.329,负面
沉稳,511,0.9483,非负
很小,504,0.3974,非负
充沛,488,0.9695,非负
遗憾,447,0.3018,负面
软硬,435,0.898,非负
宽大,428,0.9192,非负
顺畅,415,0.9361,非负
麻烦,414,0.3276,负面
厉害,397,0.4954,非负
优雅,389,0.9644,非负
正好,389,0.9198,非负
准确,387,0.9349,非负
不小,385,0.3759,非负
很稳,384,0.9929,非负
犀利,377,0.9193,非负
独特,361,0.8991,非负
乐趣,355,0.6869,非负
成熟,355,0.7877,非负
轻重,352,0.8812,非负
细腻,346,0.9632,非负
很足,340,0.9497,非负
强大,322,0.9526,非负
干净,322,0.8477,非负
焦虑,317,0.5365,非负
硬朗,314,0.9033,非负
高大,309,0.6929,非负
惊艳,290,0.9753,非负
激烈,286,0.6699,非负
较大,281,0.3968,非负
充裕,279,0.9059,非负
费劲,272,0.2189,负面
尴尬,270,0.1741,负面
厚实,264,0.9547,非负
良心,264,0.7419,非负
紧凑,264,0.6791,非负
宽松,263,0.8718,非负
笨重,263,0.0861,负面
平整,261,0.8719,非负
自由,258,0.9351,非负
妥妥,258,0.9458,非负
温柔,253,0.901,非负
全速,244,0.2968,负面
心疼,244,0.7338,非负
疲劳,239,0.4244,非负
宽裕,234,0.836,非负
一大,230,0.834,非负
精细,227,0.9036,非负
耐用,217,0.9752,非负
仔细,215,0.6002,非负
便捷,215,0.9193,非负
便利,207,0.9086,非负
奢华,203,0.9541,非负
轻巧,192,0.978,非负
犹豫,189,0.8006,非负
有限,188,0.1498,负面
细致,186,0.8616,非负
踏实,180,0.9467,非负
厚重,180,0.9076,非负
挺好用,179,0.9522,非负
意外,178,0.8453,非负
均衡,174,0.9215,非负
新颖,173,0.9226,非负
柔和,170,0.9154,非负
有劲,170,0.9491,非负
轻便,167,0.9775,非负
