Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
aroma,0.018,palate,0.015,und,0.019,wine,0.015,note,0.016,und,0.021
fruit,0.018,tannin,0.015,tannin,0.014,note,0.014,cherry,0.016,cherry,0.012
tannin,0.017,aroma,0.011,palate,0.011,tannin,0.013,palate,0.015,tannin,0.010
cherry,0.016,red,0.010,note,0.010,und,0.012,nose,0.013,gaumen,0.010
palate,0.015,und,0.009,di,0.009,di,0.010,red,0.010,mit,0.010
note,0.012,cherry,0.008,mit,0.008,cherry,0.009,sweet,0.009,finish,0.008
wine,0.011,finale,0.008,nose,0.008,red,0.008,hint,0.009,nase,0.007
black,0.009,note,0.008,cherry,0.008,finish,0.006,blackberry,0.008,palate,0.007
red,0.009,nose,0.007,fruit,0.007,vintage,0.006,tannin,0.008,der,0.007
acidity,0.009,drink,0.007,black,0.006,hint,0.006,finish,0.008,nose,0.007
finish,0.008,finish,0.007,hint,0.006,mit,0.006,touch,0.008,fruit,0.006
nose,0.007,bodied,0.007,ripe,0.006,spice,0.006,slight,0.007,dark,0.006
cabernet,0.007,spice,0.006,dark,0.006,fruit,0.005,wine,0.007,blackberry,0.006
blend,0.007,flower,0.006,finale,0.006,score,0.005,di,0.007,ruby,0.006
ripe,0.007,fruit,0.006,aroma,0.006,intense,0.005,chocolate,0.007,red,0.005
drink,0.007,berry,0.006,von,0.005,aroma,0.005,fruit,0.006,sich,0.005
spice,0.006,keefe,0.006,sweet,0.005,slight,0.005,offer,0.006,von,0.005
sauvignon,0.006,di,0.006,licorice,0.004,finale,0.004,berry,0.006,wine,0.005
offer,0.006,kerin,0.005,spice,0.004,scent,0.004,ripe,0.005,finale,0.005
oak,0.006,bright,0.005,drink,0.004,blackberry,0.004,spice,0.005,rubinrot,0.005
