Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重
干净,0.082,厚重,0.053,很大,0.058,很大,0.108,不错,0.048,很大,0.086,紧凑,0.048,不错,0.144,确实,0.068,不错,0.062,独特,0.053,独特,0.049,不错,0.284,惊喜,0.060,有趣,0.040
珍惜,0.040,独特,0.047,遗憾,0.043,不错,0.037,很棒,0.042,完美,0.047,不错,0.042,很大,0.106,不错,0.038,苦难,0.037,充满,0.053,不错,0.035,干净,0.068,友好,0.048,不错,0.040
很棒,0.040,遗憾,0.047,不错,0.043,完整,0.037,确实,0.036,不错,0.042,豁达,0.024,很好,0.045,很大,0.038,简单,0.031,精美,0.032,很大,0.028,独特,0.026,很好,0.036,苦难,0.040
合适,0.034,很棒,0.042,确实,0.043,干净,0.024,惊喜,0.024,惊喜,0.032,宏大,0.024,无聊,0.034,快乐,0.031,遗憾,0.025,新颖,0.032,厚重,0.028,很棒,0.022,特效,0.030,遗憾,0.040
不错,0.034,不错,0.025,便宜,0.034,充满,0.023,豁达,0.018,浪漫,0.026,火爆,0.024,便宜,0.028,壮观,0.031,沉重,0.025,厚重,0.032,充满,0.021,很好,0.020,独特,0.030,不好意思,0.021
卫生,0.029,精湛,0.020,奇妙,0.024,尴尬,0.023,糟糕,0.018,干净,0.026,很大,0.024,惊艳,0.026,完整,0.023,骄傲,0.025,惊喜,0.032,苦难,0.021,确实,0.018,不错,0.030,精致,0.021
固定,0.023,完美,0.020,厚重,0.024,沉重,0.023,热闹,0.018,惊艳,0.021,苦难,0.024,确实,0.021,努力,0.016,深厚,0.025,精湛,0.021,巧妙,0.021,不贵,0.016,干净,0.024,很大,0.021
充足,0.023,充满,0.020,热爱,0.020,便宜,0.023,清明,0.018,紧凑,0.016,欢乐,0.018,厚重,0.017,很棒,0.016,确实,0.025,凌乱,0.021,便宜,0.021,惊艳,0.016,合适,0.018,很足,0.021
有限,0.023,坚韧,0.020,挺好,0.020,确实,0.023,厚重,0.018,确实,0.016,辛苦,0.018,舒适,0.013,轻松,0.016,真诚,0.019,浓厚,0.021,豁达,0.014,合适,0.014,珍惜,0.018,干净,0.021
很大,0.017,确实,0.020,不贵,0.020,不贵,0.020,惊艳,0.018,优秀,0.016,充足,0.018,宏大,0.013,不适,0.016,意外,0.019,宏大,0.021,保洁,0.014,配套,0.012,快乐,0.018,新颖,0.021
新颖,0.015,深厚,0.017,漂亮,0.020,生硬,0.015,珍惜,0.018,很棒,0.016,骄傲,0.018,很棒,0.013,惊喜,0.016,便利,0.019,厉害,0.021,干净,0.014,遗憾,0.012,便宜,0.018,浪漫,0.021
便宜,0.014,美好,0.014,疯狂,0.015,紧张,0.015,幸福,0.018,新颖,0.016,清晰,0.018,舒服,0.013,舒适,0.016,漂亮,0.013,舒适,0.021,连续,0.014,诚意,0.010,宏大,0.018,有尬,0.011
友善,0.012,很大,0.014,独特,0.015,欢乐,0.015,深邃,0.012,精美,0.016,很棒,0.018,干净,0.010,遗憾,0.016,生硬,0.013,惊艳,0.021,耐心,0.014,卫生,0.010,确实,0.018,最多,0.011
恢弘,0.012,优秀,0.014,便利,0.015,深厚,0.015,平遥,0.012,拖沓,0.011,很好,0.016,努力,0.009,便利,0.016,轻松,0.013,清晰,0.021,成功,0.014,有趣,0.008,挺大,0.012,热闹,0.011
乐观,0.012,鲜活,0.011,舒适,0.015,落实,0.015,单薄,0.012,意外,0.011,简单,0.012,便利,0.009,不贵,0.016,优秀,0.013,最美,0.011,宏大,0.014,良心,0.008,配套,0.012,漂亮,0.011
友好,0.012,新颖,0.011,很棒,0.015,舒服,0.015,浓郁,0.012,充足,0.011,轻松,0.012,有限,0.009,详细,0.016,厚重,0.013,漂亮,0.011,很好,0.014,美好,0.008,保洁,0.012,害羞,0.011
痛苦,0.012,友好,0.011,悲惨,0.010,特效,0.015,配套,0.012,轻松,0.011,一大,0.012,不适,0.009,新颖,0.016,很大,0.013,绚丽,0.011,配套,0.014,精美,0.006,热闹,0.012,厚重,0.011
惊喜,0.012,苦难,0.011,幸福,0.010,惊喜,0.015,优秀,0.012,最爱,0.011,绝美,0.012,壮观,0.009,友好,0.016,特效,0.013,繁华,0.011,幽默,0.014,充裕,0.006,厉害,0.012,客满,0.011
幸福,0.012,惊艳,0.011,正好,0.010,苦难,0.015,坎坷,0.012,完整,0.011,尊重,0.012,暖和,0.009,悠久,0.016,精湛,0.013,浓郁,0.011,高大,0.014,善良,0.006,美好,0.012,很好,0.011
保洁,0.012,辉煌,0.011,轻松,0.010,很棒,0.015,平均,0.012,幽默,0.011,友好,0.012,尊重,0.009,固定,0.008,完美,0.013,扎实,0.011,整洁,0.014,简单,0.006,漂亮,0.012,合适,0.011
