Source,Target,Weight,Type
新闻,社区,24,Undirected
新闻,新闻,48,Undirected
新闻,旗下,24,Undirected
新闻,兴趣,24,Undirected
新闻,小伙伴,24,Undirected
新闻,交流,24,Undirected
新闻,无限,28,Undirected
人工智能,人工智能,75,Undirected
人工智能,智能,64,Undirected
人工智能,科技,43,Undirected
人工智能,技术,48,Undirected
人工智能,行业,33,Undirected
人工智能,人类,90,Undirected
人工智能,创新,35,Undirected
人工智能,模型,40,Undirected
人工智能,时代,49,Undirected
人工智能,产业,32,Undirected
社会,人类,24,Undirected
机器人,机器人,32,Undirected
机器人,人类,26,Undirected
AI,AI,37,Undirected
AI,科技,50,Undirected
AI,感受,22,Undirected
AI,行业,33,Undirected
AI,人类,27,Undirected
AI,创新,52,Undirected
AI,视频,20,Undirected
AI,无限,28,Undirected
AI,模型,68,Undirected
AI,时代,64,Undirected
AI,产业,33,Undirected
AI,赋能,33,Undirected
AI,人工,20,Undirected
AI,加速,27,Undirected
AI,消费,27,Undirected
AI,百业,32,Undirected
AI,拥抱,33,Undirected
AI,致力,32,Undirected
AI,引擎,33,Undirected
科技,改变,33,Undirected
科技,感受,24,Undirected
科技,带来,20,Undirected
科技,创新,53,Undirected
科技,无限,40,Undirected
科技,模型,37,Undirected
科技,时代,37,Undirected
科技,产业,20,Undirected
科技,赋能,28,Undirected
举办,无限,28,Undirected
感受,无限,35,Undirected
技术,技术,28,Undirected
行业,模型,30,Undirected
行业,时代,28,Undirected
行业,产业,27,Undirected
人类,人类,70,Undirected
人类,创造,20,Undirected
人类,超越,28,Undirected
创新,无限,28,Undirected
创新,模型,36,Undirected
创新,时代,32,Undirected
创新,精彩,22,Undirected
创新,成果,24,Undirected
魅力,无限,31,Undirected
视频,无限,29,Undirected
无限,精彩,28,Undirected
无限,成果,28,Undirected
无限,博览会,28,Undirected
无限,亮相,28,Undirected
模型,模型,40,Undirected
模型,时代,58,Undirected
模型,产业,30,Undirected
模型,赋能,30,Undirected
模型,开源,36,Undirected
模型,加速,28,Undirected
模型,消费,27,Undirected
模型,百业,28,Undirected
模型,拥抱,28,Undirected
模型,致力,29,Undirected
模型,引擎,29,Undirected
时代,产业,28,Undirected
时代,赋能,29,Undirected
时代,加速,28,Undirected
时代,消费,27,Undirected
时代,百业,29,Undirected
时代,拥抱,30,Undirected
时代,致力,28,Undirected
时代,引擎,28,Undirected
