Source,Target,Weight,Type
Community,Community,34,Undirected
Community,Partner,31,Undirected
Community,Super,37,Undirected
Community,Exchange,27,Undirected
Economic,Technology,20,Undirected
Beautiful,Technology,21,Undirected
Model,Model,21,Undirected
Model,Artificial,46,Undirected
Model,Intelligence,46,Undirected
Model,Science,21,Undirected
Model,Technology,47,Undirected
Model,Industry,60,Undirected
Model,Era,50,Undirected
Model,Intelligent,68,Undirected
Model,Innovation,37,Undirected
Model,Engine,29,Undirected
Model,Jingyingshi,24,Undirected
Model,Embrace,28,Undirected
Air,Air,20,Undirected
Air,Conditioner,23,Undirected
Air,Installation,46,Undirected
Artificial,Artificial,95,Undirected
Artificial,Intelligence,81,Undirected
Artificial,Human,78,Undirected
Artificial,Science,25,Undirected
Artificial,Technology,107,Undirected
Artificial,Industry,57,Undirected
Artificial,Humans,24,Undirected
Artificial,Era,45,Undirected
Artificial,Intelligent,64,Undirected
Artificial,Innovation,32,Undirected
Artificial,Powerful,22,Undirected
Artificial,Health,20,Undirected
Intelligence,Intelligence,93,Undirected
Intelligence,Human,92,Undirected
Intelligence,Science,25,Undirected
Intelligence,Technology,108,Undirected
Intelligence,Industry,59,Undirected
Intelligence,Humans,25,Undirected
Intelligence,Era,46,Undirected
Intelligence,Intelligent,62,Undirected
Intelligence,Innovation,34,Undirected
Intelligence,Powerful,22,Undirected
Intelligence,Health,20,Undirected
Human,Human,63,Undirected
Human,Technology,26,Undirected
Human,Creation,28,Undirected
Human,Brain,23,Undirected
Science,Technology,117,Undirected
Science,Industry,20,Undirected
Science,Fiction,26,Undirected
Science,Era,23,Undirected
Technology,Technology,103,Undirected
Technology,Industry,59,Undirected
Technology,Charm,20,Undirected
Technology,National,20,Undirected
Technology,Video,20,Undirected
Technology,Era,44,Undirected
Technology,Intelligent,58,Undirected
Technology,Industrial,27,Undirected
Technology,Transformation,21,Undirected
Technology,Innovation,46,Undirected
Technology,Infinite,29,Undirected
Technology,Backward,70,Undirected
Technological,Scientific,37,Undirected
Industry,Industry,31,Undirected
Industry,Era,49,Undirected
Industry,Intelligent,65,Undirected
Industry,Innovation,35,Undirected
Industry,Engine,32,Undirected
Industry,Jingyingshi,24,Undirected
Industry,Embrace,30,Undirected
Video,Intelligent,20,Undirected
Era,Intelligent,51,Undirected
Era,Innovation,30,Undirected
Era,Engine,24,Undirected
Era,Jingyingshi,21,Undirected
Era,Embrace,26,Undirected
Intelligent,Intelligent,27,Undirected
Intelligent,Innovation,46,Undirected
Intelligent,Engine,32,Undirected
Intelligent,Jingyingshi,24,Undirected
Intelligent,Embrace,32,Undirected
Scientific,Innovation,21,Undirected
Scientific,Professor,39,Undirected
Scientific,Chief,21,Undirected
Master,Master,28,Undirected
Professor,Professor,22,Undirected
Professor,Chief,31,Undirected
Backward,Backward,22,Undirected
Signs,Signs,21,Undirected
