word,counts,frequency
雷总,12884,0.177848
小米,11268,0.155541
一辆,2691,0.037146
汽车,1937,0.026738
特斯拉,1518,0.020954
一台,1494,0.020623
手机,1493,0.020609
模仿,1470,0.020292
凡客,1255,0.017324
雷军,1228,0.016951
喜欢,1037,0.014315
万辆,906,0.012506
支持,863,0.011913
加油,811,0.011195
希望,740,0.010215
啥时候,674,0.009304
卫生巾,669,0.009235
中国,656,0.009055
生产,646,0.008917
售后,646,0.008917
电车,598,0.008255
感觉,588,0.008117
买不起,588,0.008117
好看,578,0.007979
想要,578,0.007979
营销,568,0.007841
恭喜,560,0.00773
努力,545,0.007523
油车,517,0.007137
交付,510,0.00704
工厂,507,0.006999
厉害,497,0.00686
一个月,494,0.006819
老板,424,0.005853
确实,424,0.005853
保时捷,422,0.005825
有钱,420,0.005798
路上,417,0.005756
勇敢,406,0.005604
员工,391,0.005397
广告,388,0.005356
一点,384,0.005301
服务,384,0.005301
下线,383,0.005287
期待,372,0.005135
质量,363,0.005011
雷神,363,0.005011
马斯克,359,0.004956
客服,355,0.0049
成功,354,0.004887
评论,354,0.004887
公司,350,0.004831
一年,348,0.004804
军哥,347,0.00479
价格,342,0.004721
上班,336,0.004638
米粉,331,0.004569
有没有,330,0.004555
电池,329,0.004541
产品,324,0.004472
肯定,321,0.004431
造车,318,0.00439
比亚迪,317,0.004376
布斯,308,0.004252
销售,299,0.004127
提车,298,0.004114
雷总牛,292,0.004031
好多,286,0.003948
红米,282,0.003893
万台,280,0.003865
时间,277,0.003824
品质,276,0.00381
车主,272,0.003755
交给,270,0.003727
赶紧,269,0.003713
总能,268,0.003699
衣服,267,0.003686
第一,261,0.003603
国产,261,0.003603
十万,261,0.003603
喝酒,260,0.003589
螺丝,259,0.003575
不错,258,0.003561
一款,256,0.003534
粉丝,255,0.00352
太牛,253,0.003492
越来越,249,0.003437
不行,248,0.003423
雷哥,247,0.00341
为啥,240,0.003313
充电,239,0.003299
两个,229,0.003161
销量,227,0.003133
苹果,225,0.003106
拥有,224,0.003092
品牌,222,0.003064
解释,220,0.003037
流量,218,0.003009
选择,209,0.002885
北京,209,0.002885
