word,counts,frequency
小米,940,0.237494
特斯拉,930,0.234967
马斯克,293,0.074027
模仿,157,0.039666
雷军,117,0.02956
雷总,104,0.026276
乔布斯,97,0.024507
雷斯克,80,0.020212
布斯,64,0.01617
不错,43,0.010864
金山,41,0.010359
大佬,38,0.009601
成名,38,0.009601
中国,37,0.009348
汽车,37,0.009348
手机,35,0.008843
好看,32,0.008085
电车,30,0.00758
喜欢,30,0.00758
选择,29,0.007327
肯定,28,0.007074
保时捷,21,0.005306
技术,21,0.005306
内饰,21,0.005306
支持,20,0.005053
销量,20,0.005053
外观,18,0.004548
电池,18,0.004548
价格,16,0.004042
充电,16,0.004042
苹果,15,0.00379
超越,14,0.003537
一点,13,0.003284
确实,13,0.003284
抄袭,13,0.003284
营销,13,0.003284
国产,13,0.003284
续航,13,0.003284
造车,12,0.003032
推荐,12,0.003032
完胜,12,0.003032
真香,12,0.003032
衣服,11,0.002779
比亚迪,11,0.002779
看着,11,0.002779
有钱,10,0.002527
只能,10,0.002527
加油,10,0.002527
性能,10,0.002527
换挡,10,0.002527
七年,9,0.002274
产品,9,0.002274
感觉,9,0.002274
华为,9,0.002274
真好,9,0.002274
不好,9,0.002274
两个,8,0.002021
世界,8,0.002021
希望,8,0.002021
厉害,8,0.002021
火箭,8,0.002021
万辆,8,0.002021
质量,8,0.002021
买不起,8,0.002021
电机,8,0.002021
发布,7,0.001769
承认,7,0.001769
国外,7,0.001769
评论,7,0.001769
设计,7,0.001769
员工,7,0.001769
方式,7,0.001769
第一,7,0.001769
小宁,7,0.001769
漂亮,7,0.001769
尊重,7,0.001769
品牌,7,0.001769
吊打,7,0.001769
马军,6,0.001516
有人,6,0.001516
发现,6,0.001516
发布会,6,0.001516
企业家,6,0.001516
全球,6,0.001516
没法,6,0.001516
不行,6,0.001516
当年,6,0.001516
档次,6,0.001516
级别,6,0.001516
毛病,6,0.001516
油车,6,0.001516
有没有,6,0.001516
老板,6,0.001516
时间,6,0.001516
毛豆,6,0.001516
销售,6,0.001516
成熟,6,0.001516
一辆,6,0.001516
车标,6,0.001516
仪表盘,6,0.001516
