特征词,词频,词性
兰州,23627,名词
黄河,11555,名词
景区,7841,名词
敦煌,7679,名词
酒店,6676,名词
时间,6409,名词
地方,5887,名词
博物馆,5253,名词
小时,4718,名词
张掖,4686,名词
甘肃,4576,名词
感觉,4373,名词
景点,4058,名词
莫高窟,3893,名词
中山,3767,名词
出发,3725,动词
西宁,3629,名词
行程,3602,名词
公园,3507,名词
牛肉面,3491,名词
到达,3427,动词
青海湖,3360,名词
门票,3317,名词
机场,3291,名词
城市,3282,名词
中国,3200,名词
西北,2998,名词
不错,2927,形容词
选择,2924,动词
历史,2854,名词
游客,2802,名词
嘉峪关,2751,名词
拍照,2711,动词
好吃,2709,动词
草原,2665,名词
火车,2638,名词
推荐,2624,动词
发现,2604,动词
参观,2600,名词
文化,2503,名词
到,2469,动词
味道,2468,名词
沙漠,2430,名词
甘肃省,2380,名词
夜市,2373,名词
石窟,2368,名词
鸣沙山,2248,名词
青海,2180,名词
位于,2174,动词
市区,2170,名词
喜欢,2132,动词
雅丹,2099,名词
建筑,2066,名词
只能,2052,动词
月牙泉,2035,名词
来到,1980,动词
住宿,1967,名词
风景,1957,名词
提前,1944,动词
司机,1941,名词
羊肉,1888,名词
水车,1869,名词
天气,1854,名词
七彩,1834,名词
西安,1810,名词
建议,1802,名词
铁桥,1795,名词
价格,1727,名词
照片,1723,名词
美食,1678,名词
茶卡盐湖,1663,名词
感受,1636,动词
东西,1631,名词
体验,1594,名词
特色,1582,名词
世界,1571,名词
海拔,1562,名词
回到,1545,动词
拉面,1544,名词
休息,1544,动词
火车站,1543,名词
公路,1535,名词
中心,1519,名词
景色,1513,名词
牛肉,1501,名词
朋友,1471,名词
壁画,1441,名词
母亲,1431,名词
步行,1422,名词
飞机,1407,名词
观景台,1398,名词
长城,1386,名词
开车,1363,动词
文物,1357,名词
艺术,1330,名词
早餐,1292,名词
兰州市,1285,名词
结束,1278,动词
离开,1274,动词
