Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重
hpv,0.171,霉菌,0.284,活检,0.372,支原体,0.143
阴道炎,0.145,妇科,0.126,盆腔炎,0.083,身体,0.136
阴道镜,0.143,排卵期,0.114,益生菌,0.083,中医,0.073
tct,0.135,中药,0.112,宫颈糜烂,0.053,男朋友,0.054
性生活,0.079,白带常规,0.068,关系,0.053,三甲医院,0.048
同房,0.049,xsh,0.056,疫苗,0.047,尿路感染,0.047
抗生素,0.046,结婚,0.028,白细胞,0.041,告诉,0.044
高危,0.046,专家,0.022,处女,0.035,衣原体,0.041
第一次,0.042,月经结束,0.020,妇科病,0.030,戴套,0.037
TCT,0.023,优思明,0.020,百度,0.030,男的,0.029
副作用,0.019,私处,0.018,女性,0.023,老公,0.028
生孩子,0.013,宝宝,0.017,生育,0.017,尖锐湿疣,0.023
卫生巾,0.012,输卵管,0.016,分手,0.014,科普,0.023
假性湿疣,0.012,阴唇,0.016,湿疹,0.013,月经不调,0.022
低危,0.012,女的,0.009,抱抱,0.013,yd,0.022
接好运,0.011,妇科炎症,0.008,感冒,0.012,黄体酮,0.021
hpv病毒,0.006,子宫肌瘤,0.008,性病,0.009,啪啪,0.019
x生活,0.004,生理期,0.008,别怕,0.009,九价,0.019
疱疹,0.004,zw,0.007,影响生育,0.008,西医,0.018
六层楼,0.004,私立医院,0.007,吓自己,0.007,宫颈息肉,0.015
