,word,values
0,fashion,46071
1,virtual,24043
2,digital,21811
3,amp,7253
4,metaverse,5296
5,week,4406
6,nft,3113
7,future,2744
8,join,2694
9,industry,2423
10,collection,2420
11,nfts,2385
12,brands,2290
13,event,2037
14,pm,1906
15,design,1884
16,brand,1883
17,art,1683
18,check,1672
19,real,1635
20,designer,1549
21,time,1482
22,global,1480
23,designers,1470
24,live,1454
25,people,1423
26,physical,1388
27,online,1383
28,day,1319
29,love,1304
30,space,1257
31,clothing,1247
32,reality,1183
33,clothes,1173
34,experience,1163
35,luxury,1151
36,create,1120
37,daily,1109
38,platform,1066
39,read,1047
40,ar,1000
41,learn,980
42,wear,968
43,business,962
44,free,958
45,follow,955
46,community,954
47,project,941
48,web,922
49,coming,922
50,outfit,917
51,register,908
52,style,900
53,watch,899
54,ready,875
55,excited,871
56,dress,836
57,link,830
58,drop,827
59,stories,799
60,worlds,793
61,stay,789
62,march,783
63,amazing,778
64,sustainable,775
65,events,758
66,launch,755
67,app,740
68,video,737
69,avatars,735
70,gaming,734
71,social,729
72,technology,725
73,life,701
74,items,695
75,creative,690
76,tech,688
77,game,673
78,models,667
79,tomorrow,663
80,music,660
81,runway,660
82,news,656
83,piece,653
84,created,648
85,marketplace,647
86,market,647
87,house,645
88,decentraland,645
89,crypto,636
90,happening,632
91,buy,631
92,beauty,630
93,support,625
94,students,623
95,team,617
96,gt,615
97,talk,608
98,collaboration,604
99,creating,604
100,top,603
101,set,591
102,media,582
103,showcase,581
104,designs,580
105,designed,570
106,series,569
107,store,566
108,fun,564
109,share,556
110,stores,556
111,artist,548
112,shopping,547
113,wearing,543
114,avatar,533
115,season,531
116,party,528
117,exclusive,528
118,blockchain,523
119,article,518
120,company,514
121,studio,505
122,building,503
123,meet,502
124,retail,502
125,gucci,498
126,rt,495
127,discord,493
128,days,491
129,women,488
130,start,487
131,games,487
132,unique,484
133,experiences,483
134,don,481
135,access,479
136,nike,474
137,money,472
138,wearable,470
139,happy,468
140,firstever,467
141,shop,466
142,vr,463
143,york,462
144,cool,461
145,accessories,456
146,retweet,455
147,explore,453
148,november,453
149,model,452
150,host,448
151,inspired,446
152,friends,444
153,sneaker,444
154,wait,444
155,bring,442
156,sneakers,442
157,products,441
158,wearables,439
159,april,439
160,story,438
161,upcoming,438
162,visit,438
163,gm,437
164,launches,437
165,instagram,437
166,pieces,436
167,land,431
168,eth,430
169,irl,428
170,tickets,427
171,exhibition,423
172,month,422
173,change,420
174,london,420
175,fabricant,417
176,featuring,417
177,post,416
178,summit,416
179,friday,411
180,fashions,411
181,garments,408
182,paris,407
183,build,404
184,info,402
185,red,402
186,projects,401
187,mona,401
188,opportunity,401
189,couture,400
190,forward,400
191,artists,397
192,film,396
193,st,395
194,outfits,392
195,vision,391
196,culture,390
197,creators,389
198,details,388
199,trend,388
200,magazine,388
201,lot,386
202,huge,383
203,download,383
204,panel,381
205,weeks,373
206,sell,372
207,including,371
208,hope,369
209,conference,368
210,special,367
211,auction,365
212,spring,364
213,lyxe,363
214,igital,361
215,beautiful,359
216,collections,359
217,sustainability,356
218,startup,356
219,edition,354
220,pandemic,354
221,hosting,353
222,tonight,353
223,traditional,352
224,international,352
225,content,351
226,augmented,351
227,night,350
228,black,349
229,product,349
230,hosted,347
231,garment,345
232,est,344
233,exciting,344
234,sold,344
235,rtfkt,342
236,economy,342
237,super,341
238,annual,338
239,purchase,337
240,history,337
241,bringing,336
242,trends,335
243,program,333
244,talking,332
245,based,331
246,discover,331
247,true,331
248,conversation,330
249,tuned,328
250,starting,328
251,founder,327
252,dressing,326
253,marketing,325
254,users,323
255,winner,323
256,launched,321
257,featured,320
258,roblox,319
259,tour,318
260,perfect,318
261,buying,317
262,concept,314
263,apparel,314
264,answers,314
265,companies,312
266,ig,312
