,content,emotion_scroe
0,确确实实就是通过面试逆袭了，写得很清楚,0.4123004611034178
692,希望对陈同学的伤害到此为止，逆风翻盘，恭喜上岸,0.4208582116296231
908,造谣的什么时候道歉,-0.32564014760231486
1137,骂390的是做题家 骂英语水平不够发sci的都有毛病,-0.23918950518361903
1411,幸亏他是农民家庭出身，但凡家境好点，出了公告也会被黑上天,-0.10336766834380151
1610,造谣的能抓起来吗 可以提出质疑 但上来就阴谋论 构陷人家家庭背景 掀起舆论暴力 这已经是在法律的边缘了吧,0.47954170882674485
1641,官方：ok ， 网友：不行。,-0.3714178054975672
1739,还发布人家考生家庭情况？谁给你的权利？,0.3713257972635312
1791,那很有可能老师通过面试就想要这个学生呀才会打高分，人家优秀呀，又不是没过线，过了线各凭本事,0.4868630804512062
2164,可能他们觉得sci是英语作文比赛吧,0.38443852362934616
2421,谁说倒数不能逆袭，承认优秀很难吗，而且人家还发表过重量级论文,-0.1467117234970967
2519,某些人：发表声明的学院方肯定也早被买通了,-0.3267285712044913
2576,如果只凭初试成绩录取那还要复试干嘛，复试的意义就是寻找不确定性，拉开差距，跟奥运比赛一样啊，不到最后输赢谁也说不准，哪怕你世界排名第一。,0.44388513475157787
2922,那些诋毁的、造谣的，肯定连研究生考试规则、SCI是什么都不知道，抱着键盘打得怪溜顺便说一句，那位390的考生也很优秀，不愁考不上好学校，为她担心，纯属月薪3千为月薪3万的人发愁,0.49999197418375907
3012,这世界你相信是黑暗的，它就是，就像有些调查结果公布了，阴谋论们就是不相信，非坚信心中的阴暗，跟这些人理论没辙,0.49224367858335893
3037,这边建议把造谣陈鑫发6篇sci以及和教务处领导有关系的抓起来,-0.01578913953602079
3055,复试笔试成绩也就差1分，老揪着初试成绩，说人英语差,-0.4569444664325336
3268,总会有人找出各种各样的理由美其名曰“质疑一下”，不过陈鑫同学你的本科经历太让我佩服了，希望你不要受到不好的影响，恭喜你上岸,0.13901648667698197
3269,有些人还没搞清专硕跟学硕,0.05292628690040524
3338,转发自@Castroy_USTC: 问题不是他有多优秀，而是另一个同学77分的复试成绩有没有被刻意压低,0.45405530265604765
3504,我觉得390还是太惨了，所有的笔试都比331高，就最后面试分一下子拉开了将近十四分 希望她调剂顺利吧,0.49887523726284166
3597,张雪峰说：如果这个专业只要一个人，那你就别报。因为所有的条件就一个人符合！,-0.2841457868761109
3731,一堆人连研都没考过就跟风造谣污蔑，真是造谣全凭一张嘴，现在澄清也澄了，公示也认定成绩合格了，不知道这次造谣的理由又是什么呢？寒门难出贵子，费尽心苦培养出的一名未来医学领域的优秀人才，现在竟然在被互联网的无知跟风者污蔑批判，真感到悲哀。,0.49999859012652004
3737,承认别人强这么难的吗？,0.04094872330080357
3738,自己考不过人家，就网暴，真是个人才,0.46579213999335856
3739,陈鑫同学如果你在看微博，请相信天将降大任于斯人也必先苦其心志。如果过得了网爆这关，练出大心脏，必定前途无量。祝福你。,0.42039470976360527
3740,承认别人优秀真的那么困难吗,0.3243520621947217
