,word,聚类结果
0,确实 就是 通过 面试 逆袭 清楚,1
1,希望 同学 伤害 到此为止 逆风 翻盘 恭喜 上岸,0
2,造谣 什么 时候 道歉,1
3,做题 英语水平 不够 sci 毛病,1
4,幸亏 农民 家庭出身 但凡 家境 好点 公告 上天,1
5,造谣 起来 可以 提出 质疑 上来 阴谋论 构陷 家庭 背景 掀起 舆论 暴力 已经 法律 边缘,1
6,官方 ok 网友 不行,1
7,发布 人家 考生 家庭 情况 权利,1
8,可能 老师 通过 面试 想要 这个 学生 高分 人家 优秀 不是 没过 各凭本事,1
9,可能 他们 觉得 sci 英语 作文 比赛,1
10,倒数 不能 逆袭 承认 优秀 很难 而且 人家 发表 重量级 论文,1
11,某些 发表声明 学院 肯定 买通,1
12,复试 如果 初试 成绩 录取 还要 干嘛 意义 就是 寻找 不确定性 拉开 差距 奥运 比赛 一样 不到 最后 输赢 不准 哪怕 世界排名 第一,1
13,月薪 那些 诋毁 造谣 肯定 研究生 考试 规则 SCI 什么 知道 键盘 打得 顺便 一句 那位 考生 优秀 考不上 学校 担心 纯属 千为 发愁,1
14,相信 就是 世界 黑暗 有些 调查结果 公布 阴谋论 坚信 心中 阴暗 这些 理论 没辙,1
15,这边 建议 造谣 陈鑫 发篇 sci 以及 教务处 领导 关系 起来,1
16,成绩 复试 笔试 差分 初试 英语,1
17,总会 有人 找出 各种各样 理由 美其名曰 质疑 一下 不过 陈鑫 同学 本科 经历 佩服 希望 不要 受到 不好 影响 恭喜 上岸,0
18,有些 搞清 专硕 学硕,1
19,转发 CastroyUSTC 问题 不是 优秀 而是 一个 同学 复试 成绩 有没有 刻意 压低,1
20,觉得 还是 太惨 所有 笔试 比高 最后 面试 一下子 拉开 将近 十四分 希望 调剂 顺利,1
21,一个 雪峰 如果 这个 专业 只要 别报 因为 所有 条件 符合,1
22,造谣 污蔑 现在 一堆 人连研 考过 跟风 真是 全凭 张嘴 澄清 公示 认定 成绩 合格 知道 这次 理由 什么 寒门 贵子 费尽 心苦 培养 一名 未来 医学 领域 优秀人才 竟然 互联网 无知 跟风者 批判 感到 悲哀,1
23,承认 别人 这么,1
24,自己 不过 人家 网暴 真是 人才,1
25,如果 陈鑫 同学 微博请 相信 天将 降大任 斯人也 苦其心志 过得 网爆 这关 练出 心脏 必定 前途无量 祝福,1
26,承认 别人 优秀 真的 那么 困难,1
27,面试 考试 一部分 什么 问题 调查 声明 已经 发了 得救,1
28,表达 一下 自己 造谣 出来 一波 国家 能力 超能力,1
29,可以 提请 教育部 取消 研究生 笔试 考试 直接 面试,1
30,sci 一作 说服力,1
31,面试 视频 公布,1
32,公平 其实 科研 这是 机制 二位 同学 优秀 几年 回过 也许 感慨 命运 安排 可以 理解 网友 群情激奋 只是 老师 肉眼 可见 能力 现有 考核 难以 标准化 体现 东西 只能 应试教育 虽然 确实 不利于 筛选 人才 如何 导师 需求 找到 平衡点 今后 选拔 课题,1
33,客观 笔试 考试 存在 主观 干扰 面试 就是 各种 操作 基本上,1
34,父母 农民 造谣 感觉 这个 考生 简直 无妄之灾 网友 管得 真是 太平洋 人家 好歹 任何 瞧不起 意思 但凡 个人 公务员 老师 医生 跳进 黄河 洗不清 源头 受到 惩罚 成本,1
35,喷子 声明 什么 可信 学校 早就 买通,1
36,逆风 翻盘 真的 好酷,1
37,西医 综合 天理,1
38,造谣 道歉,1
39,就是 可疑 面试 成绩 这种 主观 考察 能差 这么 多分 真差 老师 私心,1
40,算是 一五 就是 科研 学生,1
41,单纯 好奇 本科 出份 sci 机率 一般 学生会 这样 实验 机会 这怕 不是 天才,1
42,英语 真的 综合 测评 专业 能力 听说 觉得 可能 笔试 第一 那个 说到底 还是 论文 一项,1
43,初试 复试 一半 差距 变成 真的 容易 逆袭 可以 质疑 不要,1
44,就是 优秀 所以 逆袭 鸡们,1
45,别的 不说 四级 本科 sci 神人 每届 几个,1
46,面试,1
47,逆袭 当年 压线 复试 后来 一波 每年,1
48,初试 高分 真的 代表 人家 就是 复试 表现 非常 优秀 网暴 这个 同学 出来 道歉,1
49,陈鑫 腊梅 论文 SCI 复述 争议 关键在于 英语 只分 一般来说 发表 影响 因子 可能 现在 可以 加试 一场 那篇 任挑 两段 陈鑫用 英文 要求 精确 大意 如果 陈鑫能 出来 那么 证明 自己 应该 认输 反之 可证 作弊,1
50,公布 面试 视频,1
51,协和 还是 靠得住 山东大学 医学院 公开 透明 多久,1
52,逆袭 心疼 这位 实力 上岸 医学生 复试 为什么 质疑 网暴,1
53,SCI 努力 只能 一些 博士 毕业 要求 不过 确实 不太信 一个 本科生 四年 达到 水平 这份 天赋 不至于 只考 可能 格局,1
54,经过 这么 一波 是不是 不少 优秀 本科生 科研 实操 方面 起来 天呐 越来越 真的 垃圾,1
55,为什么 承认 别人 厉害,1
56,外人 人外有人 只能 这么 承认 别人 优秀 不难,1
57,程序 符合 如果 问题,1
58,初试 分数 只是 门槛 如果 导师 一个 实验 写文章 学生 就算 分数线 进来 巴不得 后面 学业 需要 货研 朋友 知道,1
59,揣测 同学 到底 阻止 寒门 贵子 有些 期待 逆袭 但是 当逆袭 剧本 出现 别人 身上 开始 破防 可怜 两位 考生 网友 二人 各有 优点 希望 杨同学 可以 调剂 学校 协和 读书 二位 这场 可笑 两头 网暴 影响,1
60,考研 抑郁 人有 多苦 你们 了解 坚持 下来 很棒 一群 王给整,1
61,换算 多考 为什么 初试 百分制 人家 十分 白考 最后 十几分 搞笑 本来 一门 政治 这一 好家伙 几道 选择题,1
62,搞笑 某些 人酸 死够 不到 天花板 构陷 阴谋论 令人 唾弃,1
63,面试 就是 最大 腐败,1
64,如果 只是 那么 首先 搞清楚 研究生 什么 字面 意思 就是 研究 一味 追求 当做 题家 科研 意义 哪里 读研 为了 达到 学术 目的 建议 还是 找个 班上 所谓 努力 只能 无效,1
65,键盘 农民 逆袭 相信 如果 陈鑫 父母 不是 务农 公职人员 或者 做生意 网上 叫嚣 公平 人家 子弟 自己 努力 成功 你们 造谣 为什么 因为 侠们 从来 没有 本事 只能靠 发牢骚,1
66,自查 说服力 前边 不会 那么 多事 为了 更好 回应 舆论 双方 从根本上 证明 还是 纪委 介入 学校 已经 没有 公信力,1
67,同学 两位 优秀 感觉 就是 导师 想要 故意 腊梅 压分 希望,1
68,面试 英语 成绩 综合测试 听说 听懂 表达出来 近乎 满分 公布 视频 怎么 逆袭,1
69,就是说 三线 城市 二本 院校 左右 不了 协和,1
70,笔试 这么 要么 问题 协和 相信 科研 能力 成绩 就是 中国 教育 所以 面试 如果 这样 长此以往 只会 自己 牌子,1
71,协和 认识 一个 朋友 专科 学医 专升本 考研 最后 考上 博士 现在 行业 大牛 人生 逆袭 开始,1
72,老师 面试 那么,1
73,面试 摆烂 好意思 发出,1
74,社会 高速 发展 时候 需要 公平,1
75,面试 还是 差距,1
76,搞事 那位 同学 是不是 有点,1
77,这是 面试 及格,1
78,差分 已经,1
79,公平 预料中 结果 这种 就是 只可意会 不可言传 一切都在 规则 之下 仿佛 那么 学校 必须 变得,1
80,学校 老师 参与 复试 准备 过程 真的,1
81,英语 看得懂 文献 可是 整本 英文 真是,1
82,多少 愿意 出来 或者 能算 明白,1
83,虽然 但是 初试 成绩 直接 五分之一 相当于 复试,1
84,为什么 能进 复试 只有 个人 报名 第一名 第二名 就是,1
85,成绩 相当于 面试 满分 em 但是 原本 笔试 换成 百分制 复试 初试 这个 按照 当然 如果,1
86,那些 质疑 网友 你们 眼睛,1
87,面试 基本上 几个 老师 说了算 这种 事太多 多少 学生 埋没,1
88,专业 两个 人考 为什么 初试 这么 多分 一起 复试,1
89,面试 满分 协和 值得 信任 依然 中国 医院 天花板 岂能 自己 专业 声誉 开玩笑 估计 评分标准 科研 能力 可能 得分 这个 差距 非常 足以 抹平,1
90,赶紧 看书,1
91,造谣,1
92,自己 Left 有时候 真的 没有 一点 了解 高分 一定 爆料 家庭 隐私 如果 还有 质疑 学院 录像 不想,1
93,恭喜 前程似锦,0
94,不算 逆袭 本来 研究生 考试 初试 复试 两个 综合 不是 单一 知道 一群 没读 过研 高潮 什么,1
95,相信 官方 结果,1
96,,1
97,恭喜 同学,0
98,承认 别人 优秀 很难,1
99,因为 初试 面试 五开 所以 容易 逆袭,1
100,那么 看到 你们 社会 黑暗 没有 事情 质疑 权利 调查 出来 就行 有些 这个 结果 这位 学生 感到 怜惜 流传 一样 怎么 这么 群众 态度 每天 CTV 容忍 这些 人就源 不断 节目 素材,1
101,承认 别人 优秀 这么,1
102,如果 造谣 严惩 学生 学校 而言 很大 伤害 困扰,1
103,调剂 逆袭 有点 不过 的话 也好,1
104,考研 面试 科研 能力 真的 重要,1
105,初试 逆风 翻盘 人家 就是 实力 怎样 协和 不是 定乾坤 地方,1
106,面试 时候 考官 出来 其实 简单,1
107,这位 考生 真的 了不起,1
108,真相 真快 逆袭,1
109,调查 就行了 恭喜 逆袭,0
110,马后炮 墙头草,1
111,sci 啊哈 最佳 说真的 痛恨 微博 键盘 六篇 这样的话 人家 信手 只能 造谣 成本 太低 可能 他们 觉得 英语 作文 比赛,1
112,最恨 就是 微博 键盘,1
113,光是 厉害 晋级 游戏规则 已经 完全 潜意识 范进 大脑皮层,1
114,长处 这么 显然 老师 想要 录取 那个,1
115,造谣,1
116,实质 正义 程序 虽然 咱们 文化 更重 实践 这些 例子 发现 如何 经过 适当 展示 出来 才能 获得 最大 程度 认同,1
117,有些 就是 不得 别人 强势 逆袭,1
118,成绩 最后 面试 不到 一刻 不能 决出 胜负 我们 当年 考试 时候 一个 男生 笔试 十三 四名 基本 无望 但是 发挥 超好 总成绩 一下子 排名 升至 第八 成功 入围 一直 第一 居然 还是 第一名 因为 前面 所以 填补 中游,1
119,两个 没有 有点 奇怪 只有 他们 人考 为啥 初试 这么 一起 复试 中间 单纯 好奇 其他 意思 不喜 喷哈,1
120,现在 还有 相信,1
121,造谣 成本,1
122,承认 别人 优秀 这么,1
123,sci 本科 影响 因子 一作 提着 灯笼 有些 不会 以为 英语,1
124,导师 选择 可是 SCI 招学硕 什么 不要 科研 能力 初试 高分 代表 一定 录取 为什么 还要 复试 这个 考试 难道 不能 学生,1
125,学校 问题 键盘 必有 后台 公平,1
126,有些 网友 真闲 学校 导师,1
127,遗憾 北京 协和 医学院 讲得 清楚 两位 同学 优秀 终究会 不过 这件 事情 意义 今后 学生 其实 还有 家长 价值 一课,1
128,希望 同学 如果 不是 家境清寒 我该 怎么 自证 清白 腊梅 调剂 合适 学校 录取 陈鑫 网上 言论 影响 开心 上学,1
129,希望 那个 同学 起诉 那些 网暴者,1
130,承认 别人 自己 优秀 很难,1
131,面试 逆袭 上岸 挤掉 发挥 完全 机会 为什么 不能,1
132,造谣 一本正经 胡说八道 抓住 源头 严肃处理 以儆效尤,1
133,所以 这位 今年 是不是 落榜,1
134,逆袭 太棒了 复试 但是 希望 不要 别人,1
135,上岸 可怜 觉得 事情 发展 这个 地步 不仅 逆袭 这位 同学 那位 希望 or 调整 心态 准备 调剂 一定,1
136,什么 玩意 这样 造谣,1
137,恭喜 同学,0
138,那些 阴谋论 网友 承认 人家 优秀 那么,1
139,其实 肯定 面试 时候 老师 倾向 学生 所以 高分,1
140,恭喜 上岸,0
141,比例 还好 北师大 调剂 复试,1
142,麻烦 造谣 出来 道歉,1
143,同学 优秀 承认 别人 感到 惋惜 过来 人才 知道 考研 到底 容易 真心 开心 录取 理所应当 本科 sci 影响 因子 确实 普通人 甚至 普通 老师 考不到 高分 代表 大多数 群体,1
144,寒门 名士 逆袭 故事 应该 美谈,1
145,,1
146,看到 这种 谣言 气不打 一处,1
147,优秀 微博上 一个 懂王 张臭嘴 闭上 两位 学子 而且 坦荡 将来 美好未来 用得着 你们 这里 指手画脚 管好 自己,1
