主题数,困惑度,一致性
2,-6.264387989849191,0.526528083628687
3,-6.515110040482767,0.44248894883035156
4,-6.492863534708784,0.39166961274014866
5,-6.464290095282618,0.42890724157900256
6,-6.578997402120593,0.4918107746974587
7,-6.653762357367171,0.6098859630628543
8,-6.654762650109074,0.5579142813385941
9,-6.671400131117406,0.5584425964799002
10,-6.695885864021671,0.5054647107529612
11,-6.699551781484897,0.5584727446562967
12,-6.9408156135500985,0.5310697528211172
13,-7.029379432875275,0.5245245896508801
14,-6.874607498955733,0.7441551316688766
