主题数,困惑度,一致性
2,-6.216701086829691,0.5213429585864059
3,-6.3041208859752205,0.5079367310715873
4,-6.3622931611888545,0.5753824226861605
5,-6.394355602474773,0.4388211157294578
6,-6.457561266071656,0.3444321616013571
7,-6.375285555860575,0.41020402542007656
8,-6.449515558165662,0.5215972049859807
9,-6.402013058522169,0.38843687222150536
10,-6.5217203259468075,0.34816306698945254
11,-6.482427238015568,0.40105938239936817
12,-6.541878314053311,0.4242853957963622
13,-6.5517546718611435,0.386957271238375
14,-6.63544105098528,0.4173690612502911
